A,,,,
"Ciledug
d.h. Tjiledoek SS",Jawa Barat,Daop III Cirebon,CLD,Beroperasi
"Ciledug SCS
d.h. Tjiledoek SCS",Jawa Barat,Daop III Cirebon,-,Tidak beroperasi
Cilejit,Jawa Barat,Daop I Jakarta,CJT,Beroperasi
Cilegeh,Jawa Barat,Daop III Cirebon,CLH,Beroperasi
Cilegon,Banten,Daop I Jakarta,CLG,Beroperasi
Cilongkrang,Jawa Tengah,Daop V Purwokerto,CAG,Tidak beroperasi
Cimahi,Jawa Barat,Daop II Bandung,CMI,Beroperasi
Cimekar,Jawa Barat,Daop II Bandung,CMK,Beroperasi
Cimindi,Jawa Barat,Daop II Bandung,CMD,Beroperasi
Ciomas,Jawa Barat,Daop I Jakarta,CS,Reaktivikasi
Cipari,Jawa Tengah,Daop V Purwokerto,CPI,Beroperasi
Cipatat,Jawa Barat,Daop II Bandung,CPT,Beroperasi
Cipedang,Jawa Barat,Daop III Cirebon,CPA,Tidak beroperasi
Cipeuyeum,Jawa Barat,Daop II Bandung,CPY,Beroperasi
Cipeundeuy,Jawa Barat,Daop II Bandung,CPD,Beroperasi
Cipinang,DKI Jakarta,Daop I Jakarta,CPN,Tidak beroperasi
Cipunegara,Jawa Barat,Daop III Cirebon,CRA,Beroperasi
Ciputrapinggan,Jawa Barat,Daop II Bandung,CPP,Tidak beroperasi
"Cirahayu
d.h. Trowek",Jawa Barat,Daop II Bandung,CAA,Beroperasi
Ciranjang,Jawa Barat,Daop II Bandung,CRJ,Beroperasi
"Cirebon
d.h. Cheribon SS",Jawa Barat,Daop III Cirebon,CN,Beroperasi
"Cirebon Pelabuhan
d.h. Cheribon-Boom",Jawa Barat,Daop III Cirebon,CNH,Tidak beroperasi
"Cirebon Prujakan
d.h. Cheribon SCS",Jawa Barat,Daop III Cirebon,CNP,Beroperasi
Cireungas,Jawa Barat,Daop II Bandung,CRG,Beroperasi
Ciroyom,Jawa Barat,Daop II Bandung,CIR,Beroperasi
Cisaat,Jawa Barat,Daop I Jakarta,CSA,Beroperasi
Cisauk,Banten,Daop I Jakarta,CSK,Beroperasi
Cisomang,Jawa Barat,Daop II Bandung,CG,Tidak beroperasi
Cisondari,Jawa Barat,Daop II Bandung,CSD,Tidak beroperasi
Cisurupan,Jawa Barat,Daop II Bandung,CSN,Tidak beroperasi
Citayam,Jawa Barat,Daop I Jakarta,CTA,Beroperasi
Citeras,Banten,Daop I Jakarta,CTR,Beroperasi
Ciwidey,Jawa Barat,Daop II Bandung,CWD,Tidak beroperasi
Comal,Jawa Tengah,Daop IV Semarang,CO,Beroperasi
Cukir,Jawa Timur,Daop VII Madiun,CK,Tidak beroperasi
Curahmalang,Jawa Timur,Daop VII Madiun,CRM,Beroperasi
D,,,,
Nama stasiun,Provinsi,Daerah Operasi/Divisi Regional,Singkatan stasiun,Kondisi
Dadapan,Jawa Timur,Daop IX Jember,DPA,Tidak beroperasi
Dampit,Jawa Timur,Daop VIII Surabaya,DPT,Tidak beroperasi
Dangeyan,Jawa Tengah,Daop VI Yogyakarta,DNY,Tidak beroperasi
Daru,Banten,Daop I Jakarta,DAR,Beroperasi
Dawuan,Jawa Barat,Daop I Jakarta,DWN,Beroperasi
Dayeuhkolot,Jawa Barat,Daop II Bandung,DYK,Tidak beroperasi
"Delanggu
d.h. Delangoe",Jawa Tengah,Daop VI Yogyakarta,DL,Beroperasi
Delok,Jawa Tengah,Daop IV Semarang,DEK,Tidak beroperasi
Demak,Jawa Tengah,Daop IV Semarang,DM,Tidak beroperasi
Depok,Jawa Barat,Daop I Jakarta,DP,Beroperasi
Depok Baru,Jawa Barat,Daop I Jakarta,DPB,Beroperasi
Dolopo,Jawa Timur,Daop VIII Madiun,DLO,Tidak beroperasi
Dongkelan,D.I Yogyakarta,Daop VI Yogyakarta,DKN,Tidak beroperasi
Doplang,Jawa Tengah,Daop IV Semarang,DPL,Beroperasi
Dringu,Jawa Timur,Daop IX Jember,DRI,Tidak beroperasi
Duduk,Jawa Timur,Daop VIII Surabaya,DD,Beroperasi
Duren Kalibata,DKI Jakarta,Daop I Jakarta,DRN,Beroperasi
Dringu,Jawa Timur,Daop IX Jember,DRI,Tidak beroperasi
Duri,DKI Jakarta,Daop I Jakarta,DU,Beroperasi
G,,,,
Nama stasiun,Provinsi,Daerah Operasi/Divisi Regional,Singkatan stasiun,Kondisi
"Gambir
d.h. Weltevreden, Batavia-koningsplein",DKI Jakarta,Daop I Jakarta,GMR,Beroperasi
Gambringan,Jawa Tengah,Daop IV Semarang,GBN,Beroperasi
Gandasoli,Jawa Barat,Daop II Bandung,GDS,Beroperasi
Gandrungmangu,Jawa Tengah,Daop V Purwokerto,GDM,Beroperasi
Gandulekor,Jawa Tengah,Daop V Purwokerto,GDK,Tidak beroperasi
Gang Sentiong,DKI Jakarta,Daop I Jakarta,GST,Beroperasi
Garahan,Jawa Timur,Daop IX Jember,GN,Beroperasi
Garum,Jawa Timur,Daop VII Madiun,GRM,Beroperasi
Garut,Jawa Barat,Daop II Bandung,GRT,Beroperasi
Gawok,Jawa Tengah,Daop VI Yogyakarta,GW,Beroperasi
Gebang (Blitar),Jawa Timur,Daop VII Madiun,GEL,Tidak beroperasi
Gedangan (ke Gd),Jawa Tengah,Daop IV Semarang,GN,Tidak beroperasi
Gedangan (ke Sd),Jawa Timur,Daop VIII Surabaya,GDG,Beroperasi
Gedebage,Jawa Barat,Daop II Bandung,GDB,Beroperasi
Gemawang,Jawa Tengah,Daop IV Semarang,GWG,Tidak beroperasi
Gembong,Jawa Timur,Daop VIII Surabaya,GEB,Beroperasi
Gembongan,Jawa Tengah,Daop VI Yogyakarta,GMG,Tidak beroperasi
Gemekan,Jawa Timur,Daop VIII Surabaya,GMK,Tidak beroperasi
Gempol,Jawa Timur,Daop VIII Surabaya,GEM,Tidak beroperasi
Gempolkerep,Jawa Timur,Daop VIII Surabaya,GKP,Tidak beroperasi
Geneng,Jawa Timur,Daop VII Madiun,GG,Beroperasi
Genuk,Jawa Tengah,Daop IV Semarang,GNK,Tidak beroperasi
Gending,Jawa Timur,Daop IX Jember,GNI,Tidak beroperasi
Glenmore,Jawa Timur,Daop IX Jember,GLM,Beroperasi
Godong,Jawa Tengah,Daop IV Semarang,GOG,Tidak beroperasi
Gogodalem,Jawa Tengah,Daop IV Semarang,GGD,Tidak beroperasi
Gombong,Jawa Tengah,Daop V Purwokerto,GB,Beroperasi
Gondangdia,DKI Jakarta,Daop I Jakarta,GDD,Beroperasi
Gondanglegi,Jawa Timur,Daop VIII Surabaya,GDL,Tidak beroperasi
Goprak,Jawa Tengah,Daop VI Yogyakarta,GPK,Beroperasi
Grabag Merbabu,Jawa Tengah,Daop VI Yogyakarta,GMB,Tidak beroperasi
Grati,Jawa Timur,Daop IX Jember,GI,Beroperasi
"Gresik
d.h. Grisee",Jawa Timur,Daop VIII Surabaya,GS,Tidak beroperasi
Grobogan,Jawa Timur,Daop IX Jember,GBG,Tidak beroperasi
Grogol,DKI Jakarta,Daop I Jakarta,GG,Beroperasi
Grompol,Jawa Tengah,Daop VI Yogyakarta,GP,Tidak beroperasi
Grujugan,Jawa Timur,Daop IX Jember,GRJ,Tidak beroperasi
Gubug,Jawa Tengah,Daop IV Semarang,GUB,Beroperasi
Gumilir,Jawa Tengah,Daop V Purwokerto,GM,Beroperasi
Gumukmas,Jawa Timur,Daop IX Jember,GMM,Tidak beroperasi
Gundih,Jawa Tengah,Daop IV Semarang,GD,Beroperasi
Gununggangsir,Jawa Timur,Daop VIII Surabaya,GNG,Tidak beroperasi
Gunungputri,Jawa Barat,Daop I Jakarta,GPI,Tidak beroperasi
Gurah,Jawa Timur,Daop VII Madiun,GU,Tidak beroperasi
H,,,,
Nama stasiun,Provinsi,Daerah Operasi/Divisi Regional,Singkatan stasiun,Kondisi
Haurgeulis,Jawa Barat,Daop III Cirebon,HGL,Beroperasi
Haurpugur,Jawa Barat,Daop II Bandung,HRP,Beroperasi
I,,,,
Nama stasiun,Provinsi,Daerah Operasi/Divisi Regional,Singkatan stasiun,Kondisi
Ijo,Jawa Tengah,Daop V Purwokerto,IJ,Beroperasi
Indihiang,Jawa Barat,Daop II Bandung,IH,Beroperasi
Indramayu,Jawa Barat,Daop III Cirebon,IM,Tidak beroperasi
Indro,Jawa Timur,Daop VIII Surabaya,IDO,Beroperasi
J,,,,
Nama stasiun,Provinsi,Daerah Operasi/Divisi Regional,Singkatan stasiun,Kondisi
Jakarta Gudang,DKI Jakarta,Daop I Jakarta,JAKG,Beroperasi
"Jakarta Kota
d.h. Batavia-Benedenstad, Djakarta",DKI Jakarta,Daop I Jakarta,JAKK,Beroperasi
Jambean,Jawa Tengah,Daop IV Semarang,JBE,Tidak beroperasi
Jamblang,Jawa Barat,Daop III Cirebon,JBG,Tidak beroperasi
Jambon,Jawa Tengah,Daop IV Semarang,JBN,Beroperasi
Jambu,Jawa Tengah,Daop IV Semarang,JMB,Beroperasi terbatas
Jambu Baru,Banten,Daop I Jakarta,JBU,Beroperasi
Japanan,Jawa Timur,Daop VIII Surabaya,JPN,Tidak beroperasi
Japonan,Jawa Tengah,Daop VI Yogyakarta,JAP,Tidak beroperasi
Jati,Jawa Timur,Daop IX Jember,JI,Tidak beroperasi
Jatibarang,Jawa Barat,Daop III Cirebon,JTB,Beroperasi
"Jatinegara
d.h. Meester Cornelis SS",DKI Jakarta,Daop I Jakarta,JNG,Beroperasi
Jatirogo,Jawa Timur,Daop VIII Surabaya,JTG,Tidak beroperasi
Jatiroto,Jawa Timur,Daop IX Jember,JTR,Beroperasi
Jatiwangi,Jawa Barat,Daop III Cirebon,JWG,Tidak beroperasi
Jayakarta,DKI Jakarta,Daop I Jakarta,JAY,Beroperasi
Jember,Jawa Timur,Daop IX Jember,JR,Beroperasi
Jemursari,Jawa Timur,Daop VIII Surabaya,JMS[a],Tidak beroperasi
Jenar,Jawa Tengah,Daop VI Yogyakarta,JN,Beroperasi
Jepon,Jawa Tengah,Daop IV Semarang,JON,Tidak beroperasi
Jerakah,Jawa Tengah,Daop IV Semarang,JRK,Beroperasi
Jeruklegi,Jawa Tengah,Daop V Purwokerto,JRL,Beroperasi
Jetis (Grobogan),Jawa Tengah,Daop IV Semarang,JIS,Tidak beroperasi
Jetis (Ponorogo),Jawa Timur,Daop VII Madiun,JS,Tidak beroperasi
Jombang,Jawa Timur,Daop VII Madiun,JG,Beroperasi
Jombang Kota,Jawa Timur,Daop VII Madiun,JGK,Tidak beroperasi
Jombang KSM,Jawa Timur,Daop VII Madiun,-,Tidak beroperasi
Jorongan,Jawa Timur,Daop IX Jember,JOR,Tidak beroperasi
"Juana/Juwana
d.h. Joana",Jawa Tengah,Daop IV Semarang,JU,Tidak beroperasi
"Juanda
d.h. Noordwijk",DKI Jakarta,Daop I Jakarta,JUA,Beroperasi
Jurangmangu,Banten,Daop I Jakarta,JMG,Beroperasi
"Jurnatan
d.h. Semarang-Central, Semarang SJS",Jawa Tengah,Daop IV Semarang,-,Tidak beroperasi
K,,,,
Nama stasiun,Provinsi,Daerah Operasi/Divisi Regional,Singkatan stasiun,Kondisi
Kabat,Jawa Timur,Daop IX Jember,KBT,Tidak beroperasi
Kadipaten,Jawa Barat,Daop III Cirebon,KAD,Tidak beroperasi
Kadipiro,Jawa Tengah,Daop VI Yogyakarta,KDO,Beroperasi
Kedokangabus,Jawa Barat,Daop III Cirebon,KAB,Beroperasi
Kadukacang,Banten,Daop I Jakarta,KDK,Tidak beroperasi
Kadungdung,Jawa Timur,Daop VIII Surabaya,KDU,Tidak beroperasi
Kalasan,D.I Yogyakarta,Daop VI Yogyakarta,KLS,Tidak beroperasi
Kalianget,Jawa Timur,Daop VIII Surabaya,KLG,Tidak beroperasi
Kalibagor,Jawa Timur,Daop IX Jember,KLB,Tidak beroperasi
Kalibaru,Jawa Timur,Daop IX Jember,KBR,Beroperasi
Kalibodri,Jawa Tengah,Daop IV Semarang,KBD,Beroperasi
Kaliboto,Jawa Timur,Daop IX Jember,KLO,Tidak beroperasi
Kalideres,DKI Jakarta,Daop I Jakarta,KDS,Beroperasi
Kalimas,Jawa Timur,Daop VIII Surabaya,KLM,Beroperasi
Kalimenur,Jawa Tengah,Daop VI Yogyakarta,KLR,Tidak beroperasi
"Kalioso
d.h. Kali-Osso",Jawa Tengah,Daop VI Yogyakarta,KO,Beroperasi
Kalipucang,Jawa Barat,Daop II Bandung,KLC,Tidak beroperasi
Kalisamin,Jawa Tengah,Daop VI Yogyakarta,KIM,Tidak beroperasi
Kalisat,Jawa Timur,Daop IX Jember,KLT,Beroperasi
Kalisetail,Jawa Timur,Daop IX Jember,KLS,Beroperasi
Kalitidu,Jawa Timur,Daop VIII Surabaya,KIT,Beroperasi
Kaliwedi,Jawa Barat,Daop III Cirebon,KLW,Tidak beroperasi
Kaliwungu,Jawa Tengah,Daop IV Semarang,KLN,Beroperasi
Kamal,Jawa Timur,Daop VIII Surabaya,KML,Tidak beroperasi
Kamalpier,Jawa Timur,Daop VIII Surabaya,KMLP,Tidak beroperasi
Kambangan,Jawa Timur,Daop VII Madiun,KBG,Tidak beroperasi
Kamojan,Jawa Barat,Daop II Bandung,KMJ,Tidak beroperasi
Kampung Bandan,DKI Jakarta,Daop I Jakarta,KPB,Beroperasi
Kandangan (Surabaya),Jawa Timur,Daop VIII Surabaya,KDA,Beroperasi
Kandangan (Kediri),Jawa Timur,Daop VII Madiun,-,Tidak beroperasi
Kanigoro,Jawa Timur,Daop VII Madiun,KNO,Tidak beroperasi
Kapas,Jawa Timur,Daop VIII Surabaya,KPS,Beroperasi
Kapuan,Jawa Tengah,Daop IV Semarang,KPA,Beroperasi
Karangampel,Jawa Barat,Daop III Cirebon,KRP,Tidak beroperasi
Karanganyar,Jawa Tengah,Daop V Purwokerto,KA,Beroperasi
Karangantu,Banten,Daop I Jakarta,KRA,Beroperasi
Karangjati,Jawa Tengah,Daop IV Semarang,KGT,Beroperasi
Karanggandul,Jawa Tengah,Daop V Purwokerto,KGD,Beroperasi
Karangkandri,Jawa Tengah,Daop V Purwokerto,KKD,Beroperasi
Karangkretek,Jawa Barat,Daop II Bandung,KRK,Tidak beroperasi
"Karangpilang
d.h. Sepandjang OJS",Jawa Timur,Daop VIII Surabaya,KAP,Tidak beroperasi
Karangpucung,Jawa Barat,Daop II Bandun,KNP,Beroperasi
"Karangsari (ke Bd)
d.h. Gandamirah",Jawa Barat,Daop II Bandun,KRAI,Beroperasi
Karangsari (ke Pwt),Jawa Tengah,Daop V Purwokerto,KRR,Beroperasi
Karangsono,Jawa Tengah,Daop IV Semarang,KSO,Beroperasi
Karangsuwung,Jawa Barat,Daop III Cirebon,KRW,Tidak beroperasi
Karangtalun Lama,Jawa Tengah,Daop V Purwokerto,KUN[b],Tidak beroperasi
Karangtalun,Jawa Tengah,Daop V Purwokerto,KRL,Beroperasi
Karang Tengah,Jawa Barat,Daop I Jakarta,KE,Beroperasi
"Karawang
d.h. Krawang",Jawa Barat,Daop I Jakarta,KW,Beroperasi
"Karawangtrem
d.h.Krawangtrem",Jawa Barat,Daop I Jakarta,KWTR,Tidak beroperasi
Karet,DKI Jakarta,Daop I Jakarta,KAT,Beroperasi
Kartasura,Jawa Tengah,Daop VI Yogyakarta,KSR,Tidak beroperasi
Kasiyamlor,Jawa Timur,Daop IX Jember,KYM,Tidak beroperasi
Kasugihan,Jawa Tengah,Daop V Purwokerto,KH,Beroperasi
Kawarasan,Jawa Timur,Daop VII Madiun,KWS,Tidak beroperasi
Kawunganten,Jawa Tengah,Daop V Purwokerto,KWG,Beroperasi
Kebayoran,DKI Jakarta,Daop I Jakarta,KBY,Beroperasi
Kebasen,Jawa Tengah,Daop V Purwokerto,KBS,Beroperasi
