No.,station_name,station_code,arrival_time,departure_time,notes
1,SURABAYA PASARTURI,SBI,,07:50:00,
2,TANDES,TES,,07:55:00,
3,KANDANGAN,KDA,,07:57:00,
4,BENOWO,BNW,,08:00:00,
5,CERME,CME,,08:03:00,
6,DUDUK,DD,,08:09:00,
7,LAMONGAN,LMG,,08:17:00,
8,SURABAYAN,SBN,,08:22:00,
9,PUCUK,PC,,08:27:00,
10,GEMBONG,GEB,,08:31:00,
11,BABAT,BBT,,08:35:00,
12,BOWERNO,BWO,,08:41:00,
13,SUMBERREJO,SRJ,,08:49:00,
14,KAPAS,KPS,,08:54:00,
15,BOJONEGORO,BJ,09:00:00,09:03:00,
16,KALITIDU,KIT,,09:13:00,
17,TOBO,TBO,,09:22:00,
18,CEPU,CU,09:29:00,09:31:00,
19,KAPUAN,KPA,,09:36:00,
20,WADU,WDU,,09:40:00,
21,RANDUBLATUNG,RBG,,09:47:00,// KA 2523 (KA 2523 =)
22,DOPLANG,DPL,,09:55:00,
23,SULUR,SL,,10:00:00,
24,KRADENAN,KNN,,10:06:00,// KA 233F JJ (KA 233F JJ =)
25,PANUNGGALAN,PNL,,10:13:00,
26,JAMBON,JBN,,10:16:00,
27,GAMBRINGAN,GBN,,10:23:00,
28,NGROMBO,NBO,,10:25:00,
29,SEDADI,SDI,,10:28:00,
30,KARANGJATI,KGT,,10:33:00,// KA 495 (KA 495 =)
31,GUBUG,GUB,,10:40:00,
32,TEGOWANU,TGW,,10:44:00,
33,BRUMBUNG,BBG,,10:49:00,
34,ALASTUA,ATA,,10:53:00,
35,SEMARANG TAWANG,SMT,11:01:00,11:06:00,// KA 2509 (KA 2509 =)
36,SEMARANG PONCOL,SMC,,11:11:00,
37,JERAKAH,JRK,,11:15:00,
38,MANGKANG,MKG,,11:19:00,
39,KALIWUNGU,KLN,,11:22:00,
40,KALIBODRI,KBD,,11:30:00,
41,WELERI,WLR,,11:35:00,// KA 183 (KA 183 =)
42,KRENGSENG,KNS,,11:38:00,
43,PLABUAN,PLB,,11:44:00,
44,KURIPAN,KRP,,11:49:00,
45,UJUNGNEGORO,UJN,,11:58:00,
46,BATANG,BTG,,12:01:00,
47,PEKALONGAN,PK,12:09:00,12:11:00,
48,SRAGI,SRI,,12:20:00,
49,COMAL,CO,,12:23:00,
50,PETARUKAN,PTA,,12:29:00,
51,PEMALANG,PML,,12:33:00,
52,SURODADI,SD,,12:40:00,
53,LARANGAN,LR,,12:46:00,
54,TEGAL,TG,12:51:00,12:53:00,
55,BREBES,BB,,13:01:00,
56,TANJUNG,TGN,,13:12:00,
57,LOSARI,LOS,,13:17:00,
58,BABAKAN,BBK,,13:22:00,
59,WARUDUWUR,WDW,,13:29:00,
60,CIREBON PRUJAKAN,CNP,,13:35:00,
61,CIREBON,CN,13:38:00,13:43:00,
62,CANGKRING,CNK,,13:50:00,
63,BANGODUWA,BDW,,13:53:00,
64,ARJAWINANGUN,AWN,,13:56:00,// KA 2529 (KA 2529 =)
65,KERTASEMAYA,KTM,,14:05:00,
66,JATIBARANG,JTB,,14:10:00,
67,TELAGASARI,TLS,,14:16:00,
68,TERISI,TIS,,14:21:00,
69,KADOKANGABUS,KAB,,14:25:00,
70,CILEGEH,CLH,,14:30:00,
71,HAURGEULIS,HGL,,14:36:00,
72,CIPUNEGARA,CRA,,14:40:00,
73,PEGADENBARU,PGB,,14:45:00,
74,CIKAUM,CKM,,14:50:00,// KA 2703 (KA 2703 =)
75,PASIRBUNGUR,PAS,,14:54:00,
76,PRINGKASAP,PRI,,14:57:00,
77,PABUARAN,PAB,,15:00:00,
78,TANJUNGRASA,TJS,,15:03:00,
79,CIKAMPEK,CKP,,15:10:00,
80,DAWUAN,DWN,,15:13:00,
81,KOSAMBI,KOS,,15:17:00,
82,KLARI,KLI,,15:19:00,
83,KARAWANG,KW,,15:23:00,
84,KEDUNGGEDEH,KDH,,15:27:00,
85,LEMAHABANG,LMB,,15:33:00,
86,CIKARANG,CKR,,15:36:00,
87,TELAGA MURNI,TLM,,-,
88,CIBITUNG,CIT,,-,
89,TAMBUN,TB,,15:43:00,
90,BEKASITIMUR,BKST,,-,
91,BEKASI,BKS,15:49:00,15:51:00,
92,JATINEGARA,JNG,16:02:00,16:04:00,
93,MATRAMAN,MTR,,-,
94,MANGGARAI,MRI,,16:10:00,
95,CIKINI,CKI,,-,
96,GONDANGDIA,GDD,,-,
97,GAMBIR,GMR,16:20:00,,
