No.,station_name,station_code,arrival_time,departure_time,notes
1,SEMARANG PONCOL,SMC,,21:00:00,
2,JERAKAH,JRK,,21:05:00,
3,MANGKANG,MKG,,21:10:00,
4,KALIWUNGU,KLN,,21:15:00,
5,KALIBODRI,KBD,,21:24:00,
6,WELERI,WLR,21:32:00,21:34:00,
7,KRENGSENG,KNS,,21:40:00,
8,PLABUAN,PLB,,21:48:00,
9,KURIPAN,KRP,,21:53:00,
10,UJUNGNEGORO,UJN,,22:01:00,
11,BATANG,BTG,22:07:00,22:09:00,
12,PEKALONGAN,PK,22:19:00,22:22:00,
13,SRAGI,SRI,,22:32:00,
14,COMAL,CO,,22:35:00,
15,PETARUKAN,PTA,,22:42:00,
16,PEMALANG,PML,22:51:00,23:12:00,= KA 95 (KA 95 //)
17,SURODADI,SD,,23:22:00,
18,LARANGAN,LR,,23:29:00,
19,TEGAL,TG,23:35:00,,
