No.,station_name,station_code,arrival_time,departure_time,notes
1,GAMBRINGAN,GBN,23:29:00,23:34:00,MENERUSKAN PERJALANAN KA 237F
2,JAMBON,JBN,,23:45:00,
3,PANUNGGALAN,PNL,,23:50:00,
4,KRADENAN,KNN,23:59:00,00:01:00,
5,SULUR,SL,,00:09:00,
6,DOPLANG,DPL,,00:14:00,
7,RANDUBLATUNG,RBG,00:27:00,00:29:00,
8,WADU,WDU,,00:41:00,
9,KAPUAN,KPA,,00:46:00,
10,CEPU,CU,00:53:00,00:56:00,
11,TOBO,TBO,,01:04:00,
12,KALITIDU,KIT,,01:14:00,
13,BOJONEGORO,BJ,01:26:00,01:29:00,
14,KAPAS,KPS,,01:36:00,
15,SUMBERREJO,SRJ,,01:42:00,
16,BOWERNO,BWO,,01:50:00,
17,BABAT,BBT,01:58:00,02:00:00,
18,GEMBONG,GEB,,02:06:00,
19,PUCUK,PC,,02:10:00,
20,SURABAYAN,SBN,,02:17:00,
21,LAMONGAN,LMG,02:24:00,02:26:00,
22,DUDUK,DD,,02:35:00,
23,CERME,CME,,02:42:00,
24,BENOWO,BNW,,02:46:00,
25,KANDANGAN,KDA,,02:50:00,
26,TANDES,TES,,02:52:00,
27,SURABAYA PASARTURI,SBI,02:58:00,,
