No.,station_name,station_code,arrival_time,departure_time,notes
1,MADIUN,MN,,08:10:00,
2,MAGETAN,MAG,08:20:00,08:22:00,
3,GENENG,GG,08:32:00,08:50:00,= KA 161 (KA 161 //)
4,NGAWI,NGW,08:59:00,09:27:00,"= KA 89, KA 81 (KA 89, KA 81 //)"
5,KEDUNGGALAR,KG,,09:35:00,
6,WALIKUKUN,WK,09:43:00,09:45:00,
7,KEDUNGBANTENG,KDB,,09:55:00,
8,KEBONROMO,KRO,,09:59:00,
9,SRAGEN,SR,10:04:00,10:06:00,
10,MASARAN,MSR,,10:13:00,
11,KEMIRI,KMR,,10:19:00,
12,PALUR,PL,,10:22:00,
13,SOLOJEBRES,SK,10:26:00,10:28:00,
14,SOLOBALAPAN,SLO,10:32:00,10:37:00,
15,KADIPIRO,KDO,10:44:00,10:45:00,
16,ADI SOEMARMO,SMO,10:55:00,,
