No.,station_name,station_code,arrival_time,departure_time,notes
1,SURABAYAGUBENG,SGU,,22:00:00,
2,NGAGEL,NGA,,-,
3,WONOKROMO,WO,,22:06:00,
4,SEPANJANG,SPJ,,22:10:00,
5,BOHARAN,BH,,-,
6,KRIAN,KRN,,22:19:00,
7,KEDINDING,KDN,,-,
8,TARIK,TRK,,22:25:00,
9,MOJOKERTO,MR,22:34:00,22:36:00,
10,CURAHMALANG,CRM,,-,
11,SUMOBITO,SBO,,22:45:00,
12,PETERONGAN,PTR,,-,
13,JOMBANG,JG,22:53:00,22:55:00,
14,SEMBUNG,SMB,,23:02:00,
15,KERTOSONO,KTS,,23:07:00,
16,BARON,BRN,,23:11:00,
17,SUKOMORO,SKM,,23:17:00,
18,NGANJUK,NJ,23:22:00,23:24:00,
19,BAGOR,BGR,,23:30:00,
20,SARADAN,SRD,,23:40:00,
21,CARUBAN,CRB,,23:45:00,
22,BABADAN,BBD,,23:50:00,
23,MADIUN,MN,23:57:00,00:02:00,
24,MAGETAN,MAG,,00:10:00,// KA 2601 (KA 2601 =)
25,GENENG,GG,,00:15:00,
26,NGAWI,NGW,,00:20:00,
27,KEDUNGGALAR,KG,,00:25:00,
28,WALIKUKUN,WK,,00:31:00,
29,KEDUNGBANTENG,KDB,,00:39:00,
30,KEBONROMO,KRO,,00:43:00,
31,SRAGEN,SR,,00:46:00,
32,MASARAN,MSR,,00:51:00,
33,KEMIRI,KMR,,00:56:00,
34,PALUR,PL,,00:59:00,
35,SOLOJEBRES,SK,,01:02:00,
36,SOLOBALAPAN,SLO,01:06:00,01:09:00,
37,PURWOSARI,PWS,,01:13:00,
38,GAWOK,GW,,01:17:00,
39,DELANGGU,DL,,01:20:00,
40,CEPER,CE,,01:24:00,
41,KLATEN,KT,01:31:00,01:34:00,
42,SROWOT,SWT,,01:41:00,
43,BRAMBANAN,BBN,,01:45:00,
44,MAGUWO,MGW,,01:51:00,
45,LEMPUYANGAN,LPN,,01:56:00,// KA 2711 (KA 2711 =)
46,YOGYAKARTA,YK,02:00:00,,
