No.,station_name,station_code,arrival_time,departure_time,notes
1,PURWOKERTO,PWT,,08:20:00,
2,NOTOG,NTG,,08:29:00,
3,KEBASEN,KBS,,08:34:00,
4,RANDEGAN,RDN,,08:37:00,
5,KROYA,KYA,08:44:00,08:47:00,
6,KEMRANJEN,KJ,,08:54:00,
7,SUMPIUH,SPH,,08:57:00,
8,TAMBAK,TBK,,09:00:00,
9,IJO,IJ,,09:03:00,
10,GOMBONG,GB,09:10:00,09:12:00,
11,KARANGANYAR,KA,,09:19:00,
12,SRUWENG,SRW,,09:21:00,
13,KEBUMEN,KM,09:28:00,09:30:00,
14,WONOSARI,WNS,,09:35:00,
15,KUTOWINANGUN,KWN,,09:37:00,
16,PREMBUN,PRB,,09:41:00,
17,BUTUH,BTH,,09:46:00,
18,KUTOARJO,KTA,09:51:00,09:56:00,
19,JENAR,JN,,10:05:00,
20,WOJO,WJ,,10:10:00,
21,KEDUNDANG,KDG,,10:14:00,
22,WATES,WT,10:19:00,10:21:00,
23,SENTOLO,STL,,10:30:00,
24,REWULU,RWL,,10:37:00,
25,PATUKAN,PTN,,10:40:00,
26,YOGYAKARTA,YK,10:45:00,10:50:00,
27,LEMPUYANGAN,LPN,,10:54:00,
28,MAGUWO,MGW,,10:59:00,
29,BRAMBANAN,BBN,,11:04:00,
30,SROWOT,SWT,,11:09:00,
31,KLATEN,KT,11:15:00,11:17:00,
32,CEPER,CE,,11:25:00,
33,DELANGGU,DL,,11:29:00,
34,GAWOK,GW,,11:32:00,
35,PURWOSARI,PWS,,11:36:00,
36,SOLOBALAPAN,SLO,11:40:00,11:45:00,
37,SOLOJEBRES,SK,,11:49:00,
38,PALUR,PL,,11:52:00,
39,KEMIRI,KMR,,11:55:00,
40,MASARAN,MSR,,12:00:00,
41,SRAGEN,SR,12:08:00,12:10:00,
42,KEBONROMO,KRO,,12:15:00,
43,KEDUNGBANTENG,KDB,,12:19:00,
44,WALIKUKUN,WK,,12:27:00,
45,KEDUNGGALAR,KG,,12:32:00,
46,NGAWI,NGW,,12:37:00,
47,GENENG,GG,,12:42:00,
48,MAGETAN,MAG,,12:48:00,
49,MADIUN,MN,12:56:00,13:01:00,
50,BABADAN,BBD,,13:08:00,
51,CARUBAN,CRB,13:15:00,13:17:00,
52,SARADAN,SRD,,13:24:00,
53,BAGOR,BGR,,13:34:00,
54,NGANJUK,NJ,13:40:00,13:43:00,
55,SUKOMORO,SKM,,13:48:00,
56,BARON,BRN,,13:54:00,
57,KERTOSONO,KTS,14:00:00,14:05:00,
58,PURWOASRI,PWA,,14:12:00,
59,PAPAR,PPR,,14:16:00,X KA 151 (KA 151 X)
60,MINGGIRAN,MGN,,14:19:00,
61,SUSUHAN,SS,,14:23:00,
62,KEDIRI,KD,14:28:00,14:31:00,
63,NGADILUWIH,NDL,,14:39:00,X KA 427 (KA 427 X)
64,KRAS,KRS,,14:43:00,
65,NGUJANG,NJG,,14:48:00,
66,TULUNGAGUNG,TA,14:54:00,14:57:00,
67,SUMBERGEMPOL,SBL,,15:02:00,
68,NGUNUT,NT,,15:07:00,
69,REJOTANGAN,RJ,,15:13:00,
70,BLITAR,BL,15:23:00,15:26:00,
71,GARUM,GRM,,15:35:00,
72,TALUN,TAL,,15:43:00,
73,WLINGI,WG,15:49:00,15:59:00,X KA 35 (KA 35 X)
74,KESAMBEN,KSB,,16:09:00,
75,POGAJIH,PGJ,,16:17:00,X KA 429 (KA 429 X)
76,SUMBERPUCUNG,SBP,,16:25:00,
77,NGEBRUK,NB,16:31:00,16:40:00,X KA 37 (KA 37 X)
78,KEPANJEN,KPN,16:49:00,16:55:00,X KA 301 (KA 301 X)
79,PAKISAJI,PSI,17:05:00,17:11:00,X KA 67 (KA 67 X)
80,MALANGKOTALAMA,MLK,17:22:00,17:24:00,
81,MALANG,ML,17:30:00,,
