No.,station_name,station_code,arrival_time,departure_time,notes
1,SURABAYAKOTA,SB,13:29:00,14:15:00,
2,SURABAYAGUBENG,SGU,14:23:00,14:28:00,
3,NGAGEL,NGA,,-,
4,WONOKROMO,WO,14:36:00,14:39:00,
5,SEPANJANG,SPJ,,14:45:00,
6,BOHARAN,BH,,-,
7,KRIAN,KRN,,14:55:00,
8,KEDINDING,KDN,,-,
9,TARIK,TRK,,15:02:00,
10,MOJOKERTO,MR,15:11:00,15:13:00,
11,CURAHMALANG,CRM,,-,
12,SUMOBITO,SBO,,15:23:00,
13,PETERONGAN,PTR,,-,
14,JOMBANG,JG,15:33:00,15:36:00,
15,SEMBUNG,SMB,,15:43:00,
16,KERTOSONO,KTS,15:50:00,15:53:00,
17,BARON,BRN,,16:00:00,
18,SUKOMORO,SKM,,16:07:00,
19,NGANJUK,NJ,16:12:00,16:14:00,
20,BAGOR,BGR,,16:21:00,
21,SARADAN,SRD,,16:33:00,
22,CARUBAN,CRB,16:41:00,16:43:00,
23,BABADAN,BBD,,16:51:00,
24,MADIUN,MN,16:59:00,17:04:00,
25,MAGETAN,MAG,17:14:00,17:16:00,
26,GENENG,GG,,17:24:00,
27,NGAWI,NGW,17:31:00,17:33:00,
28,KEDUNGGALAR,KG,,17:41:00,
29,WALIKUKUN,WK,17:51:00,17:53:00,
30,KEDUNGBANTENG,KDB,,18:04:00,
31,KEBONROMO,KRO,,18:08:00,
32,SRAGEN,SR,18:13:00,18:15:00,
33,MASARAN,MSR,,18:22:00,
34,KEMIRI,KMR,,18:28:00,
35,PALUR,PL,,18:31:00,
36,SOLOJEBRES,SK,,18:34:00,
37,SOLOBALAPAN,SLO,,18:38:00,
38,PURWOSARI,PWS,18:42:00,18:45:00,
39,GAWOK,GW,,18:51:00,
40,DELANGGU,DL,,18:55:00,
41,CEPER,CE,,18:59:00,
42,KLATEN,KT,19:06:00,19:08:00,
43,SROWOT,SWT,,19:14:00,
44,BRAMBANAN,BBN,,19:19:00,
45,MAGUWO,MGW,,19:25:00,
46,LEMPUYANGAN,LPN,19:33:00,,
