No.,station_name,station_code,arrival_time,departure_time,notes
1,KROYA,KYA,07:40:00,08:00:00,
2,RANDEGAN,RDN,,08:07:00,
3,KEBASEN,KBS,,08:10:00,
4,NOTOG,NTG,,08:15:00,
5,PURWOKERTO,PWT,08:23:00,08:29:00,
6,KARANGGANDUL,KGD,,08:37:00,
7,KARANGSARI,KRR,,08:46:00,
8,PATUGURAN,PAT,,08:57:00,
9,KRETEK,KRT,,09:03:00,
10,BUMIAYU,BMA,09:11:00,09:13:00,
11,LINGGAPURA,LG,,09:22:00,
12,PRUPUK,PPK,,09:32:00,
13,SONGGOM,SGG,,09:39:00,
14,LARANGAN,LRA,,09:42:00,
15,KETANGGUNGAN,KGG,,09:47:00,
16,CILEDUG,CLD,,09:56:00,
17,SINDANGLAUT,SDU,,10:05:00,
18,LUWUNG,LWG,,10:09:00,
19,CIREBON PRUJAKAN,CNP,,10:14:00,
20,CIREBON,CN,10:18:00,10:23:00,
21,CANGKRING,CNK,,10:30:00,
22,BANGODUWA,BDW,,10:33:00,
23,ARJAWINANGUN,AWN,,10:36:00,// KA 2501 (KA 2501 =)
24,KERTASEMAYA,KTM,,10:45:00,
25,JATIBARANG,JTB,,10:50:00,
26,TELAGASARI,TLS,,10:56:00,
27,TERISI,TIS,,11:01:00,
28,KADOKANGABUS,KAB,,11:05:00,
29,CILEGEH,CLH,,11:10:00,
30,HAURGEULIS,HGL,,11:16:00,
31,CIPUNEGARA,CRA,,11:20:00,
32,PEGADENBARU,PGB,,11:25:00,
33,CIKAUM,CKM,,11:30:00,
34,PASIRBUNGUR,PAS,,11:33:00,
35,PRINGKASAP,PRI,,11:37:00,
36,PABUARAN,PAB,,11:40:00,
37,TANJUNGRASA,TJS,,11:43:00,
38,CIKAMPEK,CKP,,11:50:00,
39,DAWUAN,DWN,,11:53:00,
40,KOSAMBI,KOS,,11:57:00,
41,KLARI,KLI,,11:59:00,
42,KARAWANG,KW,,12:03:00,
43,KEDUNGGEDEH,KDH,,12:07:00,
44,LEMAHABANG,LMB,,12:13:00,
45,CIKARANG,CKR,,12:16:00,
46,TELAGA MURNI,TLM,,-,
47,CIBITUNG,CIT,,-,
48,TAMBUN,TB,,12:22:00,
49,BEKASITIMUR,BKST,,-,
50,BEKASI,BKS,12:28:00,12:30:00,
51,JATINEGARA,JNG,,12:40:00,
52,MATRAMAN,MTR,,-,
53,MANGGARAI,MRI,,12:45:00,
54,CIKINI,CKI,,-,
55,GONDANGDIA,GDD,,-,
56,GAMBIR,GMR,12:55:00,,
