No.,station_name,station_code,arrival_time,departure_time,notes
1,SURABAYA PASARTURI,SBI,,12:50:00,
2,TANDES,TES,,12:56:00,
3,KANDANGAN,KDA,,12:59:00,
4,BENOWO,BNW,,13:03:00,
5,CERME,CME,,13:07:00,
6,DUDUK,DD,,13:15:00,
7,LAMONGAN,LMG,13:27:00,13:29:00,
8,SURABAYAN,SBN,,13:37:00,
9,PUCUK,PC,,13:44:00,
10,GEMBONG,GEB,,13:48:00,
11,BABAT,BBT,13:56:00,13:59:00,
12,BOWERNO,BWO,,14:07:00,
13,SUMBERREJO,SRJ,,14:17:00,
14,KAPAS,KPS,,14:24:00,
15,BOJONEGORO,BJ,14:32:00,14:35:00,
16,KALITIDU,KIT,,14:48:00,
17,TOBO,TBO,,14:59:00,
18,CEPU,CU,15:08:00,15:11:00,
19,KAPUAN,KPA,,15:17:00,
20,WADU,WDU,,15:22:00,
21,RANDUBLATUNG,RBG,15:34:00,15:36:00,
22,DOPLANG,DPL,,15:49:00,
23,SULUR,SL,,15:55:00,
24,KRADENAN,KNN,,16:02:00,
25,PANUNGGALAN,PNL,,16:11:00,
26,JAMBON,JBN,,16:16:00,
27,GAMBRINGAN,GBN,,16:25:00,
28,NGROMBO,NBO,16:29:00,16:32:00,
29,SEDADI,SDI,,16:39:00,
30,KARANGJATI,KGT,,16:46:00,
31,GUBUG,GUB,,16:56:00,
32,TEGOWANU,TGW,,17:02:00,
33,BRUMBUNG,BBG,,17:09:00,
34,ALASTUA,ATA,,17:14:00,
35,SEMARANG TAWANG,SMT,,17:22:00,
36,SEMARANG PONCOL,SMC,17:27:00,17:32:00,// KA 2707 (KA 2707 =)
37,JERAKAH,JRK,,17:38:00,
38,MANGKANG,MKG,,17:43:00,
39,KALIWUNGU,KLN,,17:48:00,
40,KALIBODRI,KBD,,17:58:00,
41,WELERI,WLR,18:06:00,18:08:00,
42,KRENGSENG,KNS,,18:13:00,
43,PLABUAN,PLB,,18:20:00,
44,KURIPAN,KRP,,18:26:00,
45,UJUNGNEGORO,UJN,,18:35:00,
46,BATANG,BTG,,18:39:00,
47,PEKALONGAN,PK,18:48:00,18:51:00,
48,SRAGI,SRI,,19:02:00,
49,COMAL,CO,,19:05:00,
50,PETARUKAN,PTA,,19:12:00,
51,PEMALANG,PML,19:18:00,19:20:00,
52,SURODADI,SD,,19:30:00,
53,LARANGAN,LR,,19:38:00,
54,TEGAL,TG,19:44:00,19:47:00,
55,BREBES,BB,19:59:00,20:01:00,
56,TANJUNG,TGN,20:18:00,20:20:00,
57,LOSARI,LOS,,20:28:00,
58,BABAKAN,BBK,20:36:00,20:38:00,
59,WARUDUWUR,WDW,,20:50:00,
60,CIREBON PRUJAKAN,CNP,21:00:00,21:06:00,
61,CIREBON,CN,,21:10:00,
62,CANGKRING,CNK,,21:16:00,
63,BANGODUWA,BDW,,21:20:00,
64,ARJAWINANGUN,AWN,21:25:00,21:27:00,
65,KERTASEMAYA,KTM,,21:40:00,
66,JATIBARANG,JTB,21:47:00,21:49:00,
67,TELAGASARI,TLS,,21:58:00,
68,TERISI,TIS,,22:04:00,
69,KADOKANGABUS,KAB,,22:09:00,
70,CILEGEH,CLH,,22:15:00,
71,HAURGEULIS,HGL,22:25:00,22:38:00,= KA 25 (KA 25 //)
72,CIPUNEGARA,CRA,,22:44:00,
73,PEGADENBARU,PGB,22:52:00,23:02:00,= KA 107 (KA 107 //)
74,CIKAUM,CKM,,23:11:00,
75,PASIRBUNGUR,PAS,,23:16:00,
76,PRINGKASAP,PRI,,23:21:00,
77,PABUARAN,PAB,,23:25:00,
78,TANJUNGRASA,TJS,,23:29:00,
79,CIKAMPEK,CKP,23:38:00,23:40:00,
80,DAWUAN,DWN,,23:44:00,
81,KOSAMBI,KOS,,23:49:00,
82,KLARI,KLI,,23:52:00,
83,KARAWANG,KW,,23:57:00,
84,KEDUNGGEDEH,KDH,,00:02:00,
85,LEMAHABANG,LMB,,00:09:00,
86,CIKARANG,CKR,00:13:00,00:15:00,
87,TELAGA MURNI,TLM,,-,
88,CIBITUNG,CIT,,-,
89,TAMBUN,TB,,00:24:00,
90,BEKASITIMUR,BKST,,-,
91,BEKASI,BKS,00:31:00,00:33:00,
92,JATINEGARA,JNG,00:46:00,00:48:00,
93,PONDOKJATI,POK,,-,
94,KRAMAT,KMT,,-,
95,GANGSENTIONG,GST,,-,
96,PASARSENEN,PSE,00:58:00,,
