No.,station_name,station_code,arrival_time,departure_time,notes
1,SURABAYAGUBENG,SGU,,10:10:00,
2,NGAGEL,NGA,,-,
3,WONOKROMO,WO,,10:16:00,(KA 464X)
4,MARGOREJO,MGR,,-,
5,JEMURSARI,JMS,,-,
6,KERTOMENANGGAL,KTL,,-,
7,WARU,WR,,10:22:00,
8,SAWOTRATAP,STP,,-,
9,GEDANGAN,GDG,,10:26:00,
10,BANJARKEMANTREN,BJK,,-,
11,BUDURAN,BDR,,-,
12,PAGERWOJO,PWJ,,-,
13,SIDOARJO,SDA,10:35:00,10:39:00,X KA 2630 (KA 2630 X)
14,TANGGULANGIN,TGA,,10:45:00,X KA 456 (KA 456 X)
15,PORONG,PR,,10:48:00,
16,BANGIL,BG,11:01:00,11:06:00,(KA 250 X)
17,WONOKERTO,WN,,11:16:00,
18,SUKOREJO,SKJ,,11:25:00,
19,SENGON,SN,,11:29:00,
20,LAWANG,LW,11:41:00,11:44:00,
21,SINGOSARI,SGS,,11:53:00,
22,BLIMBING,BMG,,11:59:00,X KA 402 (KA 402 X)
23,MALANG,ML,12:06:00,,
