No.,station_name,station_code,arrival_time,departure_time,notes
1,KIARACONDONG,KAC,,22:20:00,
2,GEDEBAGE,GDB,,22:28:00,// KA 388 (KA 388 =)
3,CIMEKAR,CMK,,-,
4,RANCAEKEK,RCK,,22:34:00,
5,HAURPUGUR,HRP,,22:38:00,
6,CICALENGKA,CCL,,22:41:00,
7,NAGREG,NG,,22:55:00,
8,LEBAKJERO,LBJ,,23:03:00,
9,LELES,LL,23:13:00,23:25:00,X KA 287 (KA 287 X)
10,KARANGSARI,KRAI,,23:32:00,
11,LEUWIGOONG,LO,,-,
12,CIBATU,CB,,23:40:00,
13,WARUNGBANDREK,WB,,23:48:00,
14,BUMIWALUYA,BMW,,00:00:00,
15,CIPEUNDEUY,CPD,00:11:00,00:21:00,X KA 205F JJ (KA 205F JJ X)
16,CIRAHAYU,CAA,,00:34:00,
17,CIAWI,CAW,00:44:00,00:53:00,X KA 79 (KA 79 X)
18,RAJAPOLAH,RJP,,01:03:00,
19,INDIHIANG,IH,,01:10:00,
20,TASIKMALAYA,TSM,01:17:00,01:25:00,
21,AWIPARI,AW,,01:32:00,
22,MANONJAYA,MNJ,,01:35:00,
23,CIAMIS,CI,01:47:00,02:04:00,X KA 71 (KA 71 X)
24,BOJONG,BJG,02:14:00,02:21:00,X KA 67 (KA 67 X)
25,KARANGPUCUNG,KNP,,02:30:00,
26,BANJAR,BJR,02:39:00,02:44:00,X KA 11 (KA 11 X)
27,LANGEN,LN,,02:53:00,
28,MELUWUNG,MLW,,02:59:00,
29,CIPARI,CPI,,03:05:00,
30,SIDAREJA,SDR,03:11:00,03:15:00,X KA 273 (KA 273 X)
31,GANDRUNGMANGUN,GDM,03:23:00,03:25:00,
32,KAWUNGANTEN,KWG,,03:33:00,
33,JERUKLEGI,JRL,,03:44:00,
34,LEBENG,LBG,,03:49:00,
35,KASUGIHAN,KH,,03:53:00,
36,MAOS,MA,03:56:00,03:59:00,X KA LL501
37,SIKAMPUH,SKP,,04:05:00,
38,KROYA,KYA,04:11:00,04:13:00,(KA 305 X)
39,KEMRANJEN,KJ,,04:19:00,
40,SUMPIUH,SPH,,04:23:00,
41,TAMBAK,TBK,,04:27:00,
42,IJO,IJ,,04:31:00,
43,GOMBONG,GB,04:38:00,04:40:00,
44,KARANGANYAR,KA,,04:47:00,
45,SRUWENG,SRW,,04:50:00,
46,KEBUMEN,KM,04:57:00,04:59:00,
47,WONOSARI,WNS,,05:04:00,
48,KUTOWINANGUN,KWN,,05:07:00,
49,PREMBUN,PRB,,05:12:00,
50,BUTUH,BTH,,05:17:00,
51,KUTOARJO,KTA,05:22:00,05:25:00,
52,JENAR,JN,,05:37:00,
53,WOJO,WJ,,05:43:00,
54,KEDUNDANG,KDG,,05:48:00,
55,WATES,WT,05:54:00,05:56:00,
56,SENTOLO,STL,,06:05:00,
57,REWULU,RWL,,06:12:00,
58,PATUKAN,PTN,,06:15:00,
59,YOGYAKARTA,YK,,06:20:00,
60,LEMPUYANGAN,LPN,06:23:00,06:28:00,
61,MAGUWO,MGW,,06:34:00,
62,BRAMBANAN,BBN,,06:40:00,
63,SROWOT,SWT,,06:44:00,
64,KLATEN,KT,06:50:00,06:52:00,
65,CEPER,CE,,06:59:00,
66,DELANGGU,DL,,07:03:00,
67,GAWOK,GW,,07:07:00,
68,PURWOSARI,PWS,07:13:00,07:16:00,
69,SOLOBALAPAN,SLO,,07:20:00,
70,SOLOJEBRES,SK,,07:24:00,
71,PALUR,PL,,07:27:00,
72,KEMIRI,KMR,,07:30:00,
73,MASARAN,MSR,,07:36:00,
74,SRAGEN,SR,07:44:00,07:58:00,= KA 84 (KA 84 //)
75,KEBONROMO,KRO,,08:04:00,
76,KEDUNGBANTENG,KDB,,08:09:00,
77,WALIKUKUN,WK,08:21:00,08:24:00,
78,KEDUNGGALAR,KG,,08:33:00,
79,NGAWI,NGW,08:41:00,08:44:00,
80,GENENG,GG,,08:51:00,
81,MAGETAN,MAG,09:00:00,09:02:00,
82,MADIUN,MN,09:12:00,09:18:00,
83,BABADAN,BBD,,09:26:00,
84,CARUBAN,CRB,09:34:00,09:36:00,
85,SARADAN,SRD,,09:44:00,
86,BAGOR,BGR,,09:56:00,
87,NGANJUK,NJ,10:03:00,10:06:00,
88,SUKOMORO,SKM,,10:11:00,
89,BARON,BRN,,10:19:00,
90,KERTOSONO,KTS,10:26:00,10:29:00,
91,PURWOASRI,PWA,,10:37:00,
92,PAPAR,PPR,10:43:00,10:45:00,
93,MINGGIRAN,MGN,,10:50:00,X KA 269 (KA 269 X)
94,SUSUHAN,SS,,10:54:00,
95,KEDIRI,KD,11:01:00,11:05:00,X KA 167 (KA 167 X)
96,NGADILUWIH,NDL,,11:15:00,
97,KRAS,KRS,,11:21:00,
98,NGUJANG,NJG,,11:27:00,X KA 425 (KA 425 X)
99,TULUNGAGUNG,TA,11:33:00,11:36:00,
100,SUMBERGEMPOL,SBL,,11:42:00,
101,NGUNUT,NT,,11:47:00,
102,REJOTANGAN,RJ,,11:54:00,
103,BLITAR,BL,12:05:00,,
