No.,station_name,station_code,arrival_time,departure_time,notes
1,YOGYAKARTA,YK,,22:25:00,
2,LEMPUYANGAN,LPN,,22:28:00,
3,MAGUWO,MGW,,22:32:00,
4,BRAMBANAN,BBN,,22:37:00,
5,SROWOT,SWT,,22:41:00,
6,KLATEN,KT,22:46:00,22:48:00,
7,CEPER,CE,,22:55:00,
8,DELANGGU,DL,,22:59:00,
9,GAWOK,GW,,23:02:00,
10,PURWOSARI,PWS,,23:06:00,
11,SOLOBALAPAN,SLO,23:10:00,23:13:00,// KA 2604 (KA 2604 =)
12,SOLOJEBRES,SK,,23:17:00,
13,PALUR,PL,,23:20:00,
14,KEMIRI,KMR,,23:23:00,
15,MASARAN,MSR,,23:28:00,
16,SRAGEN,SR,,23:33:00,
17,KEBONROMO,KRO,,23:36:00,
18,KEDUNGBANTENG,KDB,,23:40:00,
19,WALIKUKUN,WK,,23:48:00,
20,KEDUNGGALAR,KG,,23:53:00,
21,NGAWI,NGW,,23:58:00,// KA 152 (KA 152 =)
22,GENENG,GG,,00:03:00,
23,MAGETAN,MAG,,00:08:00,
24,MADIUN,MN,00:16:00,00:22:00,
25,BABADAN,BBD,,00:29:00,
26,CARUBAN,CRB,,00:34:00,
27,SARADAN,SRD,,00:39:00,
28,BAGOR,BGR,,00:49:00,
29,NGANJUK,NJ,00:55:00,00:57:00,
30,SUKOMORO,SKM,,01:02:00,
31,BARON,BRN,,01:08:00,
32,KERTOSONO,KTS,,01:13:00,
33,SEMBUNG,SMB,,01:18:00,
34,JOMBANG,JG,01:25:00,01:28:00,
35,PETERONGAN,PTR,,-,
36,SUMOBITO,SBO,,01:37:00,
37,CURAHMALANG,CRM,,-,
38,MOJOKERTO,MR,01:46:00,01:48:00,
39,TARIK,TRK,,01:56:00,
40,KEDINDING,KDN,,-,
41,KRIAN,KRN,,02:03:00,
42,BOHARAN,BH,,-,
43,SEPANJANG,SPJ,,02:13:00,
44,WONOKROMO,WO,,02:19:00,
