No.,station_name,station_code,arrival_time,departure_time,notes
1,TEGAL,TG,09:41:00,09:47:00,"MENERUSKAN PERJALANAN KA 187, 
X KA 2617"
2,SLAWI,SLW,10:04:00,10:06:00,
3,BALAPULANG,BLP,,-,
4,MARGASARI,MGS,,-,
5,PRUPUK,PPK,10:34:00,10:36:00,
6,LINGGAPURA,LG,,10:48:00,
7,BUMIAYU,BMA,10:57:00,10:59:00,
8,KRETEK,KRT,,11:07:00,
9,PATUGURAN,PAT,,11:13:00,
10,KARANGSARI,KRR,,11:23:00,
11,KARANGGANDUL,KGD,,11:31:00,
12,PURWOKERTO,PWT,11:39:00,11:44:00,
13,NOTOG,NTG,,11:52:00,
14,KEBASEN,KBS,,11:57:00,
15,RANDEGAN,RDN,,12:00:00,
16,KROYA,KYA,12:07:00,12:09:00,
17,KEMRANJEN,KJ,,12:15:00,
18,SUMPIUH,SPH,12:20:00,12:32:00,= KA 46 (KA 46 //)
19,TAMBAK,TBK,,12:37:00,
20,IJO,IJ,,12:41:00,
21,GOMBONG,GB,12:47:00,12:49:00,
22,KARANGANYAR,KA,,12:56:00,
23,SRUWENG,SRW,,12:59:00,
24,KEBUMEN,KM,13:06:00,13:08:00,
25,WONOSARI,WNS,,13:12:00,
26,KUTOWINANGUN,KWN,13:16:00,13:18:00,
27,PREMBUN,PRB,,13:24:00,
28,BUTUH,BTH,,13:28:30,
29,KUTOARJO,KTA,13:33:00,13:36:00,
30,JENAR,JN,,13:46:00,
31,WOJO,WJ,13:53:00,13:55:00,
32,KEDUNDANG,KDG,,14:01:00,
33,WATES,WT,14:07:00,14:09:00,
34,SENTOLO,STL,,14:18:00,
35,REWULU,RWL,,14:25:00,
36,PATUKAN,PTN,,14:28:00,
37,YOGYAKARTA,YK,14:33:00,14:37:00,
38,LEMPUYANGAN,LPN,14:41:00,14:44:00,
39,MAGUWO,MGW,,14:50:00,
40,BRAMBANAN,BBN,,14:56:00,
41,SROWOT,SWT,,15:00:00,
42,KLATEN,KT,15:06:00,15:08:00,
43,CEPER,CE,,15:16:00,
44,DELANGGU,DL,,15:20:00,
45,GAWOK,GW,,15:24:00,
46,PURWOSARI,PWS,,15:29:00,
47,SOLOBALAPAN,SLO,15:34:00,15:50:00,
