No.,station_name,station_code,arrival_time,departure_time,notes
1,PASARSENEN,PSE,,06:45:00,
2,GANGSENTIONG,GST,,-,
3,KRAMAT,KMT,,-,
4,PONDOKJATI,POK,,-,
5,JATINEGARA,JNG,06:56:00,06:58:00,
6,BEKASI,BKS,07:10:00,07:12:00,
7,BEKASITIMUR,BKST,,-,
8,TAMBUN,TB,,07:18:00,
9,CIBITUNG,CIT,,-,
10,TELAGA MURNI,TLM,,-,
11,CIKARANG,CKR,07:26:00,07:28:00,
12,LEMAHABANG,LMB,,07:32:00,
13,KEDUNGGEDEH,KDH,,07:38:00,
14,KARAWANG,KW,,07:42:00,
15,KLARI,KLI,,07:46:00,
16,KOSAMBI,KOS,,07:48:00,
17,DAWUAN,DWN,,07:53:00,
18,CIKAMPEK,CKP,,07:56:00,
19,TANJUNGRASA,TJS,,08:03:00,
20,PABUARAN,PAB,,08:06:00,
21,PRINGKASAP,PRI,,08:09:00,
22,PASIRBUNGUR,PAS,,08:13:00,
23,CIKAUM,CKM,,08:16:00,
24,PEGADENBARU,PGB,,08:21:00,
25,CIPUNEGARA,CRA,,08:25:00,
26,HAURGEULIS,HGL,,08:29:00,
27,CILEGEH,CLH,,08:35:00,
28,KADOKANGABUS,KAB,,08:40:00,
29,TERISI,TIS,,08:44:00,
30,TELAGASARI,TLS,,08:49:00,
31,JATIBARANG,JTB,08:55:00,08:57:00,
32,KERTASEMAYA,KTM,,09:03:00,
33,ARJAWINANGUN,AWN,,09:12:00,
34,BANGODUWA,BDW,,09:15:00,
35,CANGKRING,CNK,,09:18:00,
36,CIREBON,CN,09:24:00,09:30:00,
37,CIREBON PRUJAKAN,CNP,,09:33:00,
38,WARUDUWUR,WDW,,09:40:00,
39,BABAKAN,BBK,,09:47:00,// KA 218 (KA 218 =)
40,LOSARI,LOS,,09:53:00,
41,TANJUNG,TGN,,09:58:00,
42,BREBES,BB,10:11:00,10:13:00,
43,TEGAL,TG,10:24:00,10:27:00,
44,LARANGAN,LR,,10:33:00,
45,SURODADI,SD,,10:39:00,
46,PEMALANG,PML,10:49:00,11:09:00,= KA 20 (KA 20 //)
47,PETARUKAN,PTA,,11:15:00,
48,COMAL,CO,,11:21:00,
49,SRAGI,SRI,,11:24:00,
50,PEKALONGAN,PK,11:33:00,11:36:00,
51,BATANG,BTG,,11:44:00,
52,UJUNGNEGORO,UJN,,11:47:00,
53,KURIPAN,KRP,,11:55:00,
54,PLABUAN,PLB,,12:00:00,
55,KRENGSENG,KNS,,12:06:00,
56,WELERI,WLR,12:11:00,12:13:00,
57,KALIBODRI,KBD,,12:21:00,
58,KALIWUNGU,KLN,,12:29:00,
59,MANGKANG,MKG,,12:33:00,
60,JERAKAH,JRK,,12:38:00,
61,SEMARANG PONCOL,SMC,12:43:00,12:46:00,
62,SEMARANG TAWANG,SMT,12:53:00,,
