No.,station_name,station_code,arrival_time,departure_time,notes
1,SOLOBALAPAN,SLO,11:56:00,12:00:00,
2,PURWOSARI,PWS,,12:04:00,
3,GAWOK,GW,,12:08:30,
4,DELANGGU,DL,,12:13:00,
5,CEPER,CE,,12:18:00,
6,KLATEN,KT,12:26:00,12:37:00,= KA 5 (KA 5 //)
7,SROWOT,SWT,,12:43:00,
8,BRAMBANAN,BBN,,12:47:00,
9,MAGUWO,MGW,,12:53:00,
10,LEMPUYANGAN,LPN,,12:58:00,
11,YOGYAKARTA,YK,13:01:00,13:05:00,
12,PATUKAN,PTN,,13:10:00,
13,REWULU,RWL,,13:13:00,
14,SENTOLO,STL,,13:20:00,
15,WATES,WT,13:29:00,13:31:00,
16,KEDUNDANG,KDG,,13:37:00,
17,WOJO,WJ,,13:42:00,
18,JENAR,JN,,13:48:00,
19,KUTOARJO,KTA,13:59:00,14:02:00,
20,BUTUH,BTH,,14:07:00,
21,PREMBUN,PRB,,14:12:00,
22,KUTOWINANGUN,KWN,,14:17:00,
23,WONOSARI,WNS,,14:20:00,
24,KEBUMEN,KM,14:24:00,14:26:00,
25,SRUWENG,SRW,,14:33:00,
26,KARANGANYAR,KA,,14:36:00,
27,GOMBONG,GB,14:43:00,14:45:00,
28,IJO,IJ,,14:51:00,
29,TAMBAK,TBK,,14:54:00,
30,SUMPIUH,SPH,,14:58:00,
31,KEMRANJEN,KJ,,15:02:00,
32,KROYA,KYA,15:08:00,15:10:00,// KA 2615 (KA 2615 =)
33,SIKAMPUH,SKP,,15:16:00,X KA 2722 (KA 2722 X)
34,MAOS,MA,15:22:00,15:24:00,
35,KASUGIHAN,KH,,15:27:00,
36,KARANGKANDRI,KKD,15:34:00,15:40:00,X KA 158 (KA 158 X)
37,GUMILIR,GM,15:46:00,15:48:00,
38,CILACAP,CP,15:58:00,,
