No.,station_name,station_code,arrival_time,departure_time,notes
1,YOGYAKARTA,YK,,11:30:00,
2,LEMPUYANGAN,LPN,,11:33:00,// KA 2716 (KA 2716 =)
3,MAGUWO,MGW,,11:37:00,
4,BRAMBANAN,BBN,,11:42:00,
5,SROWOT,SWT,,11:45:00,// KA 2602 (KA 2602 =)
6,KLATEN,KT,11:50:00,11:52:00,
7,CEPER,CE,,11:59:00,
8,DELANGGU,DL,,12:03:00,
9,GAWOK,GW,,12:06:00,
10,PURWOSARI,PWS,,12:10:00,
11,SOLOBALAPAN,SLO,12:14:00,12:17:00,
12,SOLOJEBRES,SK,,12:21:00,
13,PALUR,PL,,12:24:00,
14,KEMIRI,KMR,,12:27:00,
15,MASARAN,MSR,,12:32:00,
16,SRAGEN,SR,,12:37:00,
17,KEBONROMO,KRO,,12:41:00,
18,KEDUNGBANTENG,KDB,,12:45:00,
19,WALIKUKUN,WK,,12:53:00,
20,KEDUNGGALAR,KG,,12:58:00,
21,NGAWI,NGW,,13:03:00,
22,GENENG,GG,,13:08:00,
23,MAGETAN,MAG,,13:13:00,
24,MADIUN,MN,13:21:00,13:27:00,
25,BABADAN,BBD,,13:34:00,
26,CARUBAN,CRB,,13:39:00,
27,SARADAN,SRD,,13:45:00,
28,BAGOR,BGR,,13:55:00,
29,NGANJUK,NJ,14:01:00,14:03:00,
30,SUKOMORO,SKM,,14:08:00,
31,BARON,BRN,,14:14:00,
32,KERTOSONO,KTS,,14:19:00,
33,SEMBUNG,SMB,,14:24:00,
34,JOMBANG,JG,14:31:00,14:34:00,
35,PETERONGAN,PTR,,-,
36,SUMOBITO,SBO,,14:43:00,// KA 2640F JJ (KA 2640F JJ =)
37,CURAHMALANG,CRM,,-,
38,MOJOKERTO,MR,14:52:00,14:55:00,
39,TARIK,TRK,,15:03:00,
40,KEDINDING,KDN,,-,
41,KRIAN,KRN,,15:09:00,
42,BOHARAN,BH,,-,
43,SEPANJANG,SPJ,,15:19:00,"// KA 426 (KA 426 =) 
X KA 407"
44,WONOKROMO,WO,,15:24:00,
45,NGAGEL,NGA,,-,
46,SURABAYAGUBENG,SGU,15:30:00,,
