No.,station_name,station_code,arrival_time,departure_time,notes
1,CEPU,CU,,05:15:00,
2,KAPUAN,KPA,,05:21:00,
3,WADU,WDU,05:28:00,05:30:00,
4,RANDUBLATUNG,RBG,05:43:00,05:45:00,
5,DOPLANG,DPL,05:58:00,06:00:00,
6,SULUR,SL,,06:07:00,
7,KRADENAN,KNN,06:15:00,06:17:00,
8,PANUNGGALAN,PNL,,06:26:00,
9,JAMBON,JBN,06:32:00,06:34:00,
10,GAMBRINGAN,GBN,,06:44:00,
11,NGROMBO,NBO,06:47:00,06:49:00,
12,SEDADI,SDI,,06:55:00,
13,KARANGJATI,KGT,,07:01:00,
14,GUBUG,GUB,,07:10:00,
15,TEGOWANU,TGW,,07:15:00,
16,BRUMBUNG,BBG,,07:22:00,
17,ALASTUA,ATA,,07:27:00,
18,SEMARANG TAWANG,SMT,07:35:00,07:40:00,// KA 2529 (KA 2529 =)
19,SEMARANG PONCOL,SMC,07:47:00,,
