No.,station_name,station_code,arrival_time,departure_time,notes
1,GAMBIR,GMR,,17:00:00,
2,GONDANGDIA,GDD,,-,
3,CIKINI,CKI,,-,
4,MANGGARAI,MRI,,17:09:00,
5,MATRAMAN,MTR,,-,
6,JATINEGARA,JNG,,17:14:00,
7,BEKASI,BKS,17:24:00,17:26:00,
8,BEKASITIMUR,BKST,,-,
9,TAMBUN,TB,,17:32:00,
10,CIBITUNG,CIT,,-,
11,TELAGA MURNI,TLM,,-,
12,CIKARANG,CKR,,17:39:00,
13,LEMAHABANG,LMB,,17:42:00,
14,KEDUNGGEDEH,KDH,,17:48:00,
15,KARAWANG,KW,,17:52:00,
16,KLARI,KLI,,17:56:00,
17,KOSAMBI,KOS,,17:58:00,
18,DAWUAN,DWN,,18:02:00,
19,CIKAMPEK,CKP,,18:05:00,
20,TANJUNGRASA,TJS,,18:12:00,
21,PABUARAN,PAB,,18:15:00,
22,PRINGKASAP,PRI,,18:18:00,
23,PASIRBUNGUR,PAS,,18:21:00,
24,CIKAUM,CKM,,18:24:00,
25,PEGADENBARU,PGB,,18:29:00,
26,CIPUNEGARA,CRA,,18:33:00,
27,HAURGEULIS,HGL,,18:37:00,
28,CILEGEH,CLH,,18:43:00,
29,KADOKANGABUS,KAB,,18:48:00,
30,TERISI,TIS,,18:52:00,
31,TELAGASARI,TLS,,18:57:00,
32,JATIBARANG,JTB,,19:03:00,
33,KERTASEMAYA,KTM,,19:08:00,
34,ARJAWINANGUN,AWN,,19:17:00,
35,BANGODUWA,BDW,,19:20:00,
36,CANGKRING,CNK,,19:23:00,
37,CIREBON,CN,19:29:00,19:34:00,
38,CIREBON PRUJAKAN,CNP,,19:37:00,
39,LUWUNG,LWG,,19:42:00,
40,SINDANGLAUT,SDU,,19:46:00,
41,CILEDUG,CLD,,19:55:00,
42,KETANGGUNGAN,KGG,,20:04:00,
43,LARANGAN,LRA,,20:09:00,
44,SONGGOM,SGG,,20:12:00,
45,PRUPUK,PPK,,20:19:00,
46,LINGGAPURA,LG,,20:29:00,
47,BUMIAYU,BMA,,20:37:00,
48,KRETEK,KRT,,20:44:00,
49,PATUGURAN,PAT,,20:50:00,
50,KARANGSARI,KRR,,21:00:00,
51,KARANGGANDUL,KGD,,21:08:00,
52,PURWOKERTO,PWT,21:16:00,21:21:00,
53,NOTOG,NTG,,21:29:00,
54,KEBASEN,KBS,,21:34:00,
55,RANDEGAN,RDN,,21:37:00,
56,KROYA,KYA,21:43:00,21:45:00,
57,KEMRANJEN,KJ,,21:51:00,
58,SUMPIUH,SPH,,21:54:00,
59,TAMBAK,TBK,,21:57:00,
60,IJO,IJ,,22:00:00,
61,GOMBONG,GB,,22:03:30,
62,KARANGANYAR,KA,,22:08:00,
63,SRUWENG,SRW,,22:10:00,
64,KEBUMEN,KM,22:17:00,22:19:00,
65,WONOSARI,WNS,,22:24:00,
66,KUTOWINANGUN,KWN,,22:26:00,
67,PREMBUN,PRB,,22:30:00,
68,BUTUH,BTH,,22:34:00,
69,KUTOARJO,KTA,22:39:00,22:42:00,
70,JENAR,JN,,22:50:30,
71,WOJO,WJ,,22:55:00,
72,KEDUNDANG,KDG,,22:59:00,
73,WATES,WT,,23:03:00,
74,SENTOLO,STL,,23:11:00,
75,REWULU,RWL,,23:17:00,
76,PATUKAN,PTN,,23:20:00,
77,YOGYAKARTA,YK,23:25:00,23:30:00,
78,LEMPUYANGAN,LPN,,23:33:00,
79,MAGUWO,MGW,,23:37:00,
80,BRAMBANAN,BBN,,23:42:00,
81,SROWOT,SWT,,23:46:00,
82,KLATEN,KT,,23:50:00,
83,CEPER,CE,,23:55:30,
84,DELANGGU,DL,,23:59:00,
85,GAWOK,GW,,00:02:00,
86,PURWOSARI,PWS,,00:06:00,
87,SOLOBALAPAN,SLO,00:10:00,00:13:00,
88,SOLOJEBRES,SK,,00:17:00,
89,PALUR,PL,,00:20:00,
90,KEMIRI,KMR,,00:23:00,
91,MASARAN,MSR,,00:28:00,
92,SRAGEN,SR,,00:33:00,
93,KEBONROMO,KRO,,00:36:00,
94,KEDUNGBANTENG,KDB,,00:40:00,
95,WALIKUKUN,WK,,00:48:00,// KA 2604 (KA 2604 =)
96,KEDUNGGALAR,KG,,00:53:00,
97,NGAWI,NGW,,00:58:00,
98,GENENG,GG,,01:02:00,
99,MAGETAN,MAG,,01:07:00,
100,MADIUN,MN,01:15:00,01:20:00,
101,BABADAN,BBD,,01:27:00,
102,CARUBAN,CRB,,01:32:00,
103,SARADAN,SRD,,01:37:00,
104,BAGOR,BGR,,01:47:00,
105,NGANJUK,NJ,01:52:00,01:54:00,
106,SUKOMORO,SKM,,01:59:00,
107,BARON,BRN,,02:05:00,
108,KERTOSONO,KTS,02:11:00,02:13:00,
109,SEMBUNG,SMB,,02:19:00,
110,JOMBANG,JG,02:25:00,02:27:00,
111,PETERONGAN,PTR,,-,
112,SUMOBITO,SBO,,02:36:00,
113,CURAHMALANG,CRM,,-,
114,MOJOKERTO,MR,02:45:00,02:47:00,
115,TARIK,TRK,,02:55:00,
116,KEDINDING,KDN,,-,
117,KRIAN,KRN,,03:01:00,
118,BOHARAN,BH,,-,
119,SEPANJANG,SPJ,,03:10:00,
120,WONOKROMO,WO,,03:14:00,
121,NGAGEL,NGA,,-,
122,SURABAYAGUBENG,SGU,03:20:00,,
