No.,station_name,station_code,arrival_time,departure_time,notes
1,GAMBIR,GMR,,13:40:00,
2,GONDANGDIA,GDD,,-,
3,CIKINI,CKI,,-,
4,MANGGARAI,MRI,,13:49:00,
5,MATRAMAN,MTR,,-,
6,JATINEGARA,JNG,13:54:00,13:56:00,
7,BEKASI,BKS,14:08:00,14:10:00,
8,BEKASITIMUR,BKST,,-,
9,TAMBUN,TB,,14:16:00,
10,CIBITUNG,CIT,,-,
11,TELAGA MURNI,TLM,,-,
12,CIKARANG,CKR,,14:23:00,
13,LEMAHABANG,LMB,,14:26:00,// KA 2524 (KA 2524 =)
14,KEDUNGGEDEH,KDH,,14:32:00,
15,KARAWANG,KW,,14:36:00,
16,KLARI,KLI,,14:40:00,
17,KOSAMBI,KOS,,14:42:00,
18,DAWUAN,DWN,,14:46:00,
19,CIKAMPEK,CKP,,14:50:00,
20,CIBUNGUR,CBR,,14:58:00,
21,SADANG,SAD,,-,
22,PURWAKARTA,PWK,15:09:00,15:14:00,
23,CIGANEA,CA,,15:23:00,
24,SUKATANI,SUT,,15:32:00,
25,PLERED,PLD,,15:37:00,
26,CISOMANG,CG,,-,
27,CIKADONGDONG,CD,,15:52:00,
28,RENDEH,RH,,15:56:00,
29,MASWATI,MSI,,16:01:00,
30,SASAKSAAT,SKT,,16:07:00,X KA 349 (KA 349 X)
31,CILAME,CLE,,16:15:00,
32,PADALARANG,PDL,,16:24:00,
33,GADOBANGKONG,GK,,-,
34,CIMAHI,CMI,16:30:00,16:32:00,// KA 376 (KA 376 =)
35,CIMINDI,CMD,,16:35:00,
36,ANDIR,AND,,16:37:00,
37,BANDUNG,BD,16:42:00,,
