No.,station_name,station_code,arrival_time,departure_time,notes
1,KROYA,KYA,20:49:00,21:09:00,
2,RANDEGAN,RDN,,21:16:00,
3,KEBASEN,KBS,,21:19:00,
4,NOTOG,NTG,,21:24:00,
5,PURWOKERTO,PWT,21:32:00,21:37:00,
6,KARANGGANDUL,KGD,,21:45:00,
7,KARANGSARI,KRR,,21:54:00,
8,PATUGURAN,PAT,,22:05:00,
9,KRETEK,KRT,,22:11:00,
10,BUMIAYU,BMA,22:19:00,22:21:00,
11,LINGGAPURA,LG,,22:30:00,
12,PRUPUK,PPK,,22:40:00,
13,SONGGOM,SGG,,22:47:00,
14,LARANGAN,LRA,,22:50:00,
15,KETANGGUNGAN,KGG,,22:55:00,
16,CILEDUG,CLD,,23:04:00,
17,SINDANGLAUT,SDU,,23:13:00,
18,LUWUNG,LWG,,23:17:00,
19,CIREBON PRUJAKAN,CNP,,23:22:00,
20,CIREBON,CN,23:26:00,23:31:00,
21,CANGKRING,CNK,,23:38:00,
22,BANGODUWA,BDW,,23:41:00,
23,ARJAWINANGUN,AWN,,23:44:00,
24,KERTASEMAYA,KTM,,23:53:00,
25,JATIBARANG,JTB,,23:58:00,// KA 251 (KA 251 =)
26,TELAGASARI,TLS,,00:04:00,
27,TERISI,TIS,,00:09:00,
28,KADOKANGABUS,KAB,,00:13:00,
29,CILEGEH,CLH,,00:18:00,
30,HAURGEULIS,HGL,,00:24:00,
31,CIPUNEGARA,CRA,,00:28:00,
32,PEGADENBARU,PGB,,00:33:00,
33,CIKAUM,CKM,,00:39:00,
34,PASIRBUNGUR,PAS,,00:43:00,
35,PRINGKASAP,PRI,,00:47:00,
36,PABUARAN,PAB,,00:50:00,
37,TANJUNGRASA,TJS,,00:53:00,
38,CIKAMPEK,CKP,,01:00:00,
39,DAWUAN,DWN,,01:03:00,
40,KOSAMBI,KOS,,01:08:00,
41,KLARI,KLI,,01:10:00,
42,KARAWANG,KW,,01:14:00,
43,KEDUNGGEDEH,KDH,,01:18:00,
44,LEMAHABANG,LMB,,01:24:00,
45,CIKARANG,CKR,,01:27:00,
46,TELAGA MURNI,TLM,,-,
47,CIBITUNG,CIT,,-,
48,TAMBUN,TB,,01:33:00,
49,BEKASITIMUR,BKST,,-,
50,BEKASI,BKS,01:40:00,01:42:00,
51,JATINEGARA,JNG,01:54:00,01:56:00,
52,MATRAMAN,MTR,,-,
53,MANGGARAI,MRI,,02:01:00,
54,CIKINI,CKI,,-,
55,GONDANGDIA,GDD,,-,
56,GAMBIR,GMR,02:10:00,,
