No.,station_name,station_code,arrival_time,departure_time,notes
1,GAMBIR,GMR,,23:35:00,
2,GONDANGDIA,GDD,,-,
3,CIKINI,CKI,,-,
4,MANGGARAI,MRI,,23:44:00,
5,MATRAMAN,MTR,,-,
6,JATINEGARA,JNG,,23:49:00,
7,BEKASI,BKS,00:01:00,00:03:00,
8,BEKASITIMUR,BKST,,-,
9,TAMBUN,TB,,00:09:00,// KA 6082 (KA 6082 =)
10,CIBITUNG,CIT,,-,
11,TELAGA MURNI,TLM,,-,
12,CIKARANG,CKR,,00:16:00,
13,LEMAHABANG,LMB,,00:19:00,// KA 2528 (KA 2528 =)
14,KEDUNGGEDEH,KDH,,00:25:00,
15,KARAWANG,KW,,00:29:00,
16,KLARI,KLI,,00:33:00,
17,KOSAMBI,KOS,,00:35:00,
18,DAWUAN,DWN,,00:39:00,
19,CIKAMPEK,CKP,,00:42:00,
20,TANJUNGRASA,TJS,,00:49:00,
21,PABUARAN,PAB,,00:52:00,
22,PRINGKASAP,PRI,,00:55:00,
23,PASIRBUNGUR,PAS,,00:59:00,
24,CIKAUM,CKM,,01:02:00,
25,PEGADENBARU,PGB,,01:07:00,
26,CIPUNEGARA,CRA,,01:12:00,
27,HAURGEULIS,HGL,,01:16:00,
28,CILEGEH,CLH,,01:22:00,
29,KADOKANGABUS,KAB,,01:27:00,
30,TERISI,TIS,,01:31:00,
31,TELAGASARI,TLS,,01:36:00,
32,JATIBARANG,JTB,,01:42:00,
33,KERTASEMAYA,KTM,,01:47:00,
34,ARJAWINANGUN,AWN,,01:56:00,
35,BANGODUWA,BDW,,02:00:00,
36,CANGKRING,CNK,,02:04:00,
37,CIREBON,CN,02:10:00,02:16:00,
38,CIREBON PRUJAKAN,CNP,,02:20:00,
39,WARUDUWUR,WDW,,02:27:00,
40,BABAKAN,BBK,,02:35:00,
41,LOSARI,LOS,,02:40:00,
42,TANJUNG,TGN,,02:45:00,
43,BREBES,BB,,02:58:00,
44,TEGAL,TG,03:08:00,03:11:00,
45,LARANGAN,LR,,03:16:00,
46,SURODADI,SD,,03:22:00,
47,PEMALANG,PML,,03:29:00,
48,PETARUKAN,PTA,,03:33:00,
49,COMAL,CO,,03:39:00,
50,SRAGI,SRI,,03:42:00,
51,PEKALONGAN,PK,03:50:00,03:53:00,
52,BATANG,BTG,,04:01:00,
53,UJUNGNEGORO,UJN,,04:05:00,
54,KURIPAN,KRP,,04:13:00,
55,PLABUAN,PLB,,04:18:00,
56,KRENGSENG,KNS,,04:24:00,
57,WELERI,WLR,,04:28:00,
58,KALIBODRI,KBD,,04:35:00,
59,KALIWUNGU,KLN,,04:43:00,
60,MANGKANG,MKG,,04:47:00,
61,JERAKAH,JRK,,04:51:00,
62,SEMARANG PONCOL,SMC,,04:56:00,
63,SEMARANG TAWANG,SMT,05:02:00,05:13:00,
64,ALASTUA,ATA,,05:21:00,
65,BRUMBUNG,BBG,,05:26:00,
66,TEGOWANU,TGW,,05:32:00,
67,GUBUG,GUB,,05:36:00,
68,KARANGJATI,KGT,,05:44:00,
69,SEDADI,SDI,,05:49:00,
70,NGROMBO,NBO,,05:53:00,
71,GAMBRINGAN,GBN,,05:55:00,
72,JAMBON,JBN,,06:03:00,
73,PANUNGGALAN,PNL,,06:06:00,
74,KRADENAN,KNN,,06:13:00,
75,SULUR,SL,,06:19:00,
76,DOPLANG,DPL,,06:25:00,
77,RANDUBLATUNG,RBG,,06:36:00,
78,WADU,WDU,,06:44:00,
79,KAPUAN,KPA,,06:48:00,
80,CEPU,CU,06:54:00,06:57:00,// KA 304 (KA 304 =)
81,TOBO,TBO,,07:05:00,
82,KALITIDU,KIT,,07:14:00,
83,BOJONEGORO,BJ,07:25:00,07:27:00,
84,KAPAS,KPS,,07:33:00,
85,SUMBERREJO,SRJ,,07:38:00,
86,BOWERNO,BWO,,07:46:00,
87,BABAT,BBT,,07:52:00,
88,GEMBONG,GEB,,07:56:00,
89,PUCUK,PC,,07:59:00,
90,SURABAYAN,SBN,,08:06:00,
91,LAMONGAN,LMG,,08:11:00,
92,DUDUK,DD,,08:20:00,
93,CERME,CME,,08:26:00,
94,BENOWO,BNW,,08:29:00,
95,KANDANGAN,KDA,,08:32:00,
96,TANDES,TES,,08:34:00,
97,SURABAYA PASARTURI,SBI,08:40:00,,
