No.,station_name,station_code,arrival_time,departure_time,notes
1,TEGAL,TG,,20:30:00,
2,LARANGAN,LR,,20:36:00,
3,SURODADI,SD,,20:43:00,// KA 2524 (KA 2524 =)
4,PEMALANG,PML,20:52:00,20:54:00,
5,PETARUKAN,PTA,,21:01:00,
6,COMAL,CO,,21:08:00,
7,SRAGI,SRI,,21:11:00,
8,PEKALONGAN,PK,21:21:00,21:24:00,
9,BATANG,BTG,21:34:00,21:36:00,
10,UJUNGNEGORO,UJN,,21:41:00,
11,KURIPAN,KRP,,21:50:00,
12,PLABUAN,PLB,,21:55:00,
13,KRENGSENG,KNS,,22:02:00,
14,WELERI,WLR,22:08:00,22:10:00,
15,KALIBODRI,KBD,,22:18:00,
16,KALIWUNGU,KLN,,22:27:00,
17,MANGKANG,MKG,,22:32:00,
18,JERAKAH,JRK,,22:37:00,
19,SEMARANG PONCOL,SMC,22:43:00,,
