No.,station_name,station_code,arrival_time,departure_time,notes
1,SEMARANG TAWANG,SMT,,14:15:00,
2,SEMARANG PONCOL,SMC,14:21:00,14:24:00,
3,JERAKAH,JRK,,14:30:00,
4,MANGKANG,MKG,,14:34:00,
5,KALIWUNGU,KLN,,14:38:00,
6,KALIBODRI,KBD,,14:45:00,
7,WELERI,WLR,14:53:00,14:55:00,
8,KRENGSENG,KNS,,15:00:00,
9,PLABUAN,PLB,,15:07:00,
10,KURIPAN,KRP,,15:12:00,
11,UJUNGNEGORO,UJN,,15:21:00,
12,BATANG,BTG,,15:24:00,// KA 2523 (KA 2523 =)
13,PEKALONGAN,PK,15:32:00,15:35:00,
14,SRAGI,SRI,,15:44:00,
15,COMAL,CO,,15:47:00,
16,PETARUKAN,PTA,,15:53:00,
17,PEMALANG,PML,15:59:00,16:01:00,
18,SURODADI,SD,,16:10:00,
19,LARANGAN,LR,,16:17:00,
20,TEGAL,TG,16:23:00,16:26:00,
21,BREBES,BB,16:35:00,16:37:00,
22,TANJUNG,TGN,,16:50:00,
23,LOSARI,LOS,,16:55:00,
24,BABAKAN,BBK,,17:00:00,
25,WARUDUWUR,WDW,,17:07:00,
26,CIREBON PRUJAKAN,CNP,,17:13:00,// KA 203 (KA 203 =)
27,CIREBON,CN,17:16:00,17:21:00,
28,CANGKRING,CNK,,17:27:00,
29,BANGODUWA,BDW,,17:30:00,
30,ARJAWINANGUN,AWN,,17:33:00,
31,KERTASEMAYA,KTM,,17:42:00,
32,JATIBARANG,JTB,,17:47:00,
33,TELAGASARI,TLS,,17:53:00,
34,TERISI,TIS,,17:59:00,
35,KADOKANGABUS,KAB,,18:03:00,
36,CILEGEH,CLH,,18:08:00,
37,HAURGEULIS,HGL,,18:15:00,
38,CIPUNEGARA,CRA,,18:19:00,
39,PEGADENBARU,PGB,,18:24:00,
40,CIKAUM,CKM,,18:29:00,
41,PASIRBUNGUR,PAS,,18:33:00,
42,PRINGKASAP,PRI,,18:37:00,
43,PABUARAN,PAB,,18:41:00,
44,TANJUNGRASA,TJS,,18:44:00,
45,CIKAMPEK,CKP,,18:51:00,
46,DAWUAN,DWN,,18:54:00,
47,KOSAMBI,KOS,,18:59:00,
48,KLARI,KLI,,19:01:00,// KA 333 (KA 333 =)
49,KARAWANG,KW,,19:05:00,
50,KEDUNGGEDEH,KDH,,19:09:00,
51,LEMAHABANG,LMB,,19:15:00,
52,CIKARANG,CKR,,19:18:00,
53,TELAGA MURNI,TLM,,-,
54,CIBITUNG,CIT,,-,
55,TAMBUN,TB,,19:24:00,
56,BEKASITIMUR,BKST,,-,
57,BEKASI,BKS,19:29:00,19:31:00,
58,JATINEGARA,JNG,,19:42:00,
59,PONDOKJATI,POK,,-,
60,KRAMAT,KMT,,-,
61,GANGSENTIONG,GST,,-,
62,PASARSENEN,PSE,19:52:00,,
