,0,1,2,3,4
17,17  Kosambi (KOS),,Ls,09:13:00,
18,18  Dawuan (DWN),,Ls,09:17:00,
19,19  Cikampek (CKP),,Ls,09:20:00,
20,20,Tanjungrasa (TJS),Ls,09:27:00,
21,21,Pabuaran (PAB),Ls,09:30:00,
22,22,Pringkasap (PRI),Ls,09:33:00,
23,23,Pasirbungur (PAS),Ls,09:36:00,
24,24  Cikaum (CKM),,Ls,09:39:00,
25,25,Pegadenbaru (PGB),Ls,09:44:00,
26,26  Cipunegara (CRA),,Ls,09:48:00,
27,27  Haurgeulis (HGL),,Ls,09:52:00,
28,28  Cilegeh (CLH),,Ls,09:58:00,
29,,29  Kadokangabus (KAB),Ls,10:03:00,
0,No.,Stasiun dan Perhentian,Datang,Berangkat,Keterangan
1,30,Terisi (TIS),Ls,10:07:00,
2,31,Telagasari (TLS),Ls,10:12:00,
3,32,Jatibarang (JTB),Ls,10:18:00,// KA 106 (KA 106 =)
4,,33  Kertasemaya (KTM),Ls,10:23:00,
5,,34  Arjawinangun (AWN),Ls,10:32:00,
6,35  Bangoduwa (BDW),,Ls,10:35:00,
7,36  Cangkring (CNK),,Ls,10:38:00,
8,37  Cirebon (CN),,10:43:00,10:46:00,
9,,38  Cirebon Prujakan (CNP),Ls,10:49:00,
10,,39  Waruduwur (WDW),Ls,10:55:00,
11,40  Babakan (BBK),,Ls,11:02:00,
12,41,Losari (LOS),Ls,11:07:00,
13,42,Tanjung (TGN),Ls,11:12:00,
14,43  Brebes (BB),,Ls,11:23:00,
15,44,Tegal (TG),Ls,11:30:00,
16,45,Larangan (LR),Ls,11:33:00,
17,46,Surodadi (SD),Ls,11:39:00,
18,47,Pemalang (PML),Ls,11:46:00,// KA 218 (KA 218 =)
19,48,Petarukan (PTA),Ls,11:50:00,
20,49  Comal (CO),,Ls,11:55:00,
21,50,Sragi (SRI),Ls,11:58:00,
22,51,Pekalongan (PK),Ls,12:06:00,
23,52  Batang (BTG),,Ls,12:12:00,
24,53  Ujungnegoro (UJN),,Ls,12:15:00,
25,54  Kuripan (KRP),,Ls,12:23:00,
26,55,Plabuan (PLB),Ls,12:28:00,
27,56  Krengseng (KNS),,Ls,12:34:00,
28,57  Weleri (WLR),,Ls,12:37:00,
29,58  Kalibodri (KBD),,Ls,12:43:00,
30,59  Kaliwungu (KLN),,Ls,12:50:00,
31,60  Mangkang (MKG),,Ls,12:53:00,
32,61,Jerakah (JRK),Ls,12:57:00,
33,62,Semarang Poncol (SMC),Ls,13:00:00,
34,63,Semarang Tawang (SMT),13:05:00,13:08:00,// KA 2510 (KA 2510 =)
35,64  Alastua (ATA),,Ls,13:16:00,
36,65  Brumbung (BBG),,Ls,13:20:00,
37,66,Tegowanu (TGW),Ls,13:25:00,// KA 2520 (KA 2520 =)
38,67  Gubug (GUB),,Ls,13:29:00,
39,68  Karangjati (KGT),,Ls,13:36:00,
40,69,Sedadi (SDI),Ls,13:41:00,
41,70  Ngrombo (NBO),,Ls,13:44:00,
42,71  Gambringan (GBN),,Ls,13:46:00,
43,72,Jambon (JBN),Ls,13:53:00,
44,73,Panunggalan (PNL),Ls,13:56:00,
0,No.,Stasiun dan Perhentian,Datang,Berangkat,Keterangan
1,74  Kradenan (KNN),,Ls,14:01:00,
2,75,Sulur (SL),Ls,14:07:00,
