0,1,2,3,4
No.,Stasiun dan Perhentian,Datang,Berangkat,Keterangan
1,Pasarsenen (PSE),,06:45:00,
2,Gangsentiong (GST),Ls,-,
3,Kramat (KMT),Ls,-,
4,Pondokjati (POK),Ls,-,
5,Jatinegara (JNG),06:56:00,06:58:00,
6,Bekasi (BKS),07:10:00,07:12:00,
7,Bekasitimur (BKST),Ls,-,
8,Tambun (TB),Ls,07:18:00,
9,Cibitung (CIT),Ls,-,
10,Telaga Murni (TLM),Ls,-,
11  Cikarang (CKR),,07:26:00,07:28:00,
12,Lemahabang (LMB),Ls,07:32:00,
,13  Kedunggedeh (KDH),Ls,07:38:00,
14  Karawang (KW),,Ls,07:42:00,
15  Klari (KLI),,Ls,07:46:00,
16  Kosambi (KOS),,Ls,07:48:00,
17  Dawuan (DWN),,Ls,07:53:00,
18  Cikampek (CKP),,Ls,07:56:00,
19,Tanjungrasa (TJS),Ls,08:03:00,
20,Pabuaran (PAB),Ls,08:06:00,
21,Pringkasap (PRI),Ls,08:09:00,
22,Pasirbungur (PAS),Ls,08:13:00,
23  Cikaum (CKM),,Ls,08:16:00,
24,Pegadenbaru (PGB),Ls,08:21:00,
25  Cipunegara (CRA),,Ls,08:25:00,
26  Haurgeulis (HGL),,Ls,08:29:00,
27  Cilegeh (CLH),,Ls,08:35:00,
,28  Kadokangabus (KAB),Ls,08:40:00,
29,Terisi (TIS),Ls,08:44:00,
30,Telagasari (TLS),Ls,08:49:00,
31,Jatibarang (JTB),08:55:00,08:57:00,
,32  Kertasemaya (KTM),Ls,09:03:00,
,33  Arjawinangun (AWN),Ls,09:12:00,
34  Bangoduwa (BDW),,Ls,09:15:00,
35  Cangkring (CNK),,Ls,09:18:00,
36  Cirebon (CN),,09:24:00,09:30:00,
,37  Cirebon Prujakan (CNP),Ls,09:33:00,
,38  Waruduwur (WDW),Ls,09:40:00,
39  Babakan (BBK),,Ls,09:47:00,// KA 218 (KA 218 =)
40,Losari (LOS),Ls,09:53:00,
41,Tanjung (TGN),Ls,09:58:00,
42  Brebes (BB),,10:11:00,10:13:00,
No.,Stasiun dan Perhentian,Datang,Berangkat,Keterangan
43,Tegal (TG),10:24:00,10:27:00,
44,Larangan (LR),Ls,10:33:00,
45,Surodadi (SD),Ls,10:39:00,
46,Pemalang (PML),10:49:00,11:09:00,= KA 20 (KA 20 //)
47,Petarukan (PTA),Ls,11:15:00,
48  Comal (CO),,Ls,11:21:00,
49,Sragi (SRI),Ls,11:24:00,
50,Pekalongan (PK),11:33:00,11:36:00,
51  Batang (BTG),,Ls,11:44:00,
52  Ujungnegoro (UJN),,Ls,11:47:00,
53  Kuripan (KRP),,Ls,11:55:00,
54,Plabuan (PLB),Ls,12:00:00,
55  Krengseng (KNS),,Ls,12:06:00,
56  Weleri (WLR),,12:11:00,12:13:00,
57  Kalibodri (KBD),,Ls,12:21:00,
