0,1,2,3,4
No.,Stasiun dan Perhentian,Datang,Berangkat,Keterangan
1,Semarang Poncol (SMC),,08:40:00,
2,Jerakah (JRK),Ls,08:47:00,
3,Mangkang (MKG),Ls,08:52:00,
4,Kaliwungu (KLN),Ls,08:57:00,
5,Kalibodri (KBD),Ls,09:05:00,
6  Weleri (WLR),,09:12:00,09:14:00,
7,Krengseng (KNS),Ls,09:19:00,
8,Plabuan (PLB),Ls,09:27:00,
9,Kuripan (KRP),Ls,09:32:00,
10  Ujungnegoro (UJN),,Ls,09:40:00,
11  Batang (BTG),,09:45:00,09:47:00,
12,Pekalongan (PK),09:57:00,10:00:00,
13,Sragi (SRI),Ls,10:10:00,
14  Comal (CO),,Ls,10:13:00,
15,Petarukan (PTA),Ls,10:20:00,
16,Pemalang (PML),10:26:00,10:28:00,
17,Surodadi (SD),Ls,10:37:00,
18,Larangan (LR),Ls,10:44:00,
19,Tegal (TG),10:50:00,10:55:00,
20  Brebes (BB),,11:07:00,,
No.,Stasiun dan Perhentian,Datang,Berangkat,Keterangan
1,Brebes (BB),,11:50:00,
2,Tegal (TG),12:02:00,12:24:00,
3,Larangan (LR),Ls,12:30:00,
4,Surodadi (SD),Ls,12:37:00,
5,Pemalang (PML),12:47:00,12:49:00,
6,Petarukan (PTA),Ls,12:55:00,
7,Comal (CO),Ls,13:02:00,
8,Sragi (SRI),Ls,13:05:00,
9,Pekalongan (PK),13:15:00,13:18:00,
10  Batang (BTG),,13:28:00,13:30:00,
11  Ujungnegoro (UJN),,Ls,13:35:00,
12  Kuripan (KRP),,Ls,13:44:00,
13,Plabuan (PLB),Ls,13:49:00,
14  Krengseng (KNS),,Ls,13:56:00,
15  Weleri (WLR),,14:03:00,14:20:00,= KA 118 (KA 118 //)
16  Kalibodri (KBD),,Ls,14:30:00,
17  Kaliwungu (KLN),,Ls,14:40:00,
18  Mangkang (MKG),,Ls,14:46:00,
19,Jerakah (JRK),Ls,14:53:00,
No.,Stasiun dan Perhentian,Datang,Berangkat,Keterangan
1,Semarang Poncol (SMC),,17:20:00,
2,Jerakah (JRK),Ls,17:26:00,
3,Mangkang (MKG),Ls,17:31:00,
4,Kaliwungu (KLN),Ls,17:35:00,
5,Kalibodri (KBD),Ls,17:44:00,
6  Weleri (WLR),,17:51:00,17:53:00,
7,Krengseng (KNS),Ls,17:59:00,
8,Plabuan (PLB),Ls,18:06:00,
9,Kuripan (KRP),Ls,18:11:00,
10  Ujungnegoro (UJN),,Ls,18:19:00,
11  Batang (BTG),,18:23:00,18:25:00,
12,Pekalongan (PK),18:35:00,18:38:00,
13,Sragi (SRI),Ls,18:47:00,
14  Comal (CO),,Ls,18:50:00,
15,Petarukan (PTA),Ls,18:58:00,
16,Pemalang (PML),19:05:00,19:07:00,
17,Surodadi (SD),Ls,19:17:00,
18,Larangan (LR),Ls,19:25:00,
19,Tegal (TG),19:31:00,,
No.,Stasiun dan Perhentian,Datang,Berangkat,Keterangan
1,Brebes (BB),,04:50:00,
2,Tegal (TG),05:02:00,05:07:00,
3,Larangan (LR),Ls,05:13:00,
4,Surodadi (SD),Ls,05:20:00,
5,Pemalang (PML),05:29:00,05:31:00,
6,Petarukan (PTA),Ls,05:37:00,
7,Comal (CO),Ls,05:44:00,
8,Sragi (SRI),Ls,05:47:00,
9,Pekalongan (PK),05:57:00,06:00:00,
10  Batang (BTG),,06:10:00,06:12:00,
11  Ujungnegoro (UJN),,Ls,06:17:00,
12  Kuripan (KRP),,Ls,06:25:00,
13,Plabuan (PLB),Ls,06:30:00,
