0,1,2,3,4
No.,Stasiun dan Perhentian,Datang,Berangkat,Keterangan
1,Surabayagubeng (SGU),,05:55:00,
2,Ngagel (NGA),Ls,-,
,3  Wonokromo (WO),06:03:00,06:07:00,X KA 454
4,Margorejo (MGR),Ls,-,
5,Jemursari (JMS),Ls,-,
6,Kertomenanggal (KTL),Ls,-,
7  Waru (WR),,06:14:00,06:18:00,X KA 474 (KA 474 X)
8,Sawotratap (STP),Ls,-,
9,Gedangan (GDG),Ls,06:23:00,X KA 412 (KA 412 X)
,10  Banjarkemantren (BJK),Ls,-,
11  Buduran (BDR),,Ls,-,
12,Pagerwojo (PWJ),Ls,-,
13,Sidoarjo (SDA),06:32:00,06:34:00,
14,Tanggulangin (TGA),Ls,06:40:00,
15,Porong (PR),06:45:00,06:51:00,X KA 66F JJ (KA 66F JJ X)
16  Bangil (BG),,07:05:00,07:09:00,
17,Pasuruan (PS),07:27:00,07:29:00,
18  Rejoso (RO),,07:39:00,07:48:00,X KA 156 (KA 156 X)
19  Grati (GI),,Ls,07:54:00,
20  Bayeman (BYM),,Ls,08:03:00,
21,Probolinggo (PB),08:13:00,08:18:00,
22,Leces (LEC),Ls,08:28:00,
23  Malasan (MLS),,Ls,08:36:00,
24  Ranuyoso (RN),,Ls,08:43:00,
25  Klakah (KK),,08:48:00,08:52:00,X KA 294 (KA 294 X)
26  Randuagung (RDA),,Ls,09:03:00,
27,Jatiroto (JTR),09:13:00,09:19:00,X KA 250 (KA 250 X)
28,Tanggul (TGL),09:31:00,09:33:00,
29  Bangsalsari (BSS),,Ls,09:42:00,
30  Rambipuji (RBP),,09:50:00,09:57:00,X KA 280 (KA 280 X)
31  Mangli (MI),,Ls,10:01:00,
32,Jember (JR),10:07:00,10:12:00,
33  Arjasa (AJ),,Ls,10:19:00,
34  Kotok (KTK),,Ls,10:23:00,
35  Kalisat (KLT),,10:31:00,10:37:00,X KA 212F JJ (KA 212F JJ X)
36,Ledokombo (LDO),Ls,10:46:00,
37,Sempolan (SPL),Ls,10:54:00,
38  Garahan (GRN),,Ls,10:58:00,
39  Mrawan (MRW),,Ls,11:10:00,
40  Kalibaru (KBR),,11:20:00,11:24:00,X KA 492 (KA 492 X)
41  Glenmore (GLM),,Ls,11:32:00,
42,Sumberwadung (SWD),Ls,11:38:00,
No.,Stasiun dan Perhentian,Datang,Berangkat,Keterangan
43  Kalisetail (KSL),,11:43:00,11:52:00,X KA 160 (KA 160 X)
44,Temuguruh (TGR),12:01:00,12:03:00,
45,Singojuruh (SGJ),Ls,12:08:00,
46  Rogojampi (RGP),,12:15:00,12:17:00,
,47  Banyuwangi Kota (BWI),12:30:00,12:32:00,
48  Argopuro (AGO),,Ls,12:38:00,
49  Ketapang (KTG),,12:45:00,,
No.,Stasiun dan Perhentian,Datang,Berangkat,Keterangan
1,Ketapang (KTG),,17:20:00,X KA 493
2,Argopuro (AGO),Ls,17:27:00,
3,Banyuwangi Kota (BWI),17:34:00,17:36:00,
4,Rogojampi (RGP),17:49:00,17:51:00,
5,Singojuruh (SGJ),Ls,17:58:00,
6,Temuguruh (TGR),18:03:00,18:05:00,
7,Kalisetail (KSL),18:14:00,18:16:00,
8,Sumberwadung (SWD),Ls,18:21:00,
9,Glenmore (GLM),Ls,18:27:00,
10  Kalibaru (KBR),,18:35:00,18:37:00,X KA 279 (KA 279 X)
11  Mrawan (MRW),,Ls,18:47:00,
12  Garahan (GRN),,Ls,18:59:00,
13,Sempolan (SPL),Ls,19:03:00,
14,Ledokombo (LDO),Ls,19:11:00,
15  Kalisat (KLT),,19:21:00,19:25:00,X KA 249 (KA 249 X)
16  Kotok (KTK),,Ls,19:34:00,
17  Arjasa (AJ),,Ls,19:39:00,
18,Jember (JR),19:47:00,19:52:00,
19  Mangli (MI),,Ls,19:58:00,
20  Rambipuji (RBP),,20:03:00,20:12:00,X KA 155 (KA 155 X)
21  Bangsalsari (BSS),,Ls,20:20:00,
22,Tanggul (TGL),20:29:00,20:31:00,
23,Jatiroto (JTR),20:41:00,20:47:00,X KA 293 (KA 293 X)
24  Randuagung (RDA),,Ls,20:57:00,
25  Klakah (KK),,21:08:00,21:10:00,
26  Ranuyoso (RN),,Ls,21:15:00,
27  Malasan (MLS),,Ls,21:22:00,
28,Leces (LEC),Ls,21:30:00,
29,Probolinggo (PB),21:41:00,21:46:00,
30  Bayeman (BYM),,Ls,21:57:00,
31  Grati (GI),,Ls,22:06:00,
32  Rejoso (RO),,Ls,22:11:00,
33,Pasuruan (PS),22:20:00,22:22:00,
No.,Stasiun dan Perhentian,Datang,Berangkat,Keterangan
34  Bangil (BG),,22:40:00,22:46:00,X KA 211F JJ (KA 211F JJ X)
35,Porong (PR),Ls,22:59:00,
36,Tanggulangin (TGA),Ls,23:04:00,
37,Sidoarjo (SDA),23:11:00,23:20:00,X KA 147 (KA 147 X)
38,Pagerwojo (PWJ),Ls,-,
39  Buduran (BDR),,Ls,-,
,40  Banjarkemantren (BJK),Ls,-,
41  Gedangan (GDG),,Ls,23:28:00,
42,Sawotratap (STP),Ls,-,
43  Waru (WR),,23:34:00,23:38:00,X KA 2631 (KA 2631 X)
,44  Kertomenanggal (KTL),Ls,-,
45,Jemursari (JMS),Ls,-,
46  Margorejo (MGR),,Ls,-,
47  Wonokromo (WO),,23:46:00,23:48:00,(KA 159 X)
48  Ngagel (NGA),,Ls,-,
49,Surabayagubeng (SGU),23:55:00,,
