0,1,2,3,4
No.,Stasiun dan Perhentian,Datang,Berangkat,Keterangan
1,Gambir (GMR),,07:15:00,
2,Gondangdia (GDD),Ls,-,
3,Cikini (CKI),Ls,-,
4,Manggarai (MRI),Ls,07:24:00,
5,Matraman (MTR),Ls,-,
6,Jatinegara (JNG),07:30:00,07:32:00,
7,Bekasi (BKS),07:43:00,07:45:00,
8,Bekasitimur (BKST),Ls,-,
9,Tambun (TB),Ls,07:51:00,// KA 5510 (KA 5510 =)
10  Cibitung (CIT),,Ls,-,
11,Telaga Murni (TLM),Ls,-,
12  Cikarang (CKR),,Ls,07:58:00,
13,Lemahabang (LMB),Ls,08:01:00,
,14  Kedunggedeh (KDH),Ls,08:07:00,// KA 328 (KA 328 =)
15  Karawang (KW),,Ls,08:11:00,
16  Klari (KLI),,Ls,08:15:00,
17  Kosambi (KOS),,Ls,08:17:00,
18  Dawuan (DWN),,Ls,08:21:00,
19  Cikampek (CKP),,Ls,08:24:00,
20,Tanjungrasa (TJS),Ls,08:31:00,
21,Pabuaran (PAB),Ls,08:34:00,
22,Pringkasap (PRI),Ls,08:37:00,
23,Pasirbungur (PAS),Ls,08:40:00,
24  Cikaum (CKM),,Ls,08:43:00,
25,Pegadenbaru (PGB),Ls,08:48:00,
26  Cipunegara (CRA),,Ls,08:52:00,
27  Haurgeulis (HGL),,Ls,08:56:00,
28  Cilegeh (CLH),,Ls,09:02:00,
,29  Kadokangabus (KAB),Ls,09:07:00,
30,Terisi (TIS),Ls,09:11:00,
31,Telagasari (TLS),Ls,09:16:00,
32,Jatibarang (JTB),Ls,09:22:00,
,33  Kertasemaya (KTM),Ls,09:27:00,
,34  Arjawinangun (AWN),Ls,09:36:00,
35  Bangoduwa (BDW),,Ls,09:39:00,
36  Cangkring (CNK),,Ls,09:42:00,
37  Cirebon (CN),,09:48:00,09:53:00,
,38  Cirebon Prujakan (CNP),Ls,09:56:00,
,39  Waruduwur (WDW),Ls,10:03:00,
40  Babakan (BBK),,Ls,10:11:00,
41,Losari (LOS),Ls,10:16:00,// KA 218 (KA 218 =)
42,Tanjung (TGN),Ls,10:21:00,
No.,Stasiun dan Perhentian,Datang,Berangkat,Keterangan
43  Brebes (BB),,Ls,10:32:00,
44,Tegal (TG),10:41:00,10:43:00,
45,Larangan (LR),Ls,10:47:00,
46,Surodadi (SD),Ls,10:53:00,
47,Pemalang (PML),Ls,11:00:00,// KA 178 (KA 178 =)
48,Petarukan (PTA),Ls,11:04:00,
49  Comal (CO),,Ls,11:09:00,
50,Sragi (SRI),Ls,11:12:00,
51,Pekalongan (PK),11:20:00,11:22:00,
52  Batang (BTG),,Ls,11:30:00,
53  Ujungnegoro (UJN),,Ls,11:33:00,
54  Kuripan (KRP),,Ls,11:41:00,
55,Plabuan (PLB),Ls,11:46:00,
56  Krengseng (KNS),,Ls,11:52:00,
57  Weleri (WLR),,Ls,11:55:00,
58  Kalibodri (KBD),,Ls,12:01:00,
59  Kaliwungu (KLN),,Ls,12:09:00,
60  Mangkang (MKG),,Ls,12:12:00,
61,Jerakah (JRK),Ls,12:16:00,// KA 2510 (KA 2510 =)
62,Semarang Poncol (SMC),Ls,12:20:00,
63,Semarang Tawang (SMT),12:25:00,,
No.,Stasiun dan Perhentian,Datang,Berangkat,Keterangan
1,Semarang Tawang (SMT),,17:00:00,
2,Semarang Poncol (SMC),Ls,17:05:00,// KA 2707 (KA 2707 =)
3,Jerakah (JRK),Ls,17:09:00,
4,Mangkang (MKG),Ls,17:13:00,
5,Kaliwungu (KLN),Ls,17:17:00,
6,Kalibodri (KBD),Ls,17:25:00,
7  Weleri (WLR),,Ls,17:30:00,
8,Krengseng (KNS),Ls,17:33:00,
9,Plabuan (PLB),Ls,17:39:00,
10  Kuripan (KRP),,Ls,17:44:00,
11  Ujungnegoro (UJN),,Ls,17:52:00,
12  Batang (BTG),,Ls,17:55:00,
13,Pekalongan (PK),18:02:00,18:04:00,
14,Sragi (SRI),Ls,18:12:00,
15  Comal (CO),,Ls,18:15:00,
16,Petarukan (PTA),Ls,18:21:00,
17,Pemalang (PML),Ls,18:25:00,
