0,1,2,3,4
No.,Stasiun dan Perhentian,Datang,Berangkat,Keterangan
1,Sukabumi (SI),,05:10:00,
2,Cisaat (CSA),05:18:00,05:20:00,
3,Pondok Leungsir (PON),Ls,-,
4,Karangtengah (KE),Berh,Sb,
5,Cibadak (CBD),05:36:00,05:38:00,
6,Parungkuda (PRK),05:48:00,05:50:00,
7,Cijambe (CJE),Ls,-,
8,Cicurug (CCR),06:02:00,06:04:00,
9,Cigombong (CGB),Berh,Sb,
10  Maseng (MSG),,06:23:00,06:25:00,
11  Ciomas (CS),,Ls,-,
12  Batutulis (BTT),,06:40:00,06:41:00,
,13  Bogor Paledang (BOP),06:50:00,06:53:00,
14  Bogor (BOO),,06:57:00,,
No.,Stasiun dan Perhentian,Datang,Berangkat,Keterangan
1,Bogor (BOO),,07:45:00,
2,Bogor Paledang (BOP),07:48:00,07:50:00,
3,Batutulis (BTT),07:58:00,07:59:00,
4,Ciomas (CS),Ls,-,
5,Maseng (MSG),08:14:00,08:16:00,
6,Cigombong (CGB),Berh,Sb,
7,Cicurug (CCR),08:35:00,08:37:00,
8,Cijambe (CJE),Ls,-,
9,Parungkuda (PRK),08:49:00,08:51:00,
10  Cibadak (CBD),,09:01:00,09:03:00,
11  Karangtengah (KE),,Berh,Sb,
12,Pondok Leungsir (PON),Ls,-,
13  Cisaat (CSA),,09:19:00,09:21:00,
14,Sukabumi (SI),09:30:00,,
No.,Stasiun dan Perhentian,Datang,Berangkat,Keterangan
1,Sukabumi (SI),,10:30:00,
2,Cisaat (CSA),10:38:00,10:40:00,
3,Pondok Leungsir (PON),Ls,-,
4,Karangtengah (KE),Berh,Sb,
5,Cibadak (CBD),10:56:00,10:58:00,
6,Parungkuda (PRK),11:08:00,11:10:00,
7,Cijambe (CJE),Ls,-,
No.,Stasiun dan Perhentian,Datang,Berangkat,Keterangan
8,Cicurug (CCR),11:22:00,11:24:00,
9,Cigombong (CGB),Berh,Sb,
10  Maseng (MSG),,11:43:00,11:45:00,
11  Ciomas (CS),,Ls,-,
12  Batutulis (BTT),,12:00:00,12:01:00,
,13  Bogor Paledang (BOP),12:09:00,12:11:00,
14  Bogor (BOO),,12:15:00,,
No.,Stasiun dan Perhentian,Datang,Berangkat,Keterangan
1,Bogor (BOO),,12:40:00,
2,Bogor Paledang (BOP),12:43:00,12:45:00,
3,Batutulis (BTT),12:53:00,12:54:00,
4,Ciomas (CS),Ls,-,
5,Maseng (MSG),13:09:00,13:11:00,
6,Cigombong (CGB),Berh,Sb,
7,Cicurug (CCR),13:30:00,13:32:00,
8,Cijambe (CJE),Ls,-,
9,Parungkuda (PRK),13:44:00,13:46:00,
10  Cibadak (CBD),,13:56:00,13:58:00,
11  Karangtengah (KE),,Berh,Sb,
12,Pondok Leungsir (PON),Ls,-,
13  Cisaat (CSA),,14:14:00,14:16:00,
14,Sukabumi (SI),14:25:00,,
No.,Stasiun dan Perhentian,Datang,Berangkat,Keterangan
1,Sukabumi (SI),,14:50:00,
2,Cisaat (CSA),14:58:00,15:00:00,
3,Pondok Leungsir (PON),Ls,-,
4,Karangtengah (KE),Berh,Sb,
5,Cibadak (CBD),15:16:00,15:18:00,
