,0,1,2,3,4,5,6,7
24,68,68,KA EKSEKUTIF EKONOMI,MALABAR,BD-ML,18:10:00,06:52:00,151
25,69,69,KA EKSEKUTIF EKONOMI,MALABAR,ML-BD,05:25:00,18:05:00,154
26,70,70,KA EKSEKUTIF EKONOMI,MALABAR,BD-ML,09:30:00,22:36:00,157
27,71,71,KA EKSEKUTIF EKONOMI,MUTIARA SELATAN,SGU-BD,18:10:00,05:15:00,161
28,72,72,KA EKSEKUTIF EKONOMI,MUTIARA SELATAN,BD-SGU,20:00:00,06:42:00,163
29,73,73,KA EKSEKUTIF EKONOMI,SENJA UTAMA SOLO,SLO-PSE,18:55:00,02:47:00,167
30,74,74,KA EKSEKUTIF EKONOMI,FAJAR UTAMA SOLO,PSE-SLO,05:40:00,13:22:00,169
31,75,75,KA EKSEKUTIF EKONOMI,MATARAM,SLO-PSE,08:50:00,16:36:00,172
32,76,76,KA EKSEKUTIF EKONOMI,MATARAM,PSE-SLO,21:40:00,05:30:00,174
33,77,77,KA EKSEKUTIF EKONOMI,LODAYA,SLO-BD,07:20:00,15:27:00,177
34,78,78,KA EKSEKUTIF EKONOMI,LODAYA,BD-SLO,06:30:00,14:18:00,178
35,79,79,KA EKSEKUTIF EKONOMI,LODAYA,SLO-BD,19:10:00,03:14:00,180
36,80,80,KA EKSEKUTIF EKONOMI,LODAYA,BD-SLO,19:00:00,02:45:00,182
37,81,81,KA EKSEKUTIF EKONOMI,SANCAKA,SGU-YK,07:00:00,11:00:00,185
38,82,82,KA EKSEKUTIF EKONOMI,SANCAKA,YK-SGU,11:30:00,15:30:00,186
39,83,83,KA EKSEKUTIF EKONOMI,SANCAKA,SGU-YK,16:30:00,20:35:00,187
40,84,84,KA EKSEKUTIF EKONOMI,SANCAKA,YK-SGU,06:45:00,10:45:00,188
41,85,85,KA EKSEKUTIF EKONOMI,SANCAKA,SGU-YK,11:15:00,15:15:00,189
42,86,86,KA EKSEKUTIF EKONOMI,SANCAKA,YK-SGU,17:00:00,21:00:00,190
43,87,87F,KA EKSEKUTIF EKONOMI,SANCAKA,SGU-YK,22:00:00,02:00:00,191
44,88,88F,KA EKSEKUTIF EKONOMI,SANCAKA,YK-SGU,22:25:00,02:25:00,193
45,89,89,KA EKSEKUTIF EKONOMI,GAYABARU MALAM SELATAN,SGU-PSE,06:30:00,19:03:00,196
46,90,90,KA EKSEKUTIF EKONOMI,GAYABARU MALAM SELATAN,PSE-SGU,11:10:00,23:35:00,198
47,91,92,KA EKSEKUTIF EKONOMI,JAYABAYA,PSE-SBI,22:15:00,08:09:00,203
2,92,93,KA EKSEKUTIF EKONOMI,JAYABAYA,SBI-ML,08:18:00,10:45:00,205
3,93,94,KA EKSEKUTIF EKONOMI,JAYABAYA,ML-SBI,13:45:00,15:55:00,205
4,94,91,KA EKSEKUTIF EKONOMI,JAYABAYA,SBI-PSE,16:07:00,01:58:00,206
5,95,95,KA EKSEKUTIF EKONOMI,HARINA,SBI-CKP,17:45:00,01:48:00,210
6,96,98,KA EKSEKUTIF EKONOMI,HARINA,CKP-BD,02:18:00,04:15:00,211
7,97,97,KA EKSEKUTIF EKONOMI,HARINA,BD-CKP,21:35:00,23:35:00,212
8,98,96,KA EKSEKUTIF EKONOMI,HARINA,CKP-SBI,00:08:00,08:25:00,212
9,99,99,KA EKSEKUTIF EKONOMI,HARINA,SBI-CKP,05:50:00,13:46:00,214
10,100,102,KA EKSEKUTIF EKONOMI,HARINA,CKP-BD,14:12:00,16:20:00,216
11,101,101,KA EKSEKUTIF EKONOMI,HARINA,BD-CKP,09:35:00,11:45:00,217
12,102,100,KA EKSEKUTIF EKONOMI,HARINA,CKP-SBI,12:10:00,20:10:00,217
13,103,103,KA EKSEKUTIF EKONOMI,BOGOWONTO,LPN-PSE,08:15:00,15:53:00,221
14,104,104,KA EKSEKUTIF EKONOMI,BOGOWONTO,PSE-LPN,18:10:00,01:47:00,222
15,105,105,KA EKSEKUTIF EKONOMI,GAJAHWONG,LPN-PSE,20:40:00,04:32:00,226
16,106,106,KA EKSEKUTIF EKONOMI,GAJAHWONG,PSE-LPN,07:55:00,15:50:00,227
17,107,107,KA EKSEKUTIF EKONOMI,SENJA UTAMA YK,YK-PSE,17:30:00,00:30:00,231
18,108,108,KA EKSEKUTIF EKONOMI,SENJA UTAMA YK,PSE-YK,19:00:00,02:00:00,232
19,109,109,KA EKSEKUTIF EKONOMI,FAJAR UTAMA YK,YK-PSE,07:00:00,14:20:00,234
20,110,110,KA EKSEKUTIF EKONOMI,FAJAR UTAMA YK,PSE-YK,07:35:00,15:10:00,236
21,111,111,KA EKSEKUTIF EKONOMI,SAWUNGGALIH,KTA-PSE,06:30:00,12:40:00,240
22,112,112,KA EKSEKUTIF EKONOMI,SAWUNGGALIH,PSE-KTA,13:15:00,19:15:00,241
23,113,113,KA EKSEKUTIF EKONOMI,SAWUNGGALIH,KTA-PSE,20:15:00,02:25:00,243
24,114,114,KA EKSEKUTIF EKONOMI,SAWUNGGALIH,PSE-KTA,06:30:00,12:50:00,244
25,115,115,KA EKSEKUTIF EKONOMI,SAWUNGGALIH,KTA-PSE,13:50:00,19:40:00,246
26,116,116,KA EKSEKUTIF EKONOMI,SAWUNGGALIH,PSE-KTA,20:10:00,02:13:00,248
27,117,117,KA EKSEKUTIF EKONOMI,GUNUNGJATI,CN-GMR,05:40:00,08:27:00,251
28,118,118,KA EKSEKUTIF EKONOMI,GUNUNGJATI,GMR-SMT,09:00:00,14:43:00,251
29,119,119,KA EKSEKUTIF EKONOMI,GUNUNGJATI,SMT-GMR,15:45:00,21:35:00,253
30,120,120,KA EKSEKUTIF EKONOMI,GUNUNGJATI,GMR-CN,22:05:00,01:05:00,255
31,121,121,KA EKSEKUTIF EKONOMI,CAKRABUANA,PWT-GMR,05:30:00,10:24:00,257
32,122,122,KA EKSEKUTIF EKONOMI,CAKRABUANA,GMR-CN,10:50:00,13:50:00,258
33,123,123,KA EKSEKUTIF EKONOMI,CAKRABUANA,CN-GMR,16:00:00,18:43:00,259
34,124,124,KA EKSEKUTIF EKONOMI,CAKRABUANA,GMR-PWT,19:10:00,00:08:00,260
35,125,125F,KA EKSEKUTIF EKONOMI,CHERIBON FAKULTATIF,CN-GMR,20:30:00,23:24:00,263
