,0,1,2,3,4,5,6,7
38,266,269,KA EKONOMI,MATARMAJA,ML-PSE,07:40:00,23:09:00,480
39,267,270,KA EKONOMI,MATARMAJA,PSE-ML,11:25:00,02:17:00,482
40,268,271,KA EKONOMI,AIRLANGGA,SBI-PSE,12:50:00,00:58:00,487
41,269,272,KA EKONOMI,AIRLANGGA,PSE-SBI,09:15:00,21:53:00,489
42,270,273,KA EKONOMI,KAHURIPAN,BL-KAC,17:10:00,07:15:00,493
43,271,274,KA EKONOMI,KAHURIPAN,KAC-BL,22:20:00,12:05:00,495
44,272,275,KA EKONOMI,PASUNDAN,SGU-KAC,05:00:00,18:58:00,499
45,273,276,KA EKONOMI,PASUNDAN,KAC-SGU,11:10:00,00:40:00,501
46,274,278,KA EKONOMI,SRI TANJUNG,LPN-SB,07:00:00,12:29:00,505
47,275,279,KA EKONOMI,SRI TANJUNG,SB-KTG,13:20:00,20:00:00,506
2,276,280,KA EKONOMI,SRI TANJUNG,KTG-SB,07:15:00,13:29:00,507
3,277,277,KA EKONOMI,SRI TANJUNG,SB-LPN,14:15:00,19:33:00,508
4,278,281,KA EKONOMI,BENGAWAN,PWS-PSE,22:45:00,07:34:00,511
5,279,282,KA EKONOMI,BENGAWAN,PSE-PWS,08:55:00,18:05:00,513
6,280,286,KA EKONOMI,SERAYU,PWT-KYA,07:00:00,07:29:00,516
7,281,283,KA EKONOMI,SERAYU,KYA-PSE,07:49:00,17:22:00,516
8,282,284,KA EKONOMI,SERAYU,PSE-KYA,09:30:00,19:34:00,518
9,283,285,KA EKONOMI,SERAYU,KYA-PWT,20:06:00,20:35:00,519
10,284,290,KA EKONOMI,SERAYU,PWT-KYA,16:45:00,17:10:00,519
11,285,287,KA EKONOMI,SERAYU,KYA-PSE,17:30:00,04:17:00,520
12,286,288,KA EKONOMI,SERAYU,PSE-KYA,19:25:00,05:15:00,521
13,287,289,KA EKONOMI,SERAYU,KYA-PWT,05:35:00,06:00:00,523
14,288,291,KA EKONOMI,KUTOJAYA SELATAN,KTA-KAC,09:40:00,17:05:00,525
15,289,292,KA EKONOMI,KUTOJAYA SELATAN,KAC-KTA,20:50:00,04:05:00,526
16,290,296,KA EKONOMI,TAWANGALUN,MLK-BG,17:00:00,18:19:00,529
17,291,293,KA EKONOMI,TAWANGALUN,BG-KTG,18:45:00,23:55:00,529
18,292,294,KA EKONOMI,TAWANGALUN,KTG-BG,05:00:00,10:23:00,530
19,293,295,KA EKONOMI,TAWANGALUN,BG-MLK,10:45:00,12:09:00,531
20,294,297,KA EKONOMI,PROBOWANGI,SGU-KTG,05:55:00,12:45:00,533
21,295,298,KA EKONOMI,PROBOWANGI,KTG-SGU,17:20:00,23:55:00,534
22,296,299,KA EKONOMI,CIKURAY,GRT-PSE,06:05:00,11:35:00,537
23,297,300,KA EKONOMI,CIKURAY,PSE-GRT,17:20:00,22:52:00,538
24,298,521,KA BANDARA,BANDARA YIA,YK-YIA,04:20:00,04:59:00,541
25,299,522,KA BANDARA,BANDARA YIA,YIA-YK,05:16:00,05:55:00,541
26,300,523,KA BANDARA,BANDARA YIA,YK-YIA,06:30:00,07:09:00,541
27,301,524,KA BANDARA,BANDARA YIA,YIA-YK,07:46:00,08:25:00,541
28,302,525,KA BANDARA,BANDARA YIA,YK-YIA,08:33:00,09:12:00,542
29,303,526,KA BANDARA,BANDARA YIA,YIA-YK,09:53:00,10:32:00,542
30,304,527,KA BANDARA,BANDARA YIA,YK-YIA,12:00:00,12:39:00,542
31,305,528,KA BANDARA,BANDARA YIA,YIA-YK,13:25:00,14:04:00,542
32,306,529,KA BANDARA,BANDARA YIA,YK-YIA,14:13:00,14:52:00,543
33,307,530,KA BANDARA,BANDARA YIA,YIA-YK,15:20:00,15:59:00,543
34,308,531,KA BANDARA,BANDARA YIA,YK-YIA,16:07:00,16:46:00,543
35,309,532,KA BANDARA,BANDARA YIA,YIA-YK,17:34:00,18:13:00,543
36,310,533,KA BANDARA,BANDARA YIA,YK-YIA,19:16:00,19:55:00,544
37,311,534,KA BANDARA,BANDARA YIA,YIA-YK,20:55:00,21:34:00,544
38,312,535,KA BANDARA,BANDARA YIA,YK-YIA,07:40:00,08:15:00,544
39,313,536,KA BANDARA,BANDARA YIA,YIA-YK,08:40:00,09:15:00,544
40,314,537,KA BANDARA,BANDARA YIA,YK-YIA,09:28:00,10:03:00,545
41,315,538,KA BANDARA,BANDARA YIA,YIA-YK,10:20:00,10:55:00,545
42,316,539,KA BANDARA,BANDARA YIA,YK-YIA,11:03:00,11:38:00,545
43,317,540,KA BANDARA,BANDARA YIA,YIA-YK,12:24:00,12:59:00,545
44,318,541,KA BANDARA,BANDARA YIA,YK-YIA,15:02:00,15:37:00,546
45,319,542,KA BANDARA,BANDARA YIA,YIA-YK,15:45:00,16:20:00,546
46,320,543,KA BANDARA,BANDARA YIA,YK-YIA,16:48:00,17:23:00,546
47,321,544,KA BANDARA,BANDARA YIA,YIA-YK,18:54:00,19:29:00,546
2,322,545,KA BANDARA,BANDARA YIA,YK-YIA,20:12:00,20:47:00,547
3,323,546,KA BANDARA,BANDARA YIA,YIA-YK,21:30:00,22:05:00,547
4,324,547F,KA BANDARA,BANDARA YIA,YK-YIA,06:00:00,06:35:00,547
5,325,548F,KA BANDARA,BANDARA YIA,YIA-YK,07:00:00,07:35:00,547
6,326,549,KA BANDARA,BANDARA YIA,YK-YIA,07:57:00,08:32:00,548
7,327,550,KA BANDARA,BANDARA YIA,YIA-YK,09:05:00,09:40:00,548
8,328,551,KA BANDARA,BANDARA YIA,YK-YIA,09:51:00,10:26:00,548
9,329,552,KA BANDARA,BANDARA YIA,YIA-YK,10:54:00,11:29:00,548
10,330,553,KA BANDARA,BANDARA YIA,YK-YIA,13:28:00,14:03:00,549
11,331,554,KA BANDARA,BANDARA YIA,YIA-YK,14:45:00,15:20:00,549
12,332,555,KA BANDARA,BANDARA YIA,YK-YIA,15:30:00,16:05:00,549
13,333,556,KA BANDARA,BANDARA YIA,YIA-YK,16:17:00,16:52:00,549
14,334,557,KA BANDARA,BANDARA YIA,YK-YIA,17:15:00,17:50:00,550
15,335,558,KA BANDARA,BANDARA YIA,YIA-YK,18:00:00,18:35:00,550
16,336,559,KA BANDARA,BANDARA YIA,YK-YIA,18:50:00,19:25:00,550
17,337,560,KA BANDARA,BANDARA YIA,YIA-YK,20:15:00,20:50:00,550
18,338,561,KA BANDARA,BANDARA YIA,YK-YIA,05:10:00,05:49:00,551
19,339,562,KA BANDARA,BANDARA YIA,YIA-YK,06:20:00,06:59:00,551
20,340,563,KA BANDARA,BANDARA YIA,YK-YIA,08:55:00,09:34:00,551
21,341,564,KA BANDARA,BANDARA YIA,YIA-YK,11:35:00,12:14:00,551
22,342,565,KA BANDARA,BANDARA YIA,YK-YIA,12:35:00,13:14:00,552
23,343,566,KA BANDARA,BANDARA YIA,YIA-YK,14:56:00,15:35:00,552
24,344,567,KA BANDARA,BANDARA YIA,YK-YIA,15:49:00,16:28:00,552
25,345,568,KA BANDARA,BANDARA YIA,YIA-YK,17:00:00,17:39:00,552
26,346,569,KA BANDARA,BANDARA YIA,YK-YIA,18:25:00,19:04:00,553
27,347,570,KA BANDARA,BANDARA YIA,YIA-YK,19:46:00,20:25:00,553
28,348,571,KA BANDARA,BANDARA SMO,MN-SMO,06:00:00,07:59:00,555
29,349,572,KA BANDARA,BANDARA SMO,SMO-MN,08:35:00,10:35:00,555
30,350,573,KA BANDARA,BANDARA SMO,MN-SMO,11:35:00,13:34:00,555
31,351,574,KA BANDARA,BANDARA SMO,SMO-MN,14:05:00,16:05:00,556
32,352,575,KA BANDARA,BANDARA SMO,MN-SMO,16:20:00,18:20:00,556
33,353,576,KA BANDARA,BANDARA SMO,SMO-MN,06:00:00,07:59:00,557
34,354,577,KA BANDARA,BANDARA SMO,MN-SMO,08:10:00,10:55:00,557
35,355,578,KA BANDARA,BANDARA SMO,SMO-MN,12:00:00,14:15:00,558
36,356,579,KA BANDARA,BANDARA SMO,MN-SMO,15:00:00,17:18:00,558
37,357,580,KA BANDARA,BANDARA SMO,SMO-MN,17:30:00,19:30:00,559
