0,1,2,3,4
No.,Stasiun dan Perhentian,Datang,Berangkat,Keterangan
1,Madiun (MN),,06:00:00,
2,Magetan (MAG),06:10:00,06:12:00,
3,Geneng (GG),Ls,06:20:00,
4,Ngawi (NGW),06:27:00,06:29:00,
5,Kedunggalar (KG),Ls,06:37:00,
,6  Walikukun (WK),06:46:00,06:48:00,
7,Kedungbanteng (KDB),Ls,06:58:00,
8,Kebonromo (KRO),Ls,07:02:00,
9,Sragen (SR),07:07:00,07:09:00,
10  Masaran (MSR),,Ls,07:16:00,
11  Kemiri (KMR),,Ls,07:22:00,
12,Palur (PL),Ls,07:25:00,
13,Solojebres (SK),07:30:00,07:32:00,
14,Solobalapan (SLO),07:36:00,07:41:00,
15  Kadipiro (KDO),,07:48:00,07:49:00,
,16  Adi Soemarmo (SMO),07:59:00,,
No.,Stasiun dan Perhentian,Datang,Berangkat,Keterangan
1,Adi Soemarmo (SMO),,08:35:00,
2,Kadipiro (KDO),08:45:00,08:46:00,
3,Solobalapan (SLO),08:53:00,08:58:00,(KA 267 X)
4,Solojebres (SK),09:02:00,09:04:00,
5,Palur (PL),Ls,09:09:00,
6,Kemiri (KMR),Ls,09:12:00,
7,Masaran (MSR),Ls,09:18:00,
8,Sragen (SR),09:25:00,09:27:00,
9,Kebonromo (KRO),Ls,09:32:00,
,10  Kedungbanteng (KDB),Ls,09:36:00,
11  Walikukun (WK),,09:47:00,09:49:00,
12  Kedunggalar (KG),,Ls,09:58:00,
13  Ngawi (NGW),,10:06:00,10:08:00,
14  Geneng (GG),,Ls,10:15:00,
15  Magetan (MAG),,10:23:00,10:25:00,
16  Madiun (MN),,10:35:00,,
No.,Stasiun dan Perhentian,Datang,Berangkat,Keterangan
1,Madiun (MN),,11:35:00,
2,Magetan (MAG),11:45:00,11:47:00,
3,Geneng (GG),Ls,11:55:00,
No.,Stasiun dan Perhentian,Datang,Berangkat,Keterangan
4,Ngawi (NGW),12:02:00,12:04:00,
5,Kedunggalar (KG),Ls,12:12:00,
,6  Walikukun (WK),12:21:00,12:23:00,
7,Kedungbanteng (KDB),Ls,12:33:00,
8,Kebonromo (KRO),Ls,12:37:00,
9,Sragen (SR),12:42:00,12:44:00,
10  Masaran (MSR),,Ls,12:51:00,
11  Kemiri (KMR),,Ls,12:57:00,
12,Palur (PL),Ls,13:00:00,
13,Solojebres (SK),13:05:00,13:07:00,
14,Solobalapan (SLO),13:11:00,13:16:00,
15  Kadipiro (KDO),,13:23:00,13:24:00,
,16  Adi Soemarmo (SMO),13:34:00,,
No.,Stasiun dan Perhentian,Datang,Berangkat,Keterangan
1,Adi Soemarmo (SMO),,14:05:00,
2,Kadipiro (KDO),14:15:00,14:16:00,
3,Solobalapan (SLO),14:23:00,14:28:00,(KA 269 X)
4,Solojebres (SK),14:32:00,14:34:00,
5,Palur (PL),Ls,14:39:00,
6,Kemiri (KMR),Ls,14:42:00,
7,Masaran (MSR),Ls,14:48:00,
8,Sragen (SR),14:55:00,14:57:00,
9,Kebonromo (KRO),Ls,15:02:00,
,10  Kedungbanteng (KDB),Ls,15:06:00,
11  Walikukun (WK),,15:17:00,15:19:00,
12  Kedunggalar (KG),,Ls,15:28:00,
13  Ngawi (NGW),,15:35:00,15:38:00,
14  Geneng (GG),,Ls,15:45:00,
15  Magetan (MAG),,15:53:00,15:55:00,
16  Madiun (MN),,16:05:00,,
No.,Stasiun dan Perhentian,Datang,Berangkat,Keterangan
1,Madiun (MN),,16:20:00,
2,Magetan (MAG),16:31:00,16:33:00,
3,Geneng (GG),Ls,16:41:00,
4,Ngawi (NGW),16:48:00,16:50:00,
5,Kedunggalar (KG),Ls,16:58:00,
,6  Walikukun (WK),17:07:00,17:09:00,
7,Kedungbanteng (KDB),Ls,17:20:00,
8,Kebonromo (KRO),Ls,17:24:00,
No.,Stasiun dan Perhentian,Datang,Berangkat,Keterangan
9,Sragen (SR),17:29:00,17:31:00,
10  Masaran (MSR),,Ls,17:38:00,
11  Kemiri (KMR),,Ls,17:44:00,
12,Palur (PL),Ls,17:47:00,
13,Solojebres (SK),17:52:00,17:54:00,
14,Solobalapan (SLO),17:58:00,18:03:00,
15  Kadipiro (KDO),,18:09:00,18:10:00,
,16  Adi Soemarmo (SMO),18:20:00,,
No.,Stasiun dan Perhentian,Datang,Berangkat,Keterangan
1,Adi Soemarmo (SMO),,06:00:00,X R576-3
2,Kadipiro (KDO),06:10:00,06:11:00,
3,Solobalapan (SLO),06:18:00,06:23:00,
4,Solojebres (SK),06:27:00,06:29:00,
5,Palur (PL),Ls,06:34:00,
6,Kemiri (KMR),Ls,06:37:00,
7,Masaran (MSR),Ls,06:43:00,
8,Sragen (SR),06:50:00,06:52:00,
9,Kebonromo (KRO),Ls,06:58:00,
,10  Kedungbanteng (KDB),Ls,07:02:00,
11  Walikukun (WK),,07:13:00,07:15:00,
12  Kedunggalar (KG),,Ls,07:23:00,
13  Ngawi (NGW),,07:30:00,07:32:00,
14  Geneng (GG),,Ls,07:39:00,
15  Magetan (MAG),,07:47:00,07:49:00,
16  Madiun (MN),,07:59:00,,
No.,Stasiun dan Perhentian,Datang,Berangkat,Keterangan
1,Madiun (MN),,08:10:00,
2,Magetan (MAG),08:20:00,08:22:00,
