0,1,2,3,4
No.,Stasiun dan Perhentian,,Datang  Berangkat,Keterangan
1,Yogyakarta (YK),,04:20:00,
2,Patukan (PTN),Ls,04:25:00,
3,Rewulu (RWL),Ls,04:28:00,
4,Sentolo (STL),Ls,04:35:00,
5  Wates (WT),,04:44:00,04:46:00,
6,Kedundang (KDG),Ls,04:53:00,
7,"Yogyakarta International 
Airport (YIA)",04:59:00,,
No.,Stasiun dan Perhentian,,Datang  Berangkat,Keterangan
1,"Yogyakarta International 
Airport (YIA)",,05:16:00,
2,Kedundang (KDG),Ls,05:22:00,
3  Wates (WT),,05:29:00,05:31:00,
4,Sentolo (STL),Ls,05:40:00,
5,Rewulu (RWL),Ls,05:47:00,
6,Patukan (PTN),Ls,05:50:00,
7,Yogyakarta (YK),05:55:00,,
No.,Stasiun dan Perhentian,,Datang  Berangkat,Keterangan
1,Yogyakarta (YK),,06:30:00,
2,Patukan (PTN),Ls,06:35:00,
3,Rewulu (RWL),Ls,06:38:00,
4,Sentolo (STL),Ls,06:45:00,
5  Wates (WT),,06:54:00,06:56:00,
6,Kedundang (KDG),Ls,07:03:00,
7,"Yogyakarta International 
Airport (YIA)",07:09:00,,
No.,Stasiun dan Perhentian,,Datang  Berangkat,Keterangan
1,"Yogyakarta International 
Airport (YIA)",,07:46:00,
2,Kedundang (KDG),Ls,07:52:00,
3  Wates (WT),,07:59:00,08:01:00,
4,Sentolo (STL),Ls,08:10:00,
5,Rewulu (RWL),Ls,08:17:00,
6,Patukan (PTN),Ls,08:20:00,
7,Yogyakarta (YK),08:25:00,,
No.,Stasiun dan Perhentian,,Datang  Berangkat,Keterangan
1,Yogyakarta (YK),,08:33:00,
2,Patukan (PTN),Ls,08:38:00,
3,Rewulu (RWL),Ls,08:41:00,
4,Sentolo (STL),Ls,08:48:00,
5  Wates (WT),,08:57:00,08:59:00,
6,Kedundang (KDG),Ls,09:06:00,
7,"Yogyakarta International 
Airport (YIA)",09:12:00,,
No.,Stasiun dan Perhentian,,Datang  Berangkat,Keterangan
1,"Yogyakarta International 
Airport (YIA)",,09:53:00,
2,Kedundang (KDG),Ls,09:59:00,
3  Wates (WT),,10:06:00,10:08:00,
4,Sentolo (STL),Ls,10:17:00,
5,Rewulu (RWL),Ls,10:24:00,
6,Patukan (PTN),Ls,10:27:00,
7,Yogyakarta (YK),10:32:00,,
No.,Stasiun dan Perhentian,,Datang  Berangkat,Keterangan
1,Yogyakarta (YK),,12:00:00,
2,Patukan (PTN),Ls,12:05:00,
3,Rewulu (RWL),Ls,12:08:00,
4,Sentolo (STL),Ls,12:15:00,
5  Wates (WT),,12:24:00,12:26:00,
6,Kedundang (KDG),Ls,12:33:00,
7,"Yogyakarta International 
Airport (YIA)",12:39:00,,
No.,Stasiun dan Perhentian,,Datang  Berangkat,Keterangan
1,"Yogyakarta International 
Airport (YIA)",,13:25:00,
2,Kedundang (KDG),Ls,13:31:00,
3  Wates (WT),,13:38:00,13:40:00,
4,Sentolo (STL),Ls,13:49:00,
5,Rewulu (RWL),Ls,13:56:00,
6,Patukan (PTN),Ls,13:59:00,
7,Yogyakarta (YK),14:04:00,,
No.,Stasiun dan Perhentian,,Datang  Berangkat,Keterangan
1,Yogyakarta (YK),,14:13:00,
2,Patukan (PTN),Ls,14:18:00,
3,Rewulu (RWL),Ls,14:21:00,
4,Sentolo (STL),Ls,14:28:00,
5  Wates (WT),,14:37:00,14:39:00,
6,Kedundang (KDG),Ls,14:46:00,
7,"Yogyakarta International 
Airport (YIA)",14:52:00,,
No.,Stasiun dan Perhentian,,Datang  Berangkat,Keterangan
1,"Yogyakarta International 
Airport (YIA)",,15:20:00,
2,Kedundang (KDG),Ls,15:26:00,
3  Wates (WT),,15:33:00,15:35:00,
4,Sentolo (STL),Ls,15:44:00,
5,Rewulu (RWL),Ls,15:51:00,
6,Patukan (PTN),Ls,15:54:00,
7,Yogyakarta (YK),15:59:00,,
No.,Stasiun dan Perhentian,,Datang  Berangkat,Keterangan
1,Yogyakarta (YK),,16:07:00,
2,Patukan (PTN),Ls,16:12:00,
3,Rewulu (RWL),Ls,16:15:00,
4,Sentolo (STL),Ls,16:22:00,
5  Wates (WT),,16:31:00,16:33:00,
6,Kedundang (KDG),Ls,16:40:00,
7,"Yogyakarta International 
Airport (YIA)",16:46:00,,
No.,Stasiun dan Perhentian,,Datang  Berangkat,Keterangan
1,"Yogyakarta International 
Airport (YIA)",,17:34:00,
2,Kedundang (KDG),Ls,17:40:00,
3  Wates (WT),,17:47:00,17:49:00,
4,Sentolo (STL),Ls,17:58:00,
5,Rewulu (RWL),Ls,18:05:00,
6,Patukan (PTN),Ls,18:08:00,
7,Yogyakarta (YK),18:13:00,,
No.,Stasiun dan Perhentian,,Datang  Berangkat,Keterangan
