0,1,2,3,4
No.,Stasiun dan Perhentian,Datang,Berangkat,Keterangan
1,Malangkotalama (MLK),,17:00:00,X KA LL803
2,Malang (ML),17:06:00,17:18:00,
3,Blimbing (BMG),Ls,17:24:00,
4,Singosari (SGS),Ls,17:30:00,
5,Lawang (LW),17:40:00,17:44:00,X KA 2627 (KA 2627 X)
6,Sengon (SN),Ls,17:55:00,
7,Sukorejo (SKJ),Ls,17:59:00,
,8  Wonokerto (WN),Ls,18:08:00,
9,Bangil (BG),18:19:00,18:45:00,
No.,Stasiun dan Perhentian,Datang,Berangkat,Keterangan
1,Bangil (BG),18:19:00,18:45:00,X KA 34
2,Pasuruan (PS),19:03:00,19:05:00,
3,Rejoso (RO),Ls,19:14:00,
4,Grati (GI),Ls,19:19:00,
5,Bayeman (BYM),Ls,19:30:00,
6,Probolinggo (PB),19:41:00,19:48:00,X KA 148 (KA 148 X)
7,Leces (LEC),Ls,20:00:00,
8,Malasan (MLS),Ls,20:09:00,
9,Ranuyoso (RN),Ls,20:17:00,
10  Klakah (KK),,20:23:00,20:25:00,
11  Randuagung (RDA),,Ls,20:36:00,
12,Jatiroto (JTR),Ls,20:45:00,X KA 298 (KA 298 X)
13,Tanggul (TGL),20:54:00,20:56:00,
14  Bangsalsari (BSS),,Ls,21:05:00,
15  Rambipuji (RBP),,21:13:00,21:15:00,
16  Mangli (MI),,Ls,21:19:00,
17,Jember (JR),21:25:00,21:30:00,X KA 494
18  Arjasa (AJ),,Ls,21:37:00,
19  Kotok (KTK),,Ls,21:41:00,
20  Kalisat (KLT),,21:49:00,21:53:00,X KA 240F JJ (KA 240F JJ X)
21,Ledokombo (LDO),Ls,22:02:00,
22,Sempolan (SPL),Ls,22:11:00,
23  Garahan (GRN),,Ls,22:15:00,
24  Mrawan (MRW),,Ls,22:27:00,
25  Kalibaru (KBR),,22:37:00,22:39:00,
26  Glenmore (GLM),,Ls,22:46:00,
27,Sumberwadung (SWD),Ls,22:51:00,
28  Kalisetail (KSL),,22:56:00,23:00:00,X KA 210 (KA 210 X)
29,Temuguruh (TGR),23:09:00,23:11:00,
30,Singojuruh (SGJ),Ls,23:16:00,
No.,Stasiun dan Perhentian,Datang,Berangkat,Keterangan
31  Rogojampi (RGP),,23:23:00,23:25:00,
,32  Banyuwangi Kota (BWI),23:38:00,23:40:00,
33  Argopuro (AGO),,Ls,23:47:00,
34  Ketapang (KTG),,23:55:00,,
No.,Stasiun dan Perhentian,Datang,Berangkat,Keterangan
1,Ketapang (KTG),,05:00:00,X KA 147
2,Argopuro (AGO),Ls,05:07:00,
3,Banyuwangi Kota (BWI),05:14:00,05:24:00,X KA 159 (KA 159 X)
4,Rogojampi (RGP),05:36:00,05:38:00,
5,Singojuruh (SGJ),Ls,05:45:00,
6,Temuguruh (TGR),05:50:00,05:52:00,
7,Kalisetail (KSL),06:01:00,06:03:00,
8,Sumberwadung (SWD),Ls,06:08:00,
9,Glenmore (GLM),Ls,06:13:00,
10  Kalibaru (KBR),,06:20:00,06:22:00,X KA 491 (KA 491 X)
11  Mrawan (MRW),,Ls,06:32:00,
12  Garahan (GRN),,Ls,06:44:00,
13,Sempolan (SPL),Ls,06:48:00,
14,Ledokombo (LDO),Ls,06:56:00,
15  Kalisat (KLT),,07:05:00,07:07:00,
16  Kotok (KTK),,Ls,07:15:00,
17  Arjasa (AJ),,Ls,07:19:00,
18,Jember (JR),07:26:00,07:31:00,
19  Mangli (MI),,Ls,07:37:00,
20  Rambipuji (RBP),,07:41:00,07:43:00,
21  Bangsalsari (BSS),,Ls,07:51:00,
22,Tanggul (TGL),08:00:00,08:02:00,
23,Jatiroto (JTR),08:12:00,08:18:00,X KA 33 (KA 33 X)
24  Randuagung (RDA),,Ls,08:28:00,
25  Klakah (KK),,08:39:00,08:50:00,X KA 297 (KA 297 X)
26  Ranuyoso (RN),,Ls,08:55:00,
27  Malasan (MLS),,Ls,09:03:00,
28,Leces (LEC),Ls,09:11:00,
29,Probolinggo (PB),09:23:00,09:28:00,
30  Bayeman (BYM),,Ls,09:39:00,
31  Grati (GI),,Ls,09:49:00,
32  Rejoso (RO),,Ls,09:54:00,X KA 239F JJ (KA 239F JJ X)
33,Pasuruan (PS),10:03:00,10:05:00,
34  Bangil (BG),,10:23:00,10:45:00,(KA 209 X)
No.,Stasiun dan Perhentian,Datang,Berangkat,Keterangan
1,Bangil (BG),10:23:00,10:45:00,(KA 209 X)
,2  Wonokerto (WN),Ls,10:56:00,
3,Sukorejo (SKJ),Ls,11:04:00,
4,Sengon (SN),Ls,11:09:00,
5,Lawang (LW),11:21:00,11:24:00,
6,Singosari (SGS),Ls,11:34:00,
7,Blimbing (BMG),Ls,11:41:00,
8,Malang (ML),11:47:00,12:03:00,"X KA 402, 302 (KA 402 X)"
9,Malangkotalama (MLK),12:09:00,,
