0,1,2,3,4
No.,Stasiun dan Perhentian,Datang,Berangkat,Keterangan
1,Cepu (CU),,05:15:00,
2,Kapuan (KPA),Ls,05:21:00,
3  Wadu (WDU),,05:28:00,05:30:00,
4,Randublatung (RBG),05:43:00,05:45:00,
5,Doplang (DPL),05:58:00,06:00:00,
6,Sulur (SL),Ls,06:07:00,
7,Kradenan (KNN),06:15:00,06:17:00,
8,Panunggalan (PNL),Ls,06:26:00,
9,Jambon (JBN),06:32:00,06:34:00,
10  Gambringan (GBN),,Ls,06:44:00,
11  Ngrombo (NBO),,06:47:00,06:49:00,
12,Sedadi (SDI),Ls,06:55:00,
13  Karangjati (KGT),,Ls,07:01:00,
14  Gubug (GUB),,Ls,07:10:00,
15,Tegowanu (TGW),Ls,07:15:00,
16  Brumbung (BBG),,Ls,07:22:00,
17  Alastua (ATA),,Ls,07:27:00,
18,Semarang Tawang (SMT),07:35:00,07:40:00,// KA 2529 (KA 2529 =)
19,Semarang Poncol (SMC),07:47:00,,
No.,Stasiun dan Perhentian,Datang,Berangkat,Keterangan
1,Semarang Poncol (SMC),,19:35:00,
2,Semarang Tawang (SMT),19:41:00,19:45:00,
3,Alastua (ATA),Ls,19:54:00,
4,Brumbung (BBG),Ls,19:59:00,
5,Tegowanu (TGW),Ls,20:05:00,
6,Gubug (GUB),Ls,20:10:00,
7,Karangjati (KGT),Ls,20:19:00,
8,Sedadi (SDI),Ls,20:25:00,
9,Ngrombo (NBO),20:31:00,20:33:00,
10  Gambringan (GBN),,Ls,20:36:00,
11,Jambon (JBN),20:46:00,20:48:00,
12,Panunggalan (PNL),Ls,20:54:00,
13  Kradenan (KNN),,21:03:00,21:05:00,
14,Sulur (SL),Ls,21:13:00,
15  Doplang (DPL),,21:20:00,21:22:00,
,16  Randublatung (RBG),21:35:00,21:37:00,
17  Wadu (WDU),,21:49:00,21:51:00,
18  Kapuan (KPA),,Ls,21:58:00,
19  Cepu (CU),,22:04:00,,
