No.,Stasiun,Datang,Berangkat,Keterangan
1,Gambir (GMR),,09:15:00,
2,Gondangdia (GDD),Ls,-,
3,Cikini (CKI),Ls,-,
4,Manggarai (MRI),Ls,09:24:00,
5,Matraman (MTR),Ls,-,
6,Jatinegara (JNG),09:30:00,09:32:00,
7,Bekasi (BKS),09:44:00,09:46:00,
8,Bekasitimur (BKST),Ls,-,
9,Tambun (TB),Ls,09:52:00,
10,Cibitung (CIT),Ls,-,
11,Telaga Murni (TLM),Ls,-,
12,Cikarang (CKR),Ls,09:58:00,// KA 272 (KA 272 =)
13,Lemahabang (LMB),Ls,10:01:00,
14,Kedunggedeh (KDH),Ls,10:07:00,
15,Karawang (KW),Ls,10:11:00,
16,Klari (KLI),Ls,10:15:00,
17,Kosambi (KOS),Ls,10:17:00,
18,Dawuan (DWN),Ls,10:21:00,
19,Cikampek (CKP),Ls,10:25:00,
20,Cibungur (CBR),Ls,10:32:00,
21,Sadang (SAD),Ls,-,
22,Purwakarta (PWK),10:42:00,10:44:00,
23,Ciganea (CA),Ls,10:53:00,
24,Sukatani (SUT),Ls,11:02:00,
25,Plered (PLD),Ls,11:07:00,
26,Cisomang (CG),Ls,-,
27,Cikadongdong (CD),Ls,11:21:00,
28,Rendeh (RH),Ls,11:25:00,
29,Maswati (MSI),Ls,11:30:00,
30,Sasaksaat (SKT),11:37:00,11:43:00,X KA 133 (KA 133 X)
31,Cilame (CLE),Ls,11:52:00,
32,Padalarang (PDL),Ls,12:00:00,
33,Gadobangkong (GK),Ls,-,
34,Cimahi (CMI),12:06:00,12:08:00,
35,Cimindi (CMD),Ls,12:11:00,
36,Andir (AND),Ls,12:13:00,
37,Bandung (BD),12:18:00,,
