No.,Stasiun,Datang,Berangkat,Keterangan
1,Solobalapan (SLO),15:34:00,15:50:00,
2,Kadipiro (KDO),Ls,15:57:00,
3,Kalioso (KO),Ls,16:02:00,
4,Salem (SLM),16:10:00,16:20:00,X KA 192(KA 192 X)
5,Sumberlawang (SUM),Ls,16:29:00,
6,Goprak (GPK),Ls,16:37:00,
7,Gundih (GD),16:44:00,16:46:00,
8,Karangsono (KSO),Ls,16:57:00,
9,Telawa (TW),17:07:00,17:09:00,
10,Padas (PDS),Ls,17:18:00,
11,Kedungjati (KEJ),17:25:00,17:27:00,
12,Tanggung (TGG),Ls,17:37:00,
13,Brumbung (BBG),Ls,17:47:00,
14,Alastua (ATA),Ls,17:54:00,
15,Semarang Tawang (SMT),18:02:00,,
