No.,Stasiun,Datang,Berangkat,Keterangan
1,Malang (ML),,08:25:00,
2,Malangkotalama (MLK),08:31:00,08:33:00,
3,Pakisaji (PSI),Ls,08:42:00,
4,Kepanjen (KPN),08:50:00,08:53:00,
5,Ngebruk (NB),Ls,09:01:00,
6,Sumberpucung (SBP),Ls,09:05:00,
7,Pogajih (PGJ),Ls,09:13:00,
8,Kesamben (KSB),Ls,09:20:00,
9,Wlingi (WG),09:30:00,09:32:00,// KA 425 (KA 425 =)
10,Talun (TAL),Ls,09:37:00,
11,Garum (GRM),Ls,09:44:00,X KA 402 (KA 402 X)
12,Blitar (BL),09:52:00,09:56:00,X KA 302 (KA 302 X)
13,Rejotangan (RJ),Ls,10:06:00,
14,Ngunut (NT),Ls,10:11:00,
15,Sumbergempol (SBL),Ls,10:16:00,
16,Tulungagung (TA),10:21:00,10:23:00,
17,Ngujang (NJG),Ls,10:29:00,
18,Kras (KRS),10:37:00,10:43:00,X KA 150 (KA 150 X)
19,Ngadiluwih (NDL),Ls,10:49:00,
20,Kediri (KD),10:57:00,11:03:00,X KA 274 (KA 274 X)
21,Susuhan (SS),Ls,11:08:00,
22,Minggiran (MGN),Ls,11:12:00,
23,Papar (PPR),Ls,11:15:00,
24,Purwoasri (PWA),Ls,11:19:00,
25,Kertosono (KTS),11:25:00,11:30:00,(KA 404 X)
26,Baron (BRN),Ls,11:36:00,
27,Sukomoro (SKM),Ls,11:42:00,
28,Nganjuk (NJ),11:47:00,11:49:00,
29,Bagor (BGR),Ls,11:55:00,
30,Saradan (SRD),Ls,12:05:00,
31,Caruban (CRB),12:11:00,12:13:00,
32,Babadan (BBD),Ls,12:20:00,
33,Madiun (MN),12:27:00,12:32:00,
34,Magetan (MAG),Ls,12:40:00,// KA 269 (KA 269 =)
35,Geneng (GG),Ls,12:45:00,
36,Ngawi (NGW),Ls,12:49:00,
37,Kedunggalar (KG),Ls,12:54:00,
38,Walikukun (WK),Ls,13:00:00,
39,Kedungbanteng (KDB),Ls,13:07:00,
40,Kebonromo (KRO),Ls,13:11:00,
41,Sragen (SR),13:16:00,13:18:00,
42,Masaran (MSR),Ls,13:25:00,
43,Kemiri (KMR),Ls,13:30:00,
44,Palur (PL),Ls,13:33:00,
45,Solojebres (SK),Ls,13:36:00,
46,Solobalapan (SLO),13:40:00,13:45:00,
47,Purwosari (PWS),Ls,13:49:00,
48,Gawok (GW),Ls,13:53:00,
49,Delanggu (DL),Ls,13:56:00,
50,Ceper (CE),Ls,14:00:00,// KA 2705 (KA 2705 =)
51,Klaten (KT),14:07:00,14:09:00,
52,Srowot (SWT),Ls,14:14:00,
53,Brambanan (BBN),Ls,14:18:00,
54,Maguwo (MGW),Ls,14:23:00,
55,Lempuyangan (LPN),Ls,14:27:00,
56,Yogyakarta (YK),14:31:00,14:36:00,
57,Patukan (PTN),Ls,14:41:00,
58,Rewulu (RWL),Ls,14:44:00,
59,Sentolo (STL),Ls,14:50:00,
60,Wates (WT),14:59:00,15:14:00,= KA 47 (KA 47 //)
61,Kedundang (KDG),Ls,15:21:00,
62,Wojo (WJ),Ls,15:27:00,
63,Jenar (JN),Ls,15:33:00,
64,Kutoarjo (KTA),15:45:00,15:50:00,
65,Butuh (BTH),Ls,15:56:00,
66,Prembun (PRB),Ls,16:00:00,
67,Kutowinangun (KWN),Ls,16:04:00,
68,Wonosari (WNS),Ls,16:06:00,
69,Kebumen (KM),16:11:00,16:14:00,
70,Sruweng (SRW),Ls,16:22:00,
71,Karanganyar (KA),Ls,16:24:00,
72,Gombong (GB),16:31:00,16:33:00,
73,Ijo (IJ),Ls,16:40:00,
74,Tambak (TBK),Ls,16:43:00,
75,Sumpiuh (SPH),Ls,16:46:00,
76,Kemranjen (KJ),Ls,16:49:00,
77,Kroya (KYA),16:56:00,16:59:00,
78,Randegan (RDN),Ls,17:06:00,
79,Kebasen (KBS),Ls,17:09:00,
80,Notog (NTG),Ls,17:14:00,
81,Purwokerto (PWT),17:22:00,,
