No.,Stasiun,Datang,Berangkat,Keterangan
1,Surabayagubeng (SGU),,22:00:00,
2,Ngagel (NGA),Ls,-,
3,Wonokromo (WO),Ls,22:06:00,
4,Sepanjang (SPJ),Ls,22:10:00,
5,Boharan (BH),Ls,-,
6,Krian (KRN),Ls,22:19:00,
7,Kedinding (KDN),Ls,-,
8,Tarik (TRK),Ls,22:25:00,
9,Mojokerto (MR),22:34:00,22:36:00,
10,Curahmalang (CRM),Ls,-,
11,Sumobito (SBO),Ls,22:45:00,
12,Peterongan (PTR),Ls,-,
13,Jombang (JG),22:53:00,22:55:00,
14,Sembung (SMB),Ls,23:02:00,
15,Kertosono (KTS),Ls,23:07:00,
16,Baron (BRN),Ls,23:11:00,
17,Sukomoro (SKM),Ls,23:17:00,
18,Nganjuk (NJ),23:22:00,23:24:00,
19,Bagor (BGR),Ls,23:30:00,
20,Saradan (SRD),Ls,23:40:00,
21,Caruban (CRB),Ls,23:45:00,
22,Babadan (BBD),Ls,23:50:00,
23,Madiun (MN),23:57:00,00:02:00,
24,Magetan (MAG),Ls,00:10:00,// KA 2601 (KA 2601 =)
25,Geneng (GG),Ls,00:15:00,
26,Ngawi (NGW),Ls,00:20:00,
27,Kedunggalar (KG),Ls,00:25:00,
28,Walikukun (WK),Ls,00:31:00,
29,Kedungbanteng (KDB),Ls,00:39:00,
30,Kebonromo (KRO),Ls,00:43:00,
31,Sragen (SR),Ls,00:46:00,
32,Masaran (MSR),Ls,00:51:00,
33,Kemiri (KMR),Ls,00:56:00,
34,Palur (PL),Ls,00:59:00,
35,Solojebres (SK),Ls,01:02:00,
36,Solobalapan (SLO),01:06:00,01:09:00,
37,Purwosari (PWS),Ls,01:13:00,
38,Gawok (GW),Ls,01:17:00,
39,Delanggu (DL),Ls,01:20:00,
40,Ceper (CE),Ls,01:24:00,
41,Klaten (KT),01:31:00,01:34:00,
42,Srowot (SWT),Ls,01:41:00,
43,Brambanan (BBN),Ls,01:45:00,
44,Maguwo (MGW),Ls,01:51:00,
45,Lempuyangan (LPN),Ls,01:56:00,// KA 2711 (KA 2711 =)
46,Yogyakarta (YK),02:00:00,,
