No.,Stasiun,Datang,Berangkat,Keterangan
1,Yogyakarta (YK),,11:30:00,
2,Lempuyangan (LPN),Ls,11:33:00,// KA 2716 (KA 2716 =)
3,Maguwo (MGW),Ls,11:37:00,
4,Brambanan (BBN),Ls,11:42:00,
5,Srowot (SWT),Ls,11:45:00,// KA 2602 (KA 2602 =)
6,Klaten (KT),11:50:00,11:52:00,
7,Ceper (CE),Ls,11:59:00,
8,Delanggu (DL),Ls,12:03:00,
9,Gawok (GW),Ls,12:06:00,
10,Purwosari (PWS),Ls,12:10:00,
11,Solobalapan (SLO),12:14:00,12:17:00,
12,Solojebres (SK),Ls,12:21:00,
13,Palur (PL),Ls,12:24:00,
14,Kemiri (KMR),Ls,12:27:00,
15,Masaran (MSR),Ls,12:32:00,
16,Sragen (SR),Ls,12:37:00,
17,Kebonromo (KRO),Ls,12:41:00,
18,Kedungbanteng (KDB),Ls,12:45:00,
19,Walikukun (WK),Ls,12:53:00,
20,Kedunggalar (KG),Ls,12:58:00,
21,Ngawi (NGW),Ls,13:03:00,
22,Geneng (GG),Ls,13:08:00,
23,Magetan (MAG),Ls,13:13:00,
24,Madiun (MN),13:21:00,13:27:00,
25,Babadan (BBD),Ls,13:34:00,
26,Caruban (CRB),Ls,13:39:00,
27,Saradan (SRD),Ls,13:45:00,
28,Bagor (BGR),Ls,13:55:00,
29,Nganjuk (NJ),14:01:00,14:03:00,
30,Sukomoro (SKM),Ls,14:08:00,
31,Baron (BRN),Ls,14:14:00,
32,Kertosono (KTS),Ls,14:19:00,
33,Sembung (SMB),Ls,14:24:00,
34,Jombang (JG),14:31:00,14:34:00,
35,Peterongan (PTR),Ls,-,
36,Sumobito (SBO),Ls,14:43:00,// KA 2640F JJ (KA 2640F JJ =)
37,Curahmalang (CRM),Ls,-,
38,Mojokerto (MR),14:52:00,14:55:00,
39,Tarik (TRK),Ls,15:03:00,
40,Kedinding (KDN),Ls,-,
41,Krian (KRN),Ls,15:09:00,
42,Boharan (BH),Ls,-,
43,Sepanjang (SPJ),Ls,15:19:00,"// KA 426 (KA 426 =) 
X KA 407"
44,Wonokromo (WO),Ls,15:24:00,
45,Ngagel (NGA),Ls,-,
46,Surabayagubeng (SGU),15:30:00,,
