No.,Stasiun,Datang,Berangkat,Keterangan
1,Pasarsenen (PSE),,05:40:00,
2,Gangsentiong (GST),Ls,-,
3,Kramat (KMT),Ls,-,
4,Pondokjati (POK),Ls,-,
5,Jatinegara (JNG),05:50:00,05:52:00,
6,Bekasi (BKS),06:03:00,06:05:00,
7,Bekasitimur (BKST),Ls,-,
8,Tambun (TB),Ls,06:11:00,// KA 5018 (KA 5018 =)
9,Cibitung (CIT),Ls,-,
10,Telaga Murni (TLM),Ls,-,
11,Cikarang (CKR),Ls,06:18:00,
12,Lemahabang (LMB),Ls,06:21:00,
13,Kedunggedeh (KDH),Ls,06:28:00,
14,Karawang (KW),06:34:00,06:36:00,
15,Klari (KLI),Ls,06:42:00,
16,Kosambi (KOS),Ls,06:44:00,// KA 326 (KA 326 =)
17,Dawuan (DWN),Ls,06:49:00,
18,Cikampek (CKP),Ls,06:52:00,
19,Tanjungrasa (TJS),Ls,06:59:00,
20,Pabuaran (PAB),Ls,07:02:00,
21,Pringkasap (PRI),Ls,07:05:00,
22,Pasirbungur (PAS),Ls,07:09:00,
23,Cikaum (CKM),Ls,07:12:00,
24,Pegadenbaru (PGB),Ls,07:17:00,
25,Cipunegara (CRA),Ls,07:21:00,
26,Haurgeulis (HGL),07:26:00,07:28:00,
27,Cilegeh (CLH),Ls,07:35:00,
28,Kadokangabus (KAB),Ls,07:40:00,
29,Terisi (TIS),Ls,07:44:00,
30,Telagasari (TLS),Ls,07:49:00,
31,Jatibarang (JTB),07:56:00,07:58:00,
32,Kertasemaya (KTM),Ls,08:04:00,
33,Arjawinangun (AWN),Ls,08:13:00,
34,Bangoduwa (BDW),Ls,08:17:00,
35,Cangkring (CNK),Ls,08:20:00,
36,Cirebon (CN),08:26:00,08:31:00,
37,Cirebon Prujakan (CNP),Ls,08:34:00,
38,Luwung (LWG),Ls,08:39:00,
39,Sindanglaut (SDU),Ls,08:43:00,
40,Ciledug (CLD),Ls,08:52:00,
41,Ketanggungan (KGG),Ls,09:01:00,
42,Larangan (LRA),Ls,09:06:00,
43,Songgom (SGG),Ls,09:09:00,
44,Prupuk (PPK),Ls,09:16:00,
45,Linggapura (LG),Ls,09:26:00,
46,Bumiayu (BMA),Ls,09:34:00,
47,Kretek (KRT),Ls,09:41:00,
48,Patuguran (PAT),Ls,09:47:00,
49,Karangsari (KRR),Ls,09:58:00,
50,Karanggandul (KGD),Ls,10:06:00,
51,Purwokerto (PWT),10:14:00,10:19:00,
52,Notog (NTG),Ls,10:27:00,
53,Kebasen (KBS),Ls,10:32:00,
54,Randegan (RDN),Ls,10:35:00,
55,Kroya (KYA),10:41:00,10:43:00,
56,Kemranjen (KJ),Ls,10:49:00,
57,Sumpiuh (SPH),Ls,10:52:00,
58,Tambak (TBK),Ls,10:55:00,
59,Ijo (IJ),Ls,10:58:00,
60,Gombong (GB),Ls,11:02:00,
61,Karanganyar (KA),11:09:00,11:11:00,
62,Sruweng (SRW),Ls,11:15:00,
63,Kebumen (KM),11:22:00,11:24:00,
64,Wonosari (WNS),Ls,11:29:00,
65,Kutowinangun (KWN),Ls,11:31:00,
66,Prembun (PRB),Ls,11:35:00,
67,Butuh (BTH),Ls,11:39:00,
68,Kutoarjo (KTA),11:43:00,11:46:00,
69,Jenar (JN),Ls,11:55:00,
70,Wojo (WJ),Ls,11:59:30,
71,Kedundang (KDG),Ls,12:03:00,
72,Wates (WT),12:08:00,12:10:00,
73,Sentolo (STL),Ls,12:19:00,
74,Rewulu (RWL),Ls,12:25:00,
75,Patukan (PTN),Ls,12:28:00,
76,Yogyakarta (YK),12:33:00,12:37:00,
77,Lempuyangan (LPN),Ls,12:40:00,
78,Maguwo (MGW),Ls,12:43:30,
79,Brambanan (BBN),Ls,12:48:00,
80,Srowot (SWT),Ls,12:51:00,
81,Klaten (KT),12:56:00,12:58:00,
82,Ceper (CE),Ls,13:05:00,
83,Delanggu (DL),Ls,13:09:00,
84,Gawok (GW),Ls,13:13:00,
85,Purwosari (PWS),Ls,13:18:00,
86,Solobalapan (SLO),13:22:00,,
