No.,Stasiun,Datang,Berangkat,Keterangan
1,Cilacap (CP),,06:00:00,
2,Gumilir (GM),06:10:00,06:12:00,X KA 2721
3,Karangkandri (KKD),Ls,06:17:00,
4,Kasugihan (KH),06:25:00,06:27:00,
5,Maos (MA),06:31:00,06:33:00,
6,Sikampuh (SKP),Ls,06:39:00,
7,Kroya (KYA),06:46:00,06:49:00,
8,Kemranjen (KJ),Ls,06:55:00,
9,Sumpiuh (SPH),07:00:00,07:02:00,
10,Tambak (TBK),Ls,07:07:00,
11,Ijo (IJ),Ls,07:10:00,
12,Gombong (GB),07:16:00,07:18:00,
13,Karanganyar (KA),07:27:00,07:29:00,
14,Sruweng (SRW),Ls,07:33:00,
15,Kebumen (KM),07:40:00,07:42:00,
16,Wonosari (WNS),Ls,07:47:00,
17,Kutowinangun (KWN),Ls,07:50:00,
18,Prembun (PRB),Ls,07:55:00,
19,Butuh (BTH),Ls,08:00:00,
20,Kutoarjo (KTA),08:05:00,08:08:00,
21,Jenar (JN),Ls,08:19:00,
22,Wojo (WJ),Ls,08:25:00,
23,Kedundang (KDG),Ls,08:30:00,
24,Wates (WT),08:36:00,08:38:00,
25,Sentolo (STL),Ls,08:48:00,
26,Rewulu (RWL),Ls,08:55:00,
27,Patukan (PTN),Ls,08:58:00,
28,Yogyakarta (YK),09:03:00,,
