No.,Stasiun,Datang,Berangkat,Keterangan
1,Malang (ML),,13:45:00,
2,Blimbing (BMG),Ls,13:51:00,
3,Singosari (SGS),Ls,13:57:00,
4,Lawang (LW),14:07:00,14:11:00,X KA 429 (KA 429 X)
5,Sengon (SN),Ls,14:22:00,
6,Sukorejo (SKJ),Ls,14:26:00,
7,Wonokerto (WN),Ls,14:34:00,
8,Bangil (BG),14:44:00,14:48:00,X KA 279
9,Porong (PR),Ls,15:00:00,
10,Tanggulangin (TGA),Ls,15:03:00,
11,Sidoarjo (SDA),15:10:00,15:16:00,X KA 249 (KA 249 X)
12,Pagerwojo (PWJ),Ls,-,
13,Buduran (BDR),Ls,-,
14,Banjarkemantren (BJK),Ls,-,
15,Gedangan (GDG),Ls,15:24:00,
16,Sawotratap (STP),Ls,-,
17,Waru (WR),Ls,15:28:00,X KA 2627 (KA 2627 X)
18,Kertomenanggal (KTL),Ls,-,
19,Jemursari (JMS),Ls,-,
20,Margorejo (MGR),Ls,-,
21,Wonokromo (WO),Ls,15:33:00,(KA 449 X)
22,Ngagel (NGA),Ls,-,
23,Surabayagubeng (SGU),15:39:00,15:43:00,
24,Surabayakota (SB),Ls,15:49:00,
25,Segitigamesigit (STM),Ls,15:52:00,
26,Surabaya Pasarturi (SBI),15:55:00,16:07:00,
