No.,Stasiun,Datang,Berangkat,Keterangan
1,Bandung (BD),,07:55:00,
2,Cikudapateuh (CTH),Ls,-,
3,Kiaracondong (KAC),08:04:00,08:06:00,
4,Gedebage (GDB),Ls,08:13:00,
5,Cimekar (CMK),Ls,-,
6,Rancaekek (RCK),Ls,08:18:00,
7,Haurpugur (HRP),Ls,08:22:30,
8,Cicalengka (CCL),Ls,08:25:00,// KA 348 (KA 348 =)
9,Nagreg (NG),Ls,08:38:00,
10,Lebakjero (LBJ),Ls,08:46:00,
11,Leles (LL),Ls,08:55:00,
12,Karangsari (KRAI),Ls,09:00:00,X KA 305 (KA 305 X)
13,Leuwigoong (LO),Ls,-,
14,Cibatu (CB),Ls,09:08:00,
15,Warungbandrek (WB),Ls,09:15:00,
16,Bumiwaluya (BMW),Ls,09:27:00,
17,Cipeundeuy (CPD),09:38:00,09:48:00,
18,Cirahayu (CAA),Ls,10:01:00,
19,Ciawi (CAW),Ls,10:09:00,
20,Rajapolah (RJP),Ls,10:19:00,
21,Indihiang (IH),Ls,10:25:00,
22,Tasikmalaya (TSM),10:32:00,10:36:00,X KA 283 (KA 283 X)
23,Awipari (AW),Ls,10:42:00,
24,Manonjaya (MNJ),Ls,10:45:00,
25,Ciamis (CI),10:56:00,10:58:00,
26,Bojong (BJG),Ls,11:07:00,
27,Karangpucung (KNP),Ls,11:15:00,
28,Banjar (BJR),11:22:00,11:29:00,X KA 77 (KA 77 X)
29,Langen (LN),Ls,11:38:00,
30,Meluwung (MLW),Ls,11:44:00,
31,Cipari (CPI),Ls,11:50:00,
32,Sidareja (SDR),11:56:00,11:58:00,
33,Gandrungmangun (GDM),Ls,12:05:00,
34,Kawunganten (KWG),12:14:00,12:21:00,X KA 291 (KA 291 X)
35,Jeruklegi (JRL),12:34:00,12:51:00,X KA 275 (KA 275 X)
36,Lebeng (LBG),Ls,12:57:00,
37,Kasugihan (KH),Ls,13:01:00,
38,Maos (MA),13:04:00,13:06:00,
39,Sikampuh (SKP),Ls,13:12:00,
40,Kroya (KYA),13:18:00,13:39:00,(KA 69 X)
