No.,Stasiun,Datang,Berangkat,Keterangan
1,Bangil (BG),08:52:00,09:20:00,
2,Pasuruan (PS),09:38:00,09:40:00,(KA 456 X)
3,Rejoso (RO),09:49:00,09:56:00,X KA 294 (KA 294 X)
4,Grati (GI),Ls,10:02:00,
5,Bayeman (BYM),10:13:00,10:24:00,X KA 250 (KA 250 X)
6,Probolinggo (PB),10:35:00,10:40:00,
7,Leces (LEC),Ls,10:51:00,
8,Malasan (MLS),Ls,11:00:00,X KA 280 (KA 280 X)
9,Ranuyoso (RN),Ls,11:07:00,
10,Klakah (KK),11:12:00,11:14:00,
11,Randuagung (RDA),Ls,11:25:00,
12,Jatiroto (JTR),11:34:00,11:45:00,X KA 212F JJ (KA 212F JJ X)
13,Tanggul (TGL),11:55:00,11:57:00,
14,Bangsalsari (BSS),Ls,12:05:00,
15,Rambipuji (RBP),12:12:00,12:14:00,
16,Mangli (MI),Ls,12:18:00,
17,Jember (JR),12:24:00,12:32:00,X KA 492
18,Arjasa (AJ),Ls,12:39:00,
19,Kotok (KTK),Ls,12:43:00,
20,Kalisat (KLT),12:51:00,12:57:00,X KA 160 (KA 160 X)
21,Ledokombo (LDO),Ls,13:06:00,
22,Sempolan (SPL),Ls,13:15:00,
23,Garahan (GRN),Ls,13:19:00,
24,Mrawan (MRW),Ls,13:31:00,
25,Kalibaru (KBR),13:41:00,13:43:00,
26,Glenmore (GLM),Ls,13:51:00,
27,Sumberwadung (SWD),Ls,13:56:00,
28,Kalisetail (KSL),14:01:00,14:03:00,
29,Temuguruh (TGR),14:12:00,14:14:00,
30,Singojuruh (SGJ),Ls,14:19:00,
31,Rogojampi (RGP),14:26:00,14:28:00,
32,Banyuwangi Kota (BWI),14:40:00,14:42:00,
33,Argopuro (AGO),Ls,14:48:00,
34,Ketapang (KTG),14:55:00,,
