No.,Stasiun,Datang,Berangkat,Keterangan
1,Tegal (TG),,20:30:00,
2,Larangan (LR),Ls,20:36:00,
3,Surodadi (SD),Ls,20:43:00,// KA 2524 (KA 2524 =)
4,Pemalang (PML),20:52:00,20:54:00,
5,Petarukan (PTA),Ls,21:01:00,
6,Comal (CO),Ls,21:08:00,
7,Sragi (SRI),Ls,21:11:00,
8,Pekalongan (PK),21:21:00,21:24:00,
9,Batang (BTG),21:34:00,21:36:00,
10,Ujungnegoro (UJN),Ls,21:41:00,
11,Kuripan (KRP),Ls,21:50:00,
12,Plabuan (PLB),Ls,21:55:00,
13,Krengseng (KNS),Ls,22:02:00,
14,Weleri (WLR),22:08:00,22:10:00,
15,Kalibodri (KBD),Ls,22:18:00,
16,Kaliwungu (KLN),Ls,22:27:00,
17,Mangkang (MKG),Ls,22:32:00,
18,Jerakah (JRK),Ls,22:37:00,
19,Semarang Poncol (SMC),22:43:00,,
