No.,Stasiun,Datang,Berangkat,Keterangan
1,Gambir (GMR),,19:10:00,
2,Gondangdia (GDD),Ls,-,
3,Cikini (CKI),Ls,-,
4,Manggarai (MRI),Ls,19:19:00,
5,Matraman (MTR),Ls,-,
6,Jatinegara (JNG),Ls,19:24:00,
7,Bekasi (BKS),19:35:00,19:37:00,
8,Bekasitimur (BKST),Ls,-,
9,Tambun (TB),Ls,19:44:00,
10,Cibitung (CIT),Ls,-,
11,Telaga Murni (TLM),Ls,-,
12,Cikarang (CKR),Ls,19:52:00,
13,Lemahabang (LMB),Ls,19:55:00,
14,Kedunggedeh (KDH),Ls,20:00:00,
15,Karawang (KW),Ls,20:04:00,// KA 304 (KA 304 =)
16,Klari (KLI),Ls,20:08:00,
17,Kosambi (KOS),Ls,20:10:00,
18,Dawuan (DWN),Ls,20:14:00,
19,Cikampek (CKP),Ls,20:17:00,
20,Tanjungrasa (TJS),Ls,20:24:00,
21,Pabuaran (PAB),Ls,20:27:00,
22,Pringkasap (PRI),Ls,20:30:00,
23,Pasirbungur (PAS),Ls,20:34:00,
24,Cikaum (CKM),Ls,20:37:00,
25,Pegadenbaru (PGB),Ls,20:42:00,
26,Cipunegara (CRA),Ls,20:46:00,
27,Haurgeulis (HGL),20:51:00,20:53:00,
28,Cilegeh (CLH),Ls,21:00:00,
29,Kadokangabus (KAB),Ls,21:05:00,
30,Terisi (TIS),Ls,21:09:00,
31,Telagasari (TLS),Ls,21:14:00,
32,Jatibarang (JTB),21:21:00,21:23:00,
33,Kertasemaya (KTM),Ls,21:29:00,
34,Arjawinangun (AWN),Ls,21:38:00,
35,Bangoduwa (BDW),Ls,21:41:00,
36,Cangkring (CNK),Ls,21:44:00,
37,Cirebon (CN),21:51:00,22:10:00,= KA 42 (KA 42 //)
38,Cirebon Prujakan (CNP),Ls,22:13:00,
39,Luwung (LWG),Ls,22:18:00,
40,Sindanglaut (SDU),Ls,22:22:00,
41,Ciledug (CLD),22:32:00,22:34:00,
42,Ketanggungan (KGG),22:46:00,22:48:00,
43,Larangan (LRA),Ls,22:55:00,
44,Songgom (SGG),Ls,22:58:00,
45,Prupuk (PPK),Ls,23:06:00,
46,Linggapura (LG),Ls,23:16:00,
47,Bumiayu (BMA),23:25:00,23:27:00,
48,Kretek (KRT),Ls,23:35:00,
49,Patuguran (PAT),Ls,23:41:00,
50,Karangsari (KRR),Ls,23:52:00,
51,Karanggandul (KGD),Ls,00:00:00,
52,Purwokerto (PWT),00:08:00,,
