No.,Stasiun,Datang,Berangkat,Keterangan
1,Ketapang (KTG),,11:00:00,
2,Argopuro (AGO),Ls,11:07:00,
3,Banyuwangi Kota (BWI),11:13:00,11:15:00,
4,Rogojampi (RGP),11:27:00,11:29:00,
5,Singojuruh (SGJ),Ls,11:36:00,
6,Temuguruh (TGR),Ls,11:40:00,
7,Kalisetail (KSL),11:48:00,11:50:00,X KA 297 (KA 297 X)
8,Sumberwadung (SWD),Ls,11:55:00,
9,Glenmore (GLM),Ls,12:01:00,
10,Kalibaru (KBR),12:09:00,12:11:00,
11,Mrawan (MRW),Ls,12:21:00,
12,Garahan (GRN),Ls,12:33:00,
13,Sempolan (SPL),Ls,12:37:00,
14,Ledokombo (LDO),Ls,12:46:00,
15,Kalisat (KLT),Ls,12:55:00,X KA 239F JJ (KA 239F JJ X)
16,Kotok (KTK),Ls,13:02:00,
17,Arjasa (AJ),Ls,13:06:00,
18,Jember (JR),13:13:00,13:18:00,X KA 209 (KA 209 X)
19,Mangli (MI),Ls,13:24:00,
20,Rambipuji (RBP),13:28:00,13:30:00,
21,Bangsalsari (BSS),Ls,13:37:00,
22,Tanggul (TGL),13:45:00,13:47:00,
23,Jatiroto (JTR),Ls,13:56:00,
24,Randuagung (RDA),Ls,14:04:00,
25,Klakah (KK),14:15:00,14:17:00,
26,Ranuyoso (RN),Ls,14:23:00,
27,Malasan (MLS),Ls,14:30:00,
28,Leces (LEC),Ls,14:38:00,
29,Probolinggo (PB),14:49:00,14:54:00,
30,Bayeman (BYM),Ls,15:04:00,
31,Grati (GI),Ls,15:13:00,X KA 279 (KA 279 X)
32,Rejoso (RO),Ls,15:17:00,
33,Pasuruan (PS),15:25:00,15:27:00,
34,Bangil (BG),15:45:00,15:52:00,X KA 249 (KA 249 X)
35,Porong (PR),Ls,16:05:00,X KA 2627 (KA 2627 X)
36,Tanggulangin (TGA),Ls,16:09:00,
37,Sidoarjo (SDA),16:17:00,16:21:00,"X KA 449 
// KA 458 (KA 458 =)"
38,Pagerwojo (PWJ),Ls,-,
39,Buduran (BDR),Ls,-,
40,Banjarkemantren (BJK),Ls,-,
41,Gedangan (GDG),Ls,16:30:00,X KA 481 (KA 481 X)
42,Sawotratap (STP),Ls,-,
43,Waru (WR),Ls,16:35:00,
44,Kertomenanggal (KTL),Ls,-,
45,Jemursari (JMS),Ls,-,
46,Margorejo (MGR),Ls,-,
47,Wonokromo (WO),16:43:00,16:45:00,
48,Ngagel (NGA),Ls,-,
49,Surabayagubeng (SGU),16:53:00,17:20:00,
