No.,Stasiun,Datang,Berangkat,Keterangan
1,Solobalapan (SLO),,17:50:00,X KA 580
2,Kadipiro (KDO),Ls,17:57:00,
3,Kalioso (KO),Ls,18:02:00,
4,Salem (SLM),18:09:00,18:11:00,
5,Sumberlawang (SUM),Ls,18:18:00,
6,Goprak (GPK),Ls,18:24:00,
7,Gundih (GD),18:31:00,18:33:00,
8,Karangsono (KSO),Ls,18:44:00,
9,Telawa (TW),18:55:00,19:05:00,X KA 270 (KA 270 X)
10,Padas (PDS),Ls,19:15:00,
11,Kedungjati (KEJ),Ls,19:20:00,
12,Tanggung (TGG),Ls,19:29:00,
13,Brumbung (BBG),19:42:00,19:45:00,(KA 2714X)
14,Alastua (ATA),Ls,19:53:00,
15,Semarang Tawang (SMT),20:02:00,,
