No.,Stasiun,Datang,Berangkat,Keterangan
1,Gambir (GMR),,07:00:00,
2,Gondangdia (GDD),Ls,-,
3,Cikini (CKI),Ls,-,
4,Manggarai (MRI),Ls,07:09:00,
5,Matraman (MTR),Ls,-,
6,Jatinegara (JNG),Ls,07:15:00,
7,Bekasi (BKS),07:26:00,07:28:00,
8,Bekasitimur (BKST),Ls,-,
9,Tambun (TB),Ls,07:33:00,
10,Cibitung (CIT),Ls,-,
11,Telaga Murni (TLM),Ls,-,
12,Cikarang (CKR),Ls,07:40:00,
13,Lemahabang (LMB),Ls,07:43:00,
14,Kedunggedeh (KDH),Ls,07:49:00,
15,Karawang (KW),Ls,07:53:00,
16,Klari (KLI),Ls,07:57:00,
17,Kosambi (KOS),Ls,07:59:00,
18,Dawuan (DWN),Ls,08:03:00,
19,Cikampek (CKP),Ls,08:06:00,
20,Tanjungrasa (TJS),Ls,08:13:00,
21,Pabuaran (PAB),Ls,08:16:00,
22,Pringkasap (PRI),Ls,08:19:00,
23,Pasirbungur (PAS),Ls,08:23:00,
24,Cikaum (CKM),Ls,08:26:00,
25,Pegadenbaru (PGB),Ls,08:31:00,
26,Cipunegara (CRA),Ls,08:35:00,
27,Haurgeulis (HGL),Ls,08:39:00,
28,Cilegeh (CLH),Ls,08:45:00,
29,Kadokangabus (KAB),Ls,08:50:00,
30,Terisi (TIS),Ls,08:54:00,
31,Telagasari (TLS),Ls,08:59:00,
32,Jatibarang (JTB),Ls,09:05:00,
33,Kertasemaya (KTM),Ls,09:10:00,
34,Arjawinangun (AWN),Ls,09:19:00,
35,Bangoduwa (BDW),Ls,09:23:00,
36,Cangkring (CNK),Ls,09:26:00,
37,Cirebon (CN),09:32:00,09:37:00,
38,Cirebon Prujakan (CNP),Ls,09:40:00,
39,Luwung (LWG),Ls,09:45:00,
40,Sindanglaut (SDU),Ls,09:49:00,
41,Ciledug (CLD),Ls,09:58:00,
42,Ketanggungan (KGG),Ls,10:07:00,
43,Larangan (LRA),Ls,10:12:00,
44,Songgom (SGG),Ls,10:16:00,
45,Prupuk (PPK),Ls,10:24:00,
46,Linggapura (LG),Ls,10:34:00,
47,Bumiayu (BMA),10:43:00,10:45:00,
48,Kretek (KRT),Ls,10:53:00,
49,Patuguran (PAT),Ls,10:59:00,
50,Karangsari (KRR),Ls,11:10:00,
51,Karanggandul (KGD),Ls,11:18:00,
52,Purwokerto (PWT),11:26:00,11:31:00,
53,Notog (NTG),Ls,11:39:00,
54,Kebasen (KBS),Ls,11:44:00,
55,Randegan (RDN),Ls,11:47:00,
56,Kroya (KYA),11:54:00,12:14:00,
