No.,Stasiun,Datang,Berangkat,Keterangan
1,Tegal (TG),09:41:00,09:47:00,"MENERUSKAN PERJALANAN KA 187, 
X KA 2617"
2,Slawi (SLW),10:04:00,10:06:00,
3,Balapulang (BLP),Ls,-,
4,Margasari (MGS),Ls,-,
5,Prupuk (PPK),10:34:00,10:36:00,
6,Linggapura (LG),Ls,10:48:00,
7,Bumiayu (BMA),10:57:00,10:59:00,
8,Kretek (KRT),Ls,11:07:00,
9,Patuguran (PAT),Ls,11:13:00,
10,Karangsari (KRR),Ls,11:23:00,
11,Karanggandul (KGD),Ls,11:31:00,
12,Purwokerto (PWT),11:39:00,11:44:00,
13,Notog (NTG),Ls,11:52:00,
14,Kebasen (KBS),Ls,11:57:00,
15,Randegan (RDN),Ls,12:00:00,
16,Kroya (KYA),12:07:00,12:09:00,
17,Kemranjen (KJ),Ls,12:15:00,
18,Sumpiuh (SPH),12:20:00,12:32:00,= KA 46 (KA 46 //)
19,Tambak (TBK),Ls,12:37:00,
20,Ijo (IJ),Ls,12:41:00,
21,Gombong (GB),12:47:00,12:49:00,
22,Karanganyar (KA),Ls,12:56:00,
23,Sruweng (SRW),Ls,12:59:00,
24,Kebumen (KM),13:06:00,13:08:00,
25,Wonosari (WNS),Ls,13:12:00,
26,Kutowinangun (KWN),13:16:00,13:18:00,
27,Prembun (PRB),Ls,13:24:00,
28,Butuh (BTH),Ls,13:28:30,
29,Kutoarjo (KTA),13:33:00,13:36:00,
30,Jenar (JN),Ls,13:46:00,
31,Wojo (WJ),13:53:00,13:55:00,
32,Kedundang (KDG),Ls,14:01:00,
33,Wates (WT),14:07:00,14:09:00,
34,Sentolo (STL),Ls,14:18:00,
35,Rewulu (RWL),Ls,14:25:00,
36,Patukan (PTN),Ls,14:28:00,
37,Yogyakarta (YK),14:33:00,14:37:00,
38,Lempuyangan (LPN),14:41:00,14:44:00,
39,Maguwo (MGW),Ls,14:50:00,
40,Brambanan (BBN),Ls,14:56:00,
41,Srowot (SWT),Ls,15:00:00,
42,Klaten (KT),15:06:00,15:08:00,
43,Ceper (CE),Ls,15:16:00,
44,Delanggu (DL),Ls,15:20:00,
45,Gawok (GW),Ls,15:24:00,
46,Purwosari (PWS),Ls,15:29:00,
47,Solobalapan (SLO),15:34:00,15:50:00,
