No.,Stasiun,Datang,Berangkat,Keterangan
1,Gambir (GMR),,23:55:00,
2,Gondangdia (GDD),Ls,-,
3,Cikini (CKI),Ls,-,
4,Manggarai (MRI),Ls,00:04:00,
5,Matraman (MTR),Ls,-,
6,Jatinegara (JNG),Ls,00:09:00,
7,Bekasi (BKS),00:21:00,00:23:00,
8,Bekasitimur (BKST),Ls,-,
9,Tambun (TB),Ls,00:30:00,
10,Cibitung (CIT),Ls,-,
11,Telaga Murni (TLM),Ls,-,
12,Cikarang (CKR),Ls,00:39:00,
13,Lemahabang (LMB),Ls,00:42:00,// KA 2528 (KA 2528 =)
14,Kedunggedeh (KDH),Ls,00:48:00,
15,Karawang (KW),Ls,00:52:00,
16,Klari (KLI),Ls,00:57:00,
17,Kosambi (KOS),Ls,01:00:00,
18,Dawuan (DWN),Ls,01:05:00,
19,Cikampek (CKP),Ls,01:08:00,
20,Tanjungrasa (TJS),Ls,01:15:00,
21,Pabuaran (PAB),Ls,01:18:00,
22,Pringkasap (PRI),Ls,01:22:00,
23,Pasirbungur (PAS),Ls,01:26:00,
24,Cikaum (CKM),Ls,01:30:00,
25,Pegadenbaru (PGB),Ls,01:36:00,
26,Cipunegara (CRA),Ls,01:41:00,
27,Haurgeulis (HGL),Ls,01:45:00,
28,Cilegeh (CLH),Ls,01:52:00,
29,Kadokangabus (KAB),Ls,01:57:00,
30,Terisi (TIS),Ls,02:01:00,
31,Telagasari (TLS),Ls,02:07:00,
32,Jatibarang (JTB),02:15:00,02:17:00,// KA 302 (KA 302 =)
33,Kertasemaya (KTM),Ls,02:24:00,
34,Arjawinangun (AWN),Ls,02:34:00,
35,Bangoduwa (BDW),Ls,02:38:00,
36,Cangkring (CNK),Ls,02:42:00,
37,Cirebon (CN),02:50:00,,
