No.,Stasiun,Datang,Berangkat,Keterangan
1,Semarang Poncol (SMC),,21:00:00,
2,Jerakah (JRK),Ls,21:05:00,
3,Mangkang (MKG),Ls,21:10:00,
4,Kaliwungu (KLN),Ls,21:15:00,
5,Kalibodri (KBD),Ls,21:24:00,
6,Weleri (WLR),21:32:00,21:34:00,
7,Krengseng (KNS),Ls,21:40:00,
8,Plabuan (PLB),Ls,21:48:00,
9,Kuripan (KRP),Ls,21:53:00,
10,Ujungnegoro (UJN),Ls,22:01:00,
11,Batang (BTG),22:07:00,22:09:00,
12,Pekalongan (PK),22:19:00,22:22:00,
13,Sragi (SRI),Ls,22:32:00,
14,Comal (CO),Ls,22:35:00,
15,Petarukan (PTA),Ls,22:42:00,
16,Pemalang (PML),22:51:00,23:12:00,= KA 95 (KA 95 //)
17,Surodadi (SD),Ls,23:22:00,
18,Larangan (LR),Ls,23:29:00,
19,Tegal (TG),23:35:00,,
