No.,Stasiun,Datang,Berangkat,Keterangan
1,Bandung (BD),,19:25:00,
2,Andir (AND),Ls,19:30:00,
3,Cimindi (CMD),Ls,19:32:00,
4,Cimahi (CMI),19:35:00,19:38:00,
5,Gadobangkong (GK),Ls,-,
6,Padalarang (PDL),Ls,19:45:00,
7,Cilame (CLE),Ls,19:53:00,
8,Sasaksaat (SKT),Ls,20:01:00,X KA 300 (KA 300 X)
9,Maswati (MSI),Ls,20:07:00,
10,Rendeh (RH),Ls,20:12:00,
11,Cikadongdong (CD),Ls,20:16:00,
12,Cisomang (CG),Ls,-,
13,Plered (PLD),Ls,20:30:00,
14,Sukatani (SUT),Ls,20:35:00,
15,Ciganea (CA),Ls,20:43:00,
16,Purwakarta (PWK),20:51:00,20:53:00,
17,Sadang (SAD),Ls,-,
18,Cibungur (CBR),Ls,21:03:00,
19,Cikampek (CKP),Ls,21:11:00,
20,Dawuan (DWN),Ls,21:15:00,
21,Kosambi (KOS),Ls,21:19:00,
22,Klari (KLI),Ls,21:21:00,
23,Karawang (KW),Ls,21:25:00,
24,Kedunggedeh (KDH),Ls,21:29:00,
25,Lemahabang (LMB),Ls,21:35:00,
26,Cikarang (CKR),Ls,21:38:00,
27,Telaga Murni (TLM),Ls,-,
28,Cibitung (CIT),Ls,-,
29,Tambun (TB),Ls,21:45:00,// KA 5191 (KA 5191 =)
30,Bekasitimur (BKST),Ls,-,
31,Bekasi (BKS),21:52:00,21:54:00,
32,Jatinegara (JNG),22:07:00,22:09:00,
33,Matraman (MTR),Ls,-,
34,Manggarai (MRI),Ls,22:15:00,
35,Cikini (CKI),Ls,-,
36,Gondangdia (GDD),Ls,-,
37,Gambir (GMR),22:24:00,,
