No.,Stasiun,Datang,Berangkat,Keterangan
1,Cikampek (CKP),13:46:00,14:12:00,MENERUSKAN PERJALANAN KA 99
2,Cibungur (CBR),Ls,14:21:00,
3,Sadang (SAD),Ls,-,
4,Purwakarta (PWK),14:31:00,14:34:00,X KA 137
5,Ciganea (CA),Ls,14:43:00,
6,Sukatani (SUT),Ls,14:52:00,
7,Plered (PLD),Ls,14:57:00,
8,Cisomang (CG),Ls,-,
9,Cikadongdong (CD),Ls,15:12:00,
10,Rendeh (RH),Ls,15:16:00,
11,Maswati (MSI),Ls,15:22:00,
12,Sasaksaat (SKT),15:29:00,15:38:00,X KA 129 (KA 129 X)
13,Cilame (CLE),Ls,15:47:00,X KA 349 (KA 349 X)
14,Padalarang (PDL),15:57:00,15:59:00,
15,Gadobangkong (GK),Ls,-,
16,Cimahi (CMI),16:07:00,16:09:00,
17,Cimindi (CMD),Ls,16:13:00,
18,Andir (AND),Ls,16:15:00,
19,Bandung (BD),16:20:00,,
