No.,Stasiun,Datang,Berangkat,Keterangan
1,Blitar (BL),,16:40:00,
2,Rejotangan (RJ),Ls,16:51:00,X KA 406 (KA 406 X)
3,Ngunut (NT),16:58:00,17:00:00,
4,Sumbergempol (SBL),Ls,17:07:00,
5,Tulungagung (TA),17:13:00,17:15:00,
6,Ngujang (NJG),Ls,17:21:00,
7,Kras (KRS),Ls,17:26:00,
8,Ngadiluwih (NDL),Ls,17:30:00,
9,Kediri (KD),17:38:00,17:40:00,
10,Susuhan (SS),Ls,17:46:00,
11,Minggiran (MGN),Ls,17:50:00,
12,Papar (PPR),Ls,17:53:00,
13,Purwoasri (PWA),Ls,17:57:00,X KA 408 (KA 408 X)
14,Kertosono (KTS),18:04:00,18:06:00,
15,Baron (BRN),Ls,18:13:00,
16,Sukomoro (SKM),Ls,18:20:00,
17,Nganjuk (NJ),18:25:00,18:27:00,
18,Bagor (BGR),Ls,18:33:00,
19,Saradan (SRD),Ls,18:44:00,
20,Caruban (CRB),18:51:00,18:53:00,
21,Babadan (BBD),Ls,19:01:00,
22,Madiun (MN),19:08:00,19:13:00,
23,Magetan (MAG),19:23:00,19:25:00,
24,Geneng (GG),Ls,19:33:00,
25,Ngawi (NGW),19:40:00,19:42:00,
26,Kedunggalar (KG),Ls,19:50:00,
27,Walikukun (WK),19:58:00,20:00:00,
28,Kedungbanteng (KDB),Ls,20:09:00,
29,Kebonromo (KRO),Ls,20:13:00,
30,Sragen (SR),20:18:00,20:20:00,
31,Masaran (MSR),Ls,20:27:00,
32,Kemiri (KMR),Ls,20:33:00,
33,Palur (PL),Ls,20:36:00,
34,Solojebres (SK),Ls,20:39:00,
35,Solobalapan (SLO),Ls,20:43:00,
36,Purwosari (PWS),20:47:00,20:50:00,
37,Gawok (GW),Ls,20:56:00,
38,Delanggu (DL),Ls,21:00:00,
39,Ceper (CE),Ls,21:04:00,
40,Klaten (KT),21:11:00,21:13:00,
41,Srowot (SWT),Ls,21:19:00,
42,Brambanan (BBN),Ls,21:23:00,
43,Maguwo (MGW),Ls,21:28:00,
44,Lempuyangan (LPN),21:34:00,21:39:00,
45,Yogyakarta (YK),Ls,21:43:00,
46,Patukan (PTN),Ls,21:48:00,
47,Rewulu (RWL),Ls,21:52:00,
48,Sentolo (STL),Ls,21:58:00,
49,Wates (WT),22:07:00,22:09:00,
50,Kedundang (KDG),Ls,22:15:00,
51,Wojo (WJ),Ls,22:20:00,
52,Jenar (JN),Ls,22:26:00,
53,Kutoarjo (KTA),22:36:00,22:41:00,
54,Butuh (BTH),Ls,22:46:00,
55,Prembun (PRB),Ls,22:50:30,
56,Kutowinangun (KWN),Ls,22:55:30,
57,Wonosari (WNS),Ls,22:58:00,
58,Kebumen (KM),23:03:00,23:05:00,
59,Sruweng (SRW),Ls,23:11:30,
60,Karanganyar (KA),Ls,23:14:00,
61,Gombong (GB),23:20:00,23:22:00,
62,Ijo (IJ),Ls,23:28:00,
63,Tambak (TBK),Ls,23:31:00,
64,Sumpiuh (SPH),Ls,23:34:30,
65,Kemranjen (KJ),Ls,23:38:00,
66,Kroya (KYA),23:45:00,23:48:00,
67,Randegan (RDN),Ls,23:55:00,
68,Kebasen (KBS),Ls,23:58:00,
69,Notog (NTG),Ls,00:03:00,
70,Purwokerto (PWT),00:11:00,00:16:00,
71,Karanggandul (KGD),Ls,00:24:00,
72,Karangsari (KRR),Ls,00:33:00,
73,Patuguran (PAT),Ls,00:44:00,
74,Kretek (KRT),Ls,00:50:00,
75,Bumiayu (BMA),00:58:00,01:00:00,
76,Linggapura (LG),Ls,01:09:00,
77,Prupuk (PPK),Ls,01:19:00,
78,Songgom (SGG),Ls,01:27:00,
79,Larangan (LRA),Ls,01:31:00,
80,Ketanggungan (KGG),Ls,01:37:00,
81,Ciledug (CLD),Ls,01:48:00,// KA 2723 (KA 2723 =)
82,Sindanglaut (SDU),Ls,01:58:00,
83,Luwung (LWG),Ls,02:03:00,
84,Cirebon Prujakan (CNP),Ls,02:09:00,
85,Cirebon (CN),02:13:00,02:18:00,
86,Cangkring (CNK),Ls,02:25:00,
87,Bangoduwa (BDW),Ls,02:28:00,
88,Arjawinangun (AWN),Ls,02:32:00,
89,Kertasemaya (KTM),Ls,02:42:00,
90,Jatibarang (JTB),02:50:00,03:04:00,= KA 3 (KA 3 //)
91,Telagasari (TLS),Ls,03:12:00,
92,Terisi (TIS),Ls,03:18:00,
93,Kadokangabus (KAB),Ls,03:22:00,
94,Cilegeh (CLH),Ls,03:28:00,
