No.,Stasiun,Datang,Berangkat,Keterangan
1,Surabayagubeng (SGU),,10:10:00,
2,Ngagel (NGA),Ls,-,
3,Wonokromo (WO),Ls,10:16:00,(KA 464X)
4,Margorejo (MGR),Ls,-,
5,Jemursari (JMS),Ls,-,
6,Kertomenanggal (KTL),Ls,-,
7,Waru (WR),Ls,10:22:00,
8,Sawotratap (STP),Ls,-,
9,Gedangan (GDG),Ls,10:26:00,
10,Banjarkemantren (BJK),Ls,-,
11,Buduran (BDR),Ls,-,
12,Pagerwojo (PWJ),Ls,-,
13,Sidoarjo (SDA),10:35:00,10:39:00,X KA 2630 (KA 2630 X)
14,Tanggulangin (TGA),Ls,10:45:00,X KA 456 (KA 456 X)
15,Porong (PR),Ls,10:48:00,
16,Bangil (BG),11:01:00,11:06:00,(KA 250 X)
17,Wonokerto (WN),Ls,11:16:00,
18,Sukorejo (SKJ),Ls,11:25:00,
19,Sengon (SN),Ls,11:29:00,
20,Lawang (LW),11:41:00,11:44:00,
21,Singosari (SGS),Ls,11:53:00,
22,Blimbing (BMG),Ls,11:59:00,X KA 402 (KA 402 X)
23,Malang (ML),12:06:00,,
