No.,Stasiun,Datang,Berangkat,Keterangan
1,Cepu (CU),,05:15:00,
2,Kapuan (KPA),Ls,05:21:00,
3,Wadu (WDU),05:28:00,05:30:00,
4,Randublatung (RBG),05:43:00,05:45:00,
5,Doplang (DPL),05:58:00,06:00:00,
6,Sulur (SL),Ls,06:07:00,
7,Kradenan (KNN),06:15:00,06:17:00,
8,Panunggalan (PNL),Ls,06:26:00,
9,Jambon (JBN),06:32:00,06:34:00,
10,Gambringan (GBN),Ls,06:44:00,
11,Ngrombo (NBO),06:47:00,06:49:00,
12,Sedadi (SDI),Ls,06:55:00,
13,Karangjati (KGT),Ls,07:01:00,
14,Gubug (GUB),Ls,07:10:00,
15,Tegowanu (TGW),Ls,07:15:00,
16,Brumbung (BBG),Ls,07:22:00,
17,Alastua (ATA),Ls,07:27:00,
18,Semarang Tawang (SMT),07:35:00,07:40:00,// KA 2529 (KA 2529 =)
19,Semarang Poncol (SMC),07:47:00,,
