No.,Stasiun,Datang,Berangkat,Keterangan
1,Bandung (BD),,10:25:00,
2,Andir (AND),Ls,10:30:00,
3,Cimindi (CMD),Ls,10:32:00,
4,Cimahi (CMI),10:35:00,10:38:00,
5,Gadobangkong (GK),Ls,-,
6,Padalarang (PDL),Ls,10:45:00,
7,Cilame (CLE),Ls,10:53:00,
8,Sasaksaat (SKT),Ls,11:01:00,X KA 128 (KA 128 X)
9,Maswati (MSI),Ls,11:07:00,
10,Rendeh (RH),Ls,11:12:00,
11,Cikadongdong (CD),Ls,11:16:00,
12,Cisomang (CG),Ls,-,
13,Plered (PLD),Ls,11:30:00,
14,Sukatani (SUT),Ls,11:35:00,
15,Ciganea (CA),Ls,11:43:00,
16,Purwakarta (PWK),Ls,11:51:00,X KA 136 (KA 136 X)
17,Sadang (SAD),Ls,-,
18,Cibungur (CBR),Ls,12:00:00,
19,Cikampek (CKP),Ls,12:07:00,
20,Dawuan (DWN),Ls,12:11:00,
21,Kosambi (KOS),Ls,12:15:00,
22,Klari (KLI),Ls,12:17:00,
23,Karawang (KW),Ls,12:21:00,
24,Kedunggedeh (KDH),Ls,12:25:00,
25,Lemahabang (LMB),Ls,12:31:00,
26,Cikarang (CKR),Ls,12:34:00,
27,Telaga Murni (TLM),Ls,-,
28,Cibitung (CIT),Ls,-,
29,Tambun (TB),Ls,12:41:00,
30,Bekasitimur (BKST),Ls,-,
31,Bekasi (BKS),12:47:00,12:49:00,
32,Jatinegara (JNG),Ls,12:59:00,
33,Matraman (MTR),Ls,-,
34,Manggarai (MRI),Ls,13:04:00,
35,Cikini (CKI),Ls,-,
36,Gondangdia (GDD),Ls,-,
37,Gambir (GMR),13:13:00,,
