No.,Stasiun,Datang,Berangkat,Keterangan
1,Gambir (GMR),,13:25:00,
2,Gondangdia (GDD),Ls,-,
3,Cikini (CKI),Ls,-,
4,Manggarai (MRI),Ls,13:34:00,// KA 5102 (KA 5102 =)
5,Matraman (MTR),Ls,-,
6,Jatinegara (JNG),Ls,13:39:00,
7,Bekasi (BKS),13:50:00,13:52:00,
8,Bekasitimur (BKST),Ls,-,
9,Tambun (TB),Ls,13:58:00,
10,Cibitung (CIT),Ls,-,
11,Telaga Murni (TLM),Ls,-,
12,Cikarang (CKR),Ls,14:05:00,
13,Lemahabang (LMB),Ls,14:08:00,// KA 2524 (KA 2524 =)
14,Kedunggedeh (KDH),Ls,14:14:00,
15,Karawang (KW),Ls,14:18:00,
16,Klari (KLI),Ls,14:22:00,
17,Kosambi (KOS),Ls,14:24:00,
18,Dawuan (DWN),Ls,14:28:00,
19,Cikampek (CKP),Ls,14:31:00,
20,Tanjungrasa (TJS),Ls,14:38:00,
21,Pabuaran (PAB),Ls,14:41:00,
22,Pringkasap (PRI),Ls,14:44:00,
23,Pasirbungur (PAS),Ls,14:48:00,
24,Cikaum (CKM),Ls,14:51:00,
25,Pegadenbaru (PGB),Ls,14:56:00,
26,Cipunegara (CRA),Ls,15:00:00,// KA 2522 (KA 2522 =)
27,Haurgeulis (HGL),Ls,15:04:00,
28,Cilegeh (CLH),Ls,15:10:00,
29,Kadokangabus (KAB),Ls,15:15:00,
30,Terisi (TIS),Ls,15:19:00,
31,Telagasari (TLS),Ls,15:24:00,
32,Jatibarang (JTB),Ls,15:30:00,
33,Kertasemaya (KTM),Ls,15:35:00,
34,Arjawinangun (AWN),Ls,15:44:00,
35,Bangoduwa (BDW),Ls,15:48:00,
36,Cangkring (CNK),Ls,15:51:00,
37,Cirebon (CN),15:57:00,16:02:00,
38,Cirebon Prujakan (CNP),Ls,16:05:00,
39,Luwung (LWG),Ls,16:10:00,
40,Sindanglaut (SDU),Ls,16:14:00,
41,Ciledug (CLD),Ls,16:23:00,
42,Ketanggungan (KGG),Ls,16:32:00,
43,Larangan (LRA),Ls,16:37:00,
44,Songgom (SGG),Ls,16:41:00,
45,Prupuk (PPK),Ls,16:49:00,
46,Linggapura (LG),Ls,16:59:00,
47,Bumiayu (BMA),17:08:00,17:10:00,
48,Kretek (KRT),Ls,17:18:00,
49,Patuguran (PAT),Ls,17:24:00,
50,Karangsari (KRR),Ls,17:35:00,
51,Karanggandul (KGD),Ls,17:43:00,
52,Purwokerto (PWT),17:51:00,17:56:00,
53,Notog (NTG),Ls,18:04:00,
54,Kebasen (KBS),Ls,18:09:00,
55,Randegan (RDN),Ls,18:12:00,
56,Kroya (KYA),18:19:00,18:39:00,
