No.,Stasiun,Datang,Berangkat,Keterangan
1,Kroya (KYA),20:49:00,21:09:00,
2,Randegan (RDN),Ls,21:16:00,
3,Kebasen (KBS),Ls,21:19:00,
4,Notog (NTG),Ls,21:24:00,
5,Purwokerto (PWT),21:32:00,21:37:00,
6,Karanggandul (KGD),Ls,21:45:00,
7,Karangsari (KRR),Ls,21:54:00,
8,Patuguran (PAT),Ls,22:05:00,
9,Kretek (KRT),Ls,22:11:00,
10,Bumiayu (BMA),22:19:00,22:21:00,
11,Linggapura (LG),Ls,22:30:00,
12,Prupuk (PPK),Ls,22:40:00,
13,Songgom (SGG),Ls,22:47:00,
14,Larangan (LRA),Ls,22:50:00,
15,Ketanggungan (KGG),Ls,22:55:00,
16,Ciledug (CLD),Ls,23:04:00,
17,Sindanglaut (SDU),Ls,23:13:00,
18,Luwung (LWG),Ls,23:17:00,
19,Cirebon Prujakan (CNP),Ls,23:22:00,
20,Cirebon (CN),23:26:00,23:31:00,
21,Cangkring (CNK),Ls,23:38:00,
22,Bangoduwa (BDW),Ls,23:41:00,
23,Arjawinangun (AWN),Ls,23:44:00,
24,Kertasemaya (KTM),Ls,23:53:00,
25,Jatibarang (JTB),Ls,23:58:00,// KA 251 (KA 251 =)
26,Telagasari (TLS),Ls,00:04:00,
27,Terisi (TIS),Ls,00:09:00,
28,Kadokangabus (KAB),Ls,00:13:00,
29,Cilegeh (CLH),Ls,00:18:00,
30,Haurgeulis (HGL),Ls,00:24:00,
31,Cipunegara (CRA),Ls,00:28:00,
32,Pegadenbaru (PGB),Ls,00:33:00,
33,Cikaum (CKM),Ls,00:39:00,
34,Pasirbungur (PAS),Ls,00:43:00,
35,Pringkasap (PRI),Ls,00:47:00,
36,Pabuaran (PAB),Ls,00:50:00,
37,Tanjungrasa (TJS),Ls,00:53:00,
38,Cikampek (CKP),Ls,01:00:00,
39,Dawuan (DWN),Ls,01:03:00,
40,Kosambi (KOS),Ls,01:08:00,
41,Klari (KLI),Ls,01:10:00,
42,Karawang (KW),Ls,01:14:00,
43,Kedunggedeh (KDH),Ls,01:18:00,
44,Lemahabang (LMB),Ls,01:24:00,
45,Cikarang (CKR),Ls,01:27:00,
46,Telaga Murni (TLM),Ls,-,
47,Cibitung (CIT),Ls,-,
48,Tambun (TB),Ls,01:33:00,
49,Bekasitimur (BKST),Ls,-,
50,Bekasi (BKS),01:40:00,01:42:00,
51,Jatinegara (JNG),01:54:00,01:56:00,
52,Matraman (MTR),Ls,-,
53,Manggarai (MRI),Ls,02:01:00,
54,Cikini (CKI),Ls,-,
55,Gondangdia (GDD),Ls,-,
56,Gambir (GMR),02:10:00,,
