No.,Stasiun,Datang,Berangkat,Keterangan
1,Surabaya Pasarturi (SBI),22:15:00,22:25:00,
2,Segitigamesigit (STM),Ls,22:29:00,
3,Surabayakota (SB),Ls,22:32:00,
4,Surabayagubeng (SGU),22:40:00,22:50:00,
5,Ngagel (NGA),Ls,-,
6,Wonokromo (WO),Ls,22:56:00,X KA 460
7,Margorejo (MGR),Ls,-,
8,Jemursari (JMS),Ls,-,
9,Kertomenanggal (KTL),Ls,-,
10,Waru (WR),Ls,23:02:00,
11,Sawotratap (STP),Ls,-,
12,Gedangan (GDG),Ls,23:06:00,
13,Banjarkemantren (BJK),Ls,-,
14,Buduran (BDR),Ls,-,
15,Pagerwojo (PWJ),Ls,-,
16,Sidoarjo (SDA),23:15:00,23:18:00,X KA 298 (KA 298 X)
17,Tanggulangin (TGA),Ls,23:24:00,
18,Porong (PR),Ls,23:27:00,
19,Bangil (BG),23:40:00,23:44:00,
20,Pasuruan (PS),00:02:00,00:04:00,
21,Rejoso (RO),Ls,00:12:00,
22,Grati (GI),Ls,00:16:00,X KA 240F JJ (KA 240F JJ X)
23,Bayeman (BYM),Ls,00:26:00,
24,Probolinggo (PB),00:36:00,00:41:00,
25,Leces (LEC),Ls,00:52:00,
26,Malasan (MLS),Ls,01:00:00,
27,Ranuyoso (RN),Ls,01:07:00,
28,Klakah (KK),01:12:00,01:21:00,X KA 210 (KA 210 X)
29,Randuagung (RDA),Ls,01:32:00,
30,Jatiroto (JTR),Ls,01:40:00,
31,Tanggul (TGL),01:49:00,01:51:00,
32,Bangsalsari (BSS),Ls,01:59:00,
33,Rambipuji (RBP),02:06:00,02:08:00,
34,Mangli (MI),Ls,02:12:00,
35,Jember (JR),02:18:00,02:23:00,
36,Arjasa (AJ),Ls,02:31:00,
37,Kotok (KTK),Ls,02:35:00,
38,Kalisat (KLT),Ls,02:42:00,
39,Ledokombo (LDO),Ls,02:50:00,
40,Sempolan (SPL),Ls,02:59:00,
41,Garahan (GRN),Ls,03:03:00,
42,Mrawan (MRW),Ls,03:15:00,
43,Kalibaru (KBR),03:25:00,03:27:00,
44,Glenmore (GLM),Ls,03:35:00,
45,Sumberwadung (SWD),Ls,03:40:00,
46,Kalisetail (KSL),03:45:00,03:47:00,
47,Temuguruh (TGR),03:56:00,03:58:00,
48,Singojuruh (SGJ),Ls,04:03:00,
49,Rogojampi (RGP),04:10:00,04:12:00,
50,Banyuwangi Kota (BWI),04:25:00,04:27:00,
51,Argopuro (AGO),Ls,04:33:00,
52,Ketapang (KTG),04:40:00,,(KA 294 X)
