No.,Stasiun,Datang,Berangkat,Keterangan
1,Pasarsenen (PSE),,17:10:00,
2,Gangsentiong (GST),Ls,-,
3,Kramat (KMT),Ls,-,
4,Pondokjati (POK),Ls,-,
5,Jatinegara (JNG),17:20:00,17:22:00,
6,Bekasi (BKS),17:33:00,17:35:00,// KA 5132 (KA 5132 =)
7,Bekasitimur (BKST),Ls,-,
8,Tambun (TB),Ls,17:41:00,
9,Cibitung (CIT),Ls,-,
10,Telaga Murni (TLM),Ls,-,
11,Cikarang (CKR),17:49:00,17:51:00,
12,Lemahabang (LMB),Ls,17:55:00,
13,Kedunggedeh (KDH),Ls,18:01:00,
14,Karawang (KW),Ls,18:05:00,
15,Klari (KLI),Ls,18:09:00,
16,Kosambi (KOS),Ls,18:12:00,
17,Dawuan (DWN),Ls,18:16:00,
18,Cikampek (CKP),18:20:00,18:22:00,
19,Tanjungrasa (TJS),Ls,18:30:00,
20,Pabuaran (PAB),Ls,18:33:00,
21,Pringkasap (PRI),Ls,18:36:00,
22,Pasirbungur (PAS),Ls,18:40:00,
23,Cikaum (CKM),Ls,18:43:00,
24,Pegadenbaru (PGB),Ls,18:48:00,
25,Cipunegara (CRA),Ls,18:52:00,
26,Haurgeulis (HGL),Ls,18:56:00,
27,Cilegeh (CLH),Ls,19:02:00,
28,Kadokangabus (KAB),Ls,19:07:00,
29,Terisi (TIS),Ls,19:11:00,
30,Telagasari (TLS),Ls,19:16:00,
31,Jatibarang (JTB),19:23:00,19:25:00,
32,Kertasemaya (KTM),Ls,19:32:00,
33,Arjawinangun (AWN),Ls,19:41:00,
34,Bangoduwa (BDW),Ls,19:45:00,
35,Cangkring (CNK),Ls,19:48:00,
36,Cirebon (CN),19:54:00,19:59:00,
37,Cirebon Prujakan (CNP),Ls,20:03:00,
38,Luwung (LWG),Ls,20:08:00,
39,Sindanglaut (SDU),Ls,20:12:00,
40,Ciledug (CLD),Ls,20:21:00,
41,Ketanggungan (KGG),Ls,20:30:00,
42,Larangan (LRA),Ls,20:35:00,
